in sharp contrast to your words
in sharp contrast to your words
FixStart
List

0.6 0.6
432 388.8
Began 3745.677 485 331 0.2893518 -0.146605
Stationary 3745.708 485 331 0.2893518 -0.146605
Stationary 3745.738 485 331 0.2893518 -0.146605
Moved 3745.769 499.9187 358.8375 0.3238859 -0.0750066
Moved 3745.8 517.5018 389.1697 0.3645876 0.003008509
Moved 3745.83 534.8851 413.3277 0.4048267 0.06514321
Moved 3745.861 548.6442 433.4663 0.4366764 0.11694
Moved 3745.892 559.2056 446.507 0.461124 0.1504808
Moved 3745.922 568.4028 457.4028 0.4824139 0.1785052
Moved 3745.953 576.2513 465.2513 0.5005817 0.1986915
Moved 3745.984 578.6315 467.6315 0.5060913 0.2048133
Moved 3746.015 581.0599 469 0.5117128 0.2083333
Moved 3746.045 582.8063 471.8063 0.5157554 0.2155512
Moved 3746.076 584.5517 473 0.5197956 0.2186213
Moved 3746.107 586.3069 474 0.5238585 0.2211934
Moved 3746.137 587 475 0.5254629 0.2237653
Moved 3746.168 588.0644 475 0.5279269 0.2237653
Moved 3746.199 589.1845 476 0.5305197 0.2263374
Stationary 3746.229 589 476 0.5300926 0.2263374
Stationary 3746.26 589 476 0.5300926 0.2263374
Stationary 3746.291 589 476 0.5300926 0.2263374
Moved 3746.322 589 466.287 0.5300926 0.2013555
Moved 3746.352 589 458.0311 0.5300926 0.180121
Moved 3746.383 574.7766 441.4043 0.4971681 0.1373567
Moved 3746.414 567.4929 421.3144 0.4803076 0.08568512
Moved 3746.444 557.2087 395.0292 0.4565017 0.01807911
Moved 3746.475 549.836 365.0159 0.4394351 -0.05911556
Moved 3746.506 544.1718 331.0609 0.4263235 -0.1464483
Moved 3746.537 542 301.691 0.4212962 -0.2219881
Moved 3746.567 541 281.5671 0.4189815 -0.2737472
Moved 3746.598 541 256.4426 0.4189815 -0.3383679
Moved 3746.629 541 235.1743 0.4189815 -0.3930702
Moved 3746.659 541 220.4485 0.4189815 -0.4309452
Moved 3746.69 541 206.8479 0.4189815 -0.4659262
Moved 3746.721 541 197.0858 0.4189815 -0.4910345
Moved 3746.751 541 190.4976 0.4189815 -0.5079796
Moved 3746.782 541 186.9803 0.4189815 -0.5170258
Moved 3746.813 541 184.5303 0.4189815 -0.5233275
Moved 3746.844 541 181.7637 0.4189815 -0.5304432
Ended 3746.875 541 181 0.4189815 -0.5324075
Candidates 3746.936 13 in un gun on iv inn um hiv gunn john ibm join fun
Began 3747.611 443 311 0.1921296 -0.1980453
Stationary 3747.642 443 311 0.1921296 -0.1980453
