experience is hard to come by
experience is hard to come by
Basic
Radial

0.6 0.6
432 388.8
Began 2903.232 257 514 -0.2384259 0.324074
Stationary 2903.263 257 514 -0.2384259 0.324074
Stationary 2903.293 257 514 -0.2384259 0.324074
Moved 2903.324 257 502.8159 -0.2384259 0.2953082
Moved 2903.355 257 488.653 -0.2384259 0.2588812
Moved 2903.385 257 468.0413 -0.2384259 0.2058675
Moved 2903.416 257 445.0451 -0.2384259 0.1467208
Moved 2903.447 257 415.6722 -0.2384259 0.07117326
Moved 2903.478 257 391.4401 -0.2384259 0.008848017
Moved 2903.508 257 364.9849 -0.2384259 -0.05919523
Moved 2903.539 257 347.0911 -0.2384259 -0.1052183
Moved 2903.57 257 332.6636 -0.2384259 -0.142326
Moved 2903.601 257 311.3313 -0.2384259 -0.1971932
Moved 2903.631 251.1855 296.8467 -0.2518855 -0.2344477
Moved 2903.662 249 284.2302 -0.2569445 -0.2668976
Moved 2903.693 248 272.5835 -0.2592593 -0.2968532
Moved 2903.723 245.8909 259.4543 -0.2641415 -0.3306216
Moved 2903.754 245 252.045 -0.2662037 -0.3496784
Moved 2903.785 244 245.1177 -0.2685185 -0.3674957
Moved 2903.816 244 240.2714 -0.2685185 -0.3799604
Moved 2903.846 244 237.7656 -0.2685185 -0.3864053
Moved 2903.877 244 237 -0.2685185 -0.3883744
Moved 2903.908 278.2318 266.2318 -0.1892782 -0.3131898
Moved 2903.939 335.614 322.0656 -0.05644897 -0.1695843
Moved 2903.969 396.9601 376.3309 0.08555572 -0.03001303
Moved 2904 443.6587 414.5329 0.1936543 0.06824297
Moved 2904.031 488.0662 441.1664 0.2964495 0.1367447
Moved 2904.062 522.1501 462.4167 0.3753475 0.191401
Moved 2904.092 542.7741 475.2193 0.4230882 0.2243294
Moved 2904.123 552.1271 481.0847 0.4447388 0.2394153
Moved 2904.154 555.9265 483.9265 0.4535334 0.2467244
Moved 2904.184 557 487.5917 0.4560185 0.2561513
Moved 2904.215 537.0355 493.6637 0.4098043 0.2717687
Moved 2904.246 480.7844 494 0.2795936 0.2726337
Moved 2904.277 424.5393 482.8174 0.1493965 0.2438718
Moved 2904.307 369.9459 476.1494 0.02302289 0.2267215
Moved 2904.338 332 469.5 -0.06481484 0.2096193
Moved 2904.369 298.8218 460.2937 -0.1416163 0.1859405
Moved 2904.399 278.7218 455.787 -0.188144 0.1743491
Moved 2904.43 265.6916 454 -0.2183066 0.169753
Moved 2904.461 258.7223 453 -0.2344391 0.167181
Moved 2904.492 253.4935 452 -0.2465427 0.164609
Moved 2904.522 249.6256 452 -0.2554962 0.164609
Moved 2904.553 246.7592 452 -0.2621315 0.164609
Moved 2904.584 245.6799 452 -0.2646298 0.164609
Moved 2904.615 244.8949 452 -0.2664469 0.164609
Moved 2904.645 250.5927 460.5253 -0.2532578 0.1865362
Moved 2904.676 272.1736 467.0521 -0.2033018 0.2033232
Moved 2904.707 305.7331 472.8944 -0.1256179 0.2183497
Moved 2904.738 347.4441 476.7629 -0.02906452 0.2282996
Moved 2904.768 382.9893 478 0.05321592 0.2314814
