he is just like everyone else
he is just like everyone else
Basic
Radial

0.6 0.6
432 388.8
Moved 2079.177 394.9183 406.924 0.08082937 0.04867267
Moved 2079.208 360.431 412.6527 0.000997583 0.0634071
Moved 2079.239 330.2808 422.5074 -0.06879444 0.08875352
Moved 2079.27 298.7254 437.4102 -0.1418393 0.1270838
Moved 2079.3 272.878 454.4818 -0.2016714 0.170992
Moved 2079.331 252.5 470.5 -0.2488426 0.2121912
Moved 2079.362 242.8009 481.1992 -0.2712943 0.2397097
Moved 2079.392 234.2169 490.7831 -0.2911647 0.2643599
Ended 2079.423 229 498 -0.3032407 0.2829217
Candidates 2079.546 13 like pulse pulled popular killed tools kills pills looks poker pile killer looked
Began 2080.191 255 509 -0.2430556 0.3112139
Moved 2080.222 278.9355 499.0496 -0.1876493 0.2856213
Moved 2080.253 351.7498 491.1288 -0.01909778 0.2652488
Moved 2080.283 428.5 491 0.1585648 0.2649176
Ended 2080.314 444 504 0.1944444 0.2983539
Accept 2080.375 0 like
Began 2081.021 224 545 -0.3148148 0.4038065
Moved 2081.052 224 535.1891 -0.3148148 0.3785727
Moved 2081.082 239.8154 505.4799 -0.2782051 0.3021602
Moved 2081.113 260.1501 451.6247 -0.231134 0.1636436
Moved 2081.144 288.5021 375.8945 -0.1655043 -0.0311357
Moved 2081.174 308.5574 329.8851 -0.11908 -0.1494725
Moved 2081.205 324.3598 291.0106 -0.08250052 -0.2494585
Moved 2081.236 332.3339 268.3315 -0.06404196 -0.3077894
Moved 2081.267 335 255.3822 -0.05787035 -0.3410952
Moved 2081.297 336 248.5868 -0.05555556 -0.3585731
Moved 2081.328 336 247 -0.05555556 -0.3626543
Stationary 2081.359 336 247 -0.05555556 -0.3626543
Moved 2081.389 301.9253 310.7534 -0.1344323 -0.1986796
Moved 2081.42 268.2881 372.2814 -0.2122961 -0.04042857
Moved 2081.451 244.5106 416.9299 -0.2673365 0.07440798
Moved 2081.482 222.3822 455.363 -0.3185598 0.1732588
Moved 2081.512 214.3662 474.0846 -0.3371154 0.2214109
Moved 2081.543 213 487.4247 -0.3402778 0.255722
Moved 2081.574 213 496.915 -0.3402778 0.280131
Moved 2081.604 227.4956 513.4956 -0.3067231 0.3227767
Moved 2081.635 261.7632 534.8816 -0.2274 0.3777818
Moved 2081.666 295.5303 545.8826 -0.1492353 0.4060765
Moved 2081.697 324.3395 551.7421 -0.08254737 0.4211473
Moved 2081.728 347.6624 552 -0.02855922 0.4218106
Moved 2081.758 362.5468 552 0.005895297 0.4218106
Moved 2081.789 372.3613 552 0.02861401 0.4218106
Moved 2081.82 382.2179 552 0.05143026 0.4218106
Moved 2081.85 407.8558 542.2861 0.1107772 0.3968262
Moved 2081.881 424.078 539.7031 0.1483287 0.3901829
Moved 2081.912 439.5359 539.1627 0.1841109 0.3887928
Moved 2081.943 462.9147 537.2979 0.2382284 0.3839965
Moved 2081.973 478.8854 537 0.2751977 0.3832304
Moved 2082.004 488.1643 537 0.2966765 0.3832304
Moved 2082.035 492.9431 537 0.3077387 0.3832304
Moved 2082.065 496.8129 537 0.3166965 0.3832304
Moved 2082.096 499.6771 537 0.3233265 0.3832304
Moved 2082.127 502.2281 537 0.3292317 0.3832304
Moved 2082.158 504.0842 537 0.3335282 0.3832304
Moved 2082.188 507.9113 537 0.3423872 0.3832304
Moved 2082.219 511.2245 537 0.3500567 0.3832304
Moved 2082.25 514.3419 536 0.3572729 0.3806583
Moved 2082.281 517.208 536 0.3639074 0.3806583
Moved 2082.311 520.0744 536 0.3705426 0.3806583
Moved 2082.342 521.6429 535.3571 0.3741735 0.3790047
Moved 2082.373 523 535 0.3773148 0.3780863
Moved 2082.403 524.5 535 0.3807871 0.3780863
Moved 2082.434 525 535 0.3819444 0.3780863
Moved 2082.465 525.7772 535 0.3837435 0.3780863
Stationary 2082.496 526 535 0.3842592 0.3780863
Moved 2082.526 527.5 535 0.3877315 0.3780863
Moved 2082.557 527 535 0.3865741 0.3780863
Moved 2082.588 527 533.5 0.3865741 0.3742283
Stationary 2082.618 527 533.5 0.3865741 0.3742283
Moved 2082.649 527 534 0.3865741 0.3755144
Stationary 2082.68 527 534 0.3865741 0.3755144
Moved 2082.711 527 533 0.3865741 0.3729423
Moved 2082.741 527 531.098 0.3865741 0.3680502
Moved 2082.772 517.7047 522.1308 0.3650571 0.3449866
Moved 2082.803 468.6924 452.5385 0.2516026 0.1659941
Moved 2082.833 431.7513 388.1066 0.1660909 0.0002741716
Moved 2082.864 417.539 359.0268 0.1331921 -0.07451956
Moved 2082.895 396.3438 315.4689 0.08412927 -0.1865512
Moved 2082.926 387.0271 291.1084 0.06256273 -0.2492068
Moved 2082.957 381.2896 275.5791 0.04928132 -0.2891485
Moved 2082.987 374.2993 263.8322 0.03310025 -0.3193617
Moved 2083.018 369.4412 262 0.02185464 -0.3240741
Moved 2083.049 358.1368 262 -0.004312992 -0.3240741
Moved 2083.079 342.3992 282.6412 -0.04074265 -0.2709847
Moved 2083.11 331.9344 300.1149 -0.06496678 -0.2260421
Moved 2083.141 317.5393 324.1371 -0.09828869 -0.1642564
Moved 2083.172 306.7145 343.8091 -0.123346 -0.1136597
Moved 2083.202 298.0928 360.8145 -0.1433038 -0.06992183
Moved 2083.233 288.2593 379.4813 -0.1660663 -0.02191025
Moved 2083.264 279.8212 393.2385 -0.1855991 0.01347334
Moved 2083.294 275.0766 403.7701 -0.1965819 0.04056102
Moved 2083.325 270 414 -0.2083333 0.06687239
Moved 2083.356 265.6782 426.2871 -0.2183374 0.09847503
Moved 2083.387 260.8046 438.7815 -0.2296189 0.1306108
Moved 2083.417 255.8851 451.2298 -0.2410067 0.162628
Moved 2083.448 250.7527 463.1182 -0.2528872 0.1932051
Moved 2083.479 245.9976 476.0048 -0.2638944 0.2263498
Moved 2083.51 241.625 489.4998 -0.2740161 0.2610592
Moved 2083.54 236.7534 501.9864 -0.2852931 0.2931748
Moved 2083.571 233.2255 511.3236 -0.2934596 0.3171903
Moved 2083.602 230.3539 519.2922 -0.3001067 0.3376857
Moved 2083.632 229 525.0515 -0.3032407 0.3524985
Ended 2083.663 229 528 -0.3032407 0.3600822
Candidates 2083.725 13 everyone receive receiver describe active excessive against reactive sensitive effective descriptive october native
Began 2084.401 293 492 -0.1550926 0.2674896
Moved 2084.431 386.2513 481.2635 0.06076694 0.2398752
Moved 2084.462 486.6469 488.9107 0.2931643 0.259544
Ended 2084.493 512.5 500.5 0.3530093 0.2893518
Accept 2084.554 0 everyone
Began 2085.138 268 541 -0.212963 0.3935184
Stationary 2085.169 268 541 -0.212963 0.3935184
Moved 2085.199 272.8123 537.1502 -0.2018234 0.3836167
Moved 2085.23 307.0244 518.9885 -0.1226286 0.3369046
Moved 2085.261 385.0725 492.9368 0.05803824 0.269899
Moved 2085.292 445.1651 467.5447 0.1971415 0.2045901
Moved 2085.322 487.8815 440.9953 0.296022 0.1363047
Moved 2085.353 509.3838 421.8139 0.3457958 0.0869698
Moved 2085.384 515.069 412.8621 0.358956 0.06394555
Moved 2085.415 515 407.2027 0.3587963 0.04938953
Moved 2085.445 476.1702 399.7967 0.2689125 0.0303412
Moved 2085.476 403.3205 393.3086 0.100279 0.01365371
Moved 2085.507 348.1231 384.1519 -0.02749279 -0.009897569
Moved 2085.537 295.707 374.7414 -0.1488264 -0.03410143
Moved 2085.568 270.6783 370.8174 -0.2067631 -0.04419405
Moved 2085.599 253.6898 366.538 -0.2460885 -0.05520071
Moved 2085.63 240.6438 362.6609 -0.2762874 -0.06517253
Moved 2085.66 230.5163 359.7582 -0.2997307 -0.07263843
Moved 2085.691 229 360 -0.3032407 -0.07201654
Moved 2085.722 228 364.4018 -0.3055556 -0.06069512
Moved 2085.752 228 385.532 -0.3055556 -0.006347703
Moved 2085.783 239.0567 404.1324 -0.2799612 0.04149272
Moved 2085.814 247.6797 423.4662 -0.2600007 0.09121954
Moved 2085.844 272 450 -0.2037037 0.1594649
Ended 2085.875 272 450 -0.2037037 0.1594649
Candidates 2085.998 13 else regular welfare tools dollar weeks rules delay those release relate wins regulate
Began 2086.766 253 443 -0.2476852 0.1414608
Moved 2086.797 295.6552 443 -0.1489463 0.1414608
Moved 2086.828 372.3945 446.6789 0.028691 0.150923
Ended 2086.859 421 460 0.1412037 0.1851851
