the union will go on strike
the union will go on strike
FixStart
List

0.6 0.6
432 388.8
Began 1414.901 371 267 0.025463 -0.311214
Stationary 1414.932 371 267 0.025463 -0.311214
Stationary 1414.963 371 267 0.025463 -0.311214
Stationary 1414.993 371 267 0.025463 -0.311214
Moved 1415.024 371 281.8906 0.025463 -0.2729151
Moved 1415.055 371 294.9252 0.025463 -0.2393901
Moved 1415.085 371 317.4971 0.025463 -0.1813348
Moved 1415.116 375.7762 339.1644 0.03651907 -0.1256061
Moved 1415.147 386.0699 362.853 0.06034693 -0.06467858
Moved 1415.178 396.3268 385.8715 0.08408983 -0.005474561
Moved 1415.208 403.7492 400.373 0.1012714 0.03182356
Moved 1415.239 407.2978 410.1912 0.1094856 0.05707619
Moved 1415.27 409 416.1147 0.113426 0.07231139
Moved 1415.301 409 419.8216 0.113426 0.08184558
Moved 1415.331 409 422.5 0.113426 0.08873452
Moved 1415.362 409 424.5 0.113426 0.09387855
Moved 1415.393 398.3809 425 0.0888446 0.09516452
Moved 1415.424 394.4236 425 0.07968425 0.09516452
Moved 1415.454 389.9752 425 0.06938696 0.09516452
Moved 1415.485 386.421 425 0.06115973 0.09516452
Moved 1415.516 383.4555 415.9111 0.05429526 0.07178766
Moved 1415.547 380.7027 410.4054 0.04792293 0.05762697
Moved 1415.577 380 397.9748 0.04629632 0.02565525
Moved 1415.608 380 380.5865 0.04629632 -0.0190676
Moved 1415.639 389.4768 360.0927 0.06823331 -0.07177816
Moved 1415.669 398.02 340.96 0.08800934 -0.1209878
Moved 1415.7 406.8218 323.3564 0.1083837 -0.1662644
Moved 1415.731 418.0634 302.086 0.1344059 -0.2209723
Moved 1415.762 426.9355 286.0968 0.1549432 -0.2620968
Moved 1415.792 437 270 0.1782407 -0.303498
Moved 1415.823 444.4972 255.1713 0.1955953 -0.3416377
Moved 1415.854 453.8069 240.3861 0.2171457 -0.3796653
Moved 1415.885 460.3765 231.9353 0.2323529 -0.401401
Moved 1415.915 464.2343 226.7657 0.241283 -0.4146972
Moved 1415.946 466 223.0873 0.2453704 -0.4241583
Moved 1415.977 467.2949 221.7051 0.2483679 -0.4277132
Moved 1416.008 469.4452 218.5548 0.2533454 -0.4358159
Moved 1416.038 469 219 0.2523148 -0.4346708
Stationary 1416.069 469 219 0.2523148 -0.4346708
Moved 1416.1 445.6373 243.3627 0.1982345 -0.3720096
Moved 1416.13 430.0054 258.8289 0.1620494 -0.3322304
Moved 1416.161 414.0392 276.5267 0.1250907 -0.2867113
Moved 1416.192 398.3843 292.6157 0.08885254 -0.2453302
Moved 1416.223 384.5358 310.6498 0.05679588 -0.198946
Moved 1416.254 374.4026 324.5454 0.03333936 -0.1632063
Moved 1416.284 362.5223 341.7733 0.005838672 -0.118896
Moved 1416.315 346.6737 358.3263 -0.03084799 -0.07632133
Moved 1416.346 330.0133 372.1556 -0.06941363 -0.04075219
Moved 1416.376 315.9507 381.6996 -0.1019661 -0.01620477
Moved 1416.407 298.9844 391.0078 -0.1412397 0.007735947
Moved 1416.438 284.2751 398.4899 -0.175289 0.02698015
Moved 1416.469 273.0183 403.4954 -0.2013465 0.0398544
Moved 1416.499 265.0681 405.9659 -0.2197497 0.04620866
Moved 1416.53 258.5549 408.7225 -0.2348266 0.05329861
Moved 1416.561 254.5139 410.4861 -0.2441807 0.05783445
Moved 1416.592 250.7586 411 -0.2528737 0.05915629
Moved 1416.622 248.5 412.5 -0.2581019 0.06301432
Moved 1416.653 246.5632 413.4368 -0.2625851 0.06542374
Moved 1416.684 246 413 -0.2638889 0.06430033
Moved 1416.714 245.2952 413.7048 -0.2655202 0.06611298
Ended 1416.745 245 414 -0.2662037 0.06687239
Candidates 1416.837 13 the there title time further google tyler figure other higher hunter file june
Began 1417.422 359 255 -0.002314796 -0.3420782
Stationary 1417.452 359 255 -0.002314796 -0.3420782
Stationary 1417.483 359 255 -0.002314796 -0.3420782
Stationary 1417.514 359 255 -0.002314796 -0.3420782
Stationary 1417.544 359 255 -0.002314796 -0.3420782
Moved 1417.575 368.975 277.65 0.0207754 -0.2838222
Moved 1417.606 382.2048 298.8072 0.05139997 -0.2294054
Moved 1417.637 396 320.5 0.08333336 -0.1736112
Moved 1417.667 409.202 343.3535 0.1138935 -0.1148316
Moved 1417.698 422.2126 364.8188 0.1440106 -0.05962246
Moved 1417.729 432.7083 383.8471 0.1683061 -0.01068131
Moved 1417.76 440.0638 396.1277 0.185333 0.02090454
Moved 1417.79 446.5868 406.3802 0.2004324 0.04727411
Moved 1417.821 451.5568 413.6703 0.2119369 0.06602429
Moved 1417.852 454.3145 418.3145 0.2183206 0.07796939
Moved 1417.883 456 421.7485 0.2222222 0.0868017
Moved 1417.913 457.5 424.5 0.2256945 0.09387855
Moved 1417.944 458.3581 425.3581 0.2276808 0.09608555
Moved 1417.975 458 426.3213 0.2268519 0.09856294
Stationary 1418.005 458 426.3213 0.2268519 0.09856294
Stationary 1418.036 458 426 0.2268519 0.09773654
Stationary 1418.067 458 426 0.2268519 0.09773654
