do you prefer a window seat
do you prefer a window seat
Basic
List

0.6 0.6
432 388.8
Began 118.8969 296 416 -0.1481481 0.07201634
Stationary 118.9277 296 416 -0.1481481 0.07201634
Stationary 118.9584 296 416 -0.1481481 0.07201634
Moved 118.9891 313.0493 416 -0.1086822 0.07201634
Moved 119.0198 337.6095 427.2828 -0.05182986 0.101036
Moved 119.0505 374.101 437.6639 0.03264119 0.1277364
Moved 119.0812 404.6843 448.7034 0.1034358 0.15613
Moved 119.112 435 459 0.1736111 0.1826131
Moved 119.1427 451.4892 466.4964 0.2117805 0.2018939
Moved 119.1735 457.4556 470.3822 0.2255916 0.2118883
Moved 119.2042 469.2426 477.1213 0.2528765 0.2292215
Moved 119.2349 480.7391 483.8695 0.2794886 0.2465779
Moved 119.2656 488.9994 491.9991 0.2986097 0.2674874
Moved 119.2963 496.6297 497.7532 0.3162725 0.2822869
Moved 119.3271 503.5021 502.751 0.3321808 0.2951415
Moved 119.3578 507.439 506.2195 0.341294 0.3040624
Moved 119.3885 511.3328 509.1664 0.3503074 0.3116418
Moved 119.4193 513 512.0426 0.3541666 0.3190396
Moved 119.45 515.5 513.5 0.3599537 0.3227879
Moved 119.4807 516.3159 514.3159 0.3618422 0.3248864
Moved 119.5115 518.1438 515 0.3660736 0.326646
Ended 119.5422 519 516 0.3680556 0.329218
Candidates 119.6344 13 do go so shop sp full dip ship gi gdp di hi gfp
Began 120.0952 337 480 -0.05324075 0.2366254
Stationary 120.126 337 480 -0.05324075 0.2366254
Moved 120.1568 355.4436 480 -0.01054729 0.2366254
Moved 120.1874 384.7305 489.0812 0.05724649 0.2599824
Moved 120.2182 412.2665 495.2533 0.1209872 0.2758572
Moved 120.2489 437 498.5 0.1782407 0.2842077
Moved 120.2796 456.6103 502.3729 0.2236351 0.2941689
Moved 120.3104 470.598 504.9196 0.256014 0.3007191
Moved 120.3411 483.2907 507.7635 0.2853952 0.3080338
Moved 120.3718 491.2608 509.6304 0.3038444 0.3128354
Moved 120.4026 497.0231 511 0.317183 0.3163579
Moved 120.4332 500.0787 512.0787 0.3242563 0.3191325
Moved 120.464 502.5 512 0.3298611 0.31893
Moved 120.4947 504.5 513.5 0.3344907 0.3227879
Moved 120.5255 505.1252 513 0.335938 0.321502
Stationary 120.5562 505.1252 513 0.335938 0.321502
Stationary 120.5869 505 513 0.3356481 0.321502
Stationary 120.6176 505 513 0.3356481 0.321502
Moved 120.6483 491.0878 509.6536 0.3034438 0.3128949
Moved 120.6791 480.6033 503.6508 0.2791744 0.2974558
Moved 120.7098 469.9022 500.7805 0.2544032 0.2900731
Moved 120.7406 456.5149 499 0.2234141 0.2854938
Moved 120.7713 448.4313 497.3578 0.204702 0.2812699
Moved 120.802 438.9285 497 0.1827049 0.2803498
Moved 120.8327 430.8239 497 0.1639443 0.2803498
Moved 120.8634 426.141 497 0.1531043 0.2803498
Moved 120.8942 420.2218 497 0.1394022 0.2803498
Moved 120.9249 415.3546 497 0.1281356 0.2803498
Moved 120.9556 412.5 497 0.1215278 0.2803498
Moved 120.9863 409.911 497 0.1155347 0.2803498
Moved 121.0171 407.5 497 0.1099537 0.2803498
Moved 121.0478 406 497 0.1064815 0.2803498
Moved 121.0785 404.6494 497 0.1033551 0.2803498
Ended 121.1093 405 497 0.1041667 0.2803498
Accept 121.2015 0 do
Candidates 121.2015 13 you toy to i root roy for got too u foot error tour
Began 122.4921 565 511 0.474537 0.3163579
Moved 122.5228 556.4307 511 0.4547006 0.3163579
Moved 122.5535 541.739 511 0.4206921 0.3163579
Moved 122.5842 526.3252 511 0.385012 0.3163579
Moved 122.6149 507.8344 519.0331 0.3422093 0.3370191
Moved 122.6457 491.4943 520.9011 0.304385 0.3418237
Moved 122.6764 472.031 522.7744 0.259331 0.3466418
Moved 122.7071 453.7184 525.3259 0.2169407 0.3532045
Moved 122.7379 438.0675 528.1865 0.1807119 0.3605619
Moved 122.7686 422.6501 530.0583 0.1450233 0.3653764
Moved 122.7993 409.5504 532 0.1146999 0.3703703
Moved 122.8301 395.7588 534.4482 0.08277496 0.3766672
Moved 122.8608 385.0108 535 0.05789548 0.3780863
Moved 122.8915 376.4087 536.1971 0.03798306 0.3811653
Moved 122.9222 369.4691 536 0.02191931 0.3806583
Moved 122.9529 360.0861 536 0.0001992782 0.3806583
Moved 122.9837 349.9514 536 -0.02326076 0.3806583
Moved 123.0144 336.9073 536 -0.05345533 0.3806583
Moved 123.0452 327.9387 536 -0.07421608 0.3806583
Moved 123.0759 323.4204 536 -0.08467495 0.3806583
Moved 123.1066 313.3609 536 -0.1079608 0.3806583
Moved 123.1373 304.511 536 -0.1284467 0.3806583
Moved 123.168 292.8637 526.9546 -0.155408 0.3573934
Moved 123.1988 284.1606 525.0803 -0.1755542 0.3525726
Moved 123.2295 276.416 523.208 -0.1934814 0.3477571
Moved 123.2602 271.3215 521.6608 -0.2052743 0.3437776
Moved 123.291 265.577 521 -0.2185718 0.3420781
Moved 123.3217 261.9175 518.9175 -0.2270428 0.336722
Moved 123.3524 258.2928 518.2928 -0.2354332 0.3351153
Moved 123.3831 255.5248 518 -0.2418408 0.3343621
Moved 123.4139 254 517 -0.2453704 0.33179
Moved 123.4446 252 515.7825 -0.25 0.3286587
Moved 123.4754 249.5 516 -0.255787 0.329218
Moved 123.506 248.3391 516 -0.2584742 0.329218
Stationary 123.5368 248 516 -0.2592593 0.329218
Moved 123.5675 246.6261 516 -0.2624397 0.329218
Moved 123.5982 245.8274 516 -0.2642884 0.329218
Stationary 123.6289 245.8274 516 -0.2642884 0.329218
Stationary 123.6597 245.8274 516 -0.2642884 0.329218
Stationary 123.6905 246 516 -0.2638889 0.329218
Moved 123.7211 246 514.9367 -0.2638889 0.3264832
Stationary 123.7519 246 514.9367 -0.2638889 0.3264832
Moved 123.7826 253 514 -0.2476852 0.324074
Moved 123.8133 254.3504 514 -0.2445593 0.324074
Moved 123.844 255 512.7714 -0.2430556 0.320914
Moved 123.8748 256 511.8939 -0.2407407 0.3186571
Moved 123.9055 257 511.2819 -0.2384259 0.3170831
Moved 123.9362 257 509.0087 -0.2384259 0.3112363
Moved 123.967 257 500.8982 -0.2384259 0.2903759
Moved 123.9977 258.2388 483.5674 -0.2355584 0.2458009
Moved 124.0284 260.8162 462.4706 -0.2295922 0.1915396
Moved 124.0592 265.6768 442.9389 -0.2183406 0.1413037
Moved 124.0899 270.551 421.694 -0.2070579 0.08666152
Moved 124.1206 273.4393 407.6819 -0.2003719 0.05062229
Moved 124.1513 276.9756 398.0732 -0.1921861 0.02590838
Moved 124.1821 278.8467 392.3065 -0.1878548 0.0110764
Moved 124.2128 280 389.2873 -0.1851852 0.003310898
Moved 124.2435 281 388 -0.1828704 -3.924585E-08
Moved 124.2742 282 388 -0.1805555 -3.924585E-08
Moved 124.305 283 396.5915 -0.1782407 0.02209742
Moved 124.3357 283 408.4653 -0.1782407 0.05263713
Moved 124.3665 283 422.1642 -0.1782407 0.0878708
Moved 124.3972 283 433.9625 -0.1782407 0.1182163
Moved 124.4279 273.885 445.4599 -0.1993402 0.1477878
Moved 124.4586 271.269 451.1931 -0.2053959 0.1625334
Moved 124.4893 268.5 458.5 -0.2118056 0.181327
Moved 124.5201 266.6249 462.7502 -0.2161461 0.1922588
Moved 124.5508 266 467.2493 -0.2175926 0.2038303
Moved 124.5815 265 470.8236 -0.2199074 0.2130236
