I want to hold your hand
I want to hold your hand
FixStart
Radial

0.6 0.6
432 388.8
Stationary 549.1514 312 404 -0.1111111 0.04115226
Stationary 549.1821 312 404 -0.1111111 0.04115226
Stationary 549.2128 312 404 -0.1111111 0.04115226
Stationary 549.2435 312 404 -0.1111111 0.04115226
Moved 549.2742 323.1494 414.724 -0.08530244 0.06873452
Moved 549.3049 327.9004 421.3506 -0.07430459 0.08577833
Moved 549.3356 330.3106 427.9319 -0.06872544 0.1027054
Moved 549.3664 331.851 439.2548 -0.06515985 0.1318282
Moved 549.3971 332.7313 449.9252 -0.06312201 0.1592724
Moved 549.4278 333 458.8095 -0.06249999 0.1821231
Moved 549.4586 333 466.2267 -0.06249999 0.2012003
Moved 549.4893 333 477.8025 -0.06249999 0.2309734
Moved 549.52 325.1593 492.2037 -0.08064985 0.2680135
Moved 549.5507 323.2792 503.8832 -0.08500183 0.2980533
Moved 549.5811 320.7312 510.8063 -0.09089991 0.3158596
Moved 549.6121 319 519.2808 -0.09490739 0.3376563
Moved 549.6429 316.9964 525.0071 -0.09954532 0.3523845
Moved 549.6736 317 528.645 -0.09953702 0.361741
Moved 549.7043 317 531.3887 -0.09953702 0.3687981
Moved 549.735 317 534.1598 -0.09953702 0.3759252
Moved 549.7657 327.0753 537.0377 -0.07621452 0.3833272
Moved 549.7964 335.0462 539.6093 -0.0577635 0.3899414
Moved 549.8272 350.8609 542.9536 -0.02115523 0.3985431
Moved 549.8579 367.7394 545.3479 0.01791527 0.4047013
Moved 549.8886 384.3179 546 0.05629142 0.4063785
Moved 549.9193 403.2996 546 0.1002305 0.4063785
Moved 549.95 423.7638 546 0.1476014 0.4063785
Moved 549.9808 440.9775 546 0.187448 0.4063785
Moved 550.0115 454.0078 546 0.2176107 0.4063785
Moved 550.0422 472.2853 546 0.2599196 0.4063785
Moved 550.0729 494.8594 546 0.3121747 0.4063785
Moved 550.1036 503.3676 546 0.3318695 0.4063785
Moved 550.1343 509.2061 546 0.3453845 0.4063785
Moved 550.1651 511.0398 546 0.3496291 0.4063785
Ended 550.1957 512.374 546 0.3527175 0.4063785
Candidates 550.2572 13 to top tip up http too group yo trip yup tp ip go
Began 550.7487 213 437 -0.3402778 0.1260288
Stationary 550.7794 213 437 -0.3402778 0.1260288
Moved 550.8101 243.2338 437 -0.2702921 0.1260288
Moved 550.8408 316 457 -0.1018519 0.1774691
Moved 550.8715 429.1281 470.1551 0.1600188 0.2113042
Moved 550.9023 527.4465 478.4539 0.3876076 0.2326488
Moved 550.933 602.3326 483 0.560955 0.2443414
Moved 550.9637 643.4764 484 0.6561955 0.2469135
Moved 550.9944 674.4522 484 0.7278987 0.2469135
Ended 551.0252 683.6132 487.6132 0.7491047 0.2562068
Accept 551.0866 0 to
Began 551.5781 453 449 0.2152778 0.156893
Stationary 551.6088 453 449 0.2152778 0.156893
Stationary 551.6395 453 449 0.2152778 0.156893
Stationary 551.6702 453 449 0.2152778 0.156893
Moved 551.701 438.7302 449 0.1822458 0.156893
Moved 551.7316 433.077 449 0.1691597 0.156893
Moved 551.7623 429.1654 449 0.1601051 0.156893
Moved 551.7931 426.7548 449 0.1545249 0.156893
Moved 551.8239 425.7892 449 0.1522898 0.156893
Stationary 551.8546 426 449 0.1527777 0.156893
Moved 551.8853 439.7852 463.7852 0.184688 0.1949207
Moved 551.916 458.0002 483.5002 0.2268523 0.2456281
Moved 551.9467 478.9742 503.6024 0.2754033 0.2973312
Moved 551.9774 507.7702 519.7258 0.3420607 0.3388009
Moved 552.0082 527.585 528.5944 0.3879282 0.3616109
Moved 552.0389 537.7482 532.2494 0.4114543 0.3710117
Moved 552.0696 553.4614 537.9846 0.4478273 0.3857626
Moved 552.1003 568.845 542.369 0.4834376 0.3970395
Moved 552.131 577.7587 544.9396 0.504071 0.4036513
Moved 552.1617 587.4242 545.808 0.5264449 0.4058848
Moved 552.1924 592.6775 546 0.5386053 0.4063785
Moved 552.2232 596.5 546 0.5474536 0.4063785
Moved 552.2539 599.0942 546 0.5534589 0.4063785
Moved 552.2846 601.9584 546 0.5600889 0.4063785
Moved 552.3154 603.8266 546 0.5644134 0.4063785
Moved 552.346 605 546 0.5671296 0.4063785
Moved 552.3768 607.1984 546 0.5722186 0.4063785
Moved 552.4075 609.0341 546 0.5764677 0.4063785
Moved 552.4382 610.3713 546 0.5795632 0.4063785
Moved 552.4689 611.1408 546 0.5813444 0.4063785
Moved 552.4995 612.374 546 0.584199 0.4063785
Moved 552.5303 613.058 546 0.5857825 0.4063785
Stationary 552.561 613.058 546 0.5857825 0.4063785
Stationary 552.5918 613 546 0.5856481 0.4063785
Stationary 552.6225 613 546 0.5856481 0.4063785
Stationary 552.6532 613 546 0.5856481 0.4063785
Moved 552.684 613 534.3376 0.5856481 0.3763826
Moved 552.7147 614.6014 517.9964 0.5893552 0.3343528
Moved 552.7454 618.335 504.3301 0.5979976 0.2992029
Moved 552.7761 627.8653 482.0259 0.6200586 0.2418362
Moved 552.8068 632.2098 472.5804 0.6301153 0.217542
Moved 552.8375 637.8602 459.2796 0.643195 0.1833322
Moved 552.8682 642.8065 447.7741 0.6546446 0.1537399
Moved 552.899 645.215 439.355 0.6602198 0.132086
Moved 552.9297 647 432.6526 0.6643519 0.1148473
Moved 552.9604 648 428.9438 0.6666666 0.105308
Moved 552.9911 648 426.0771 0.6666666 0.09793478
Moved 553.0219 640.21 422.6253 0.6486341 0.08905681
Moved 553.0526 588.1337 419 0.5280873 0.07973251
Moved 553.0833 546.1124 419 0.4308158 0.07973251
Moved 553.114 517.5124 419 0.364612 0.07973251
Moved 553.1447 485.6062 428.1625 0.2907551 0.1032987
Moved 553.1754 450.9301 433.8837 0.2104864 0.1180137
Moved 553.2061 443.3684 435.3263 0.1929825 0.121724
Moved 553.2369 427.7426 436.8939 0.1568116 0.1257559
Moved 553.2676 413.1726 437 0.1230848 0.1260288
Moved 553.2983 398.8079 437.6384 0.08983314 0.1276708
