the back yard of our house
the back yard of our house
Basic
List

0.6 0.6
432 388.8
Began 605.5189 322 510 -0.08796295 0.3137859
Moved 605.5496 342.5366 492.4171 -0.04042462 0.2685625
Moved 605.5803 395.3042 451.9029 0.08172273 0.1643592
Moved 605.611 422.6771 429.3229 0.1450859 0.1062831
Moved 605.6418 432.4321 409.7038 0.1676669 0.0558224
Moved 605.6725 433 396.673 0.1689814 0.02230715
Moved 605.7032 433 390.0897 0.1689814 0.005374759
Moved 605.734 412.6292 392.8852 0.1218267 0.0125648
Moved 605.7648 388.4803 410.7998 0.06592661 0.05864139
Moved 605.7955 364.1417 431.626 0.009587308 0.1122066
Moved 605.8262 346.1316 449.8684 -0.03210272 0.1591264
Moved 605.8569 329.5215 464.4786 -0.07055218 0.1967041
Moved 605.8877 318.5282 474.4717 -0.09599949 0.2224067
Moved 605.9184 309.9286 484.0714 -0.115906 0.2470972
Moved 605.9491 299.272 494.364 -0.1405741 0.2735699
Moved 605.9799 293.5237 500.4763 -0.1538802 0.2892907
Moved 606.0106 289.8967 503.1033 -0.1622762 0.2960474
Moved 606.0414 287 504.5 -0.1689815 0.2996398
Moved 606.0721 284.9232 506.0384 -0.1737888 0.3035966
Ended 606.1028 285 506 -0.1736111 0.3034978
Candidates 606.2257 13 the there they other where she right if turkey duke tiger higher figure
Began 606.7482 393 235 0.07638891 -0.3935186
Stationary 606.7789 393 235 0.07638891 -0.3935186
Stationary 606.8097 393 235 0.07638891 -0.3935186
Stationary 606.8405 393 235 0.07638891 -0.3935186
Moved 606.8712 375.8114 235 0.03660043 -0.3935186
Moved 606.9019 359.4449 235 -0.001284927 -0.3935186
Moved 606.9326 337.333 235 -0.05246982 -0.3935186
Moved 606.9633 314.7586 235 -0.1047255 -0.3935186
Moved 606.9941 293.6411 246.5897 -0.1536087 -0.3637095
Moved 607.0248 272.0207 256.9897 -0.2036558 -0.3369608
Moved 607.0555 254.7832 268.6807 -0.2435575 -0.3068914
Moved 607.0863 239.7488 280.1675 -0.2783593 -0.2773471
Moved 607.1171 226.285 292.715 -0.3095256 -0.2450746
Moved 607.1478 216.6067 302.3933 -0.331929 -0.2201819
Moved 607.1785 210.6511 311.0234 -0.3457151 -0.1979852
Moved 607.2092 207.7597 321.9612 -0.3524081 -0.169853
Moved 607.24 207 330.3312 -0.3541667 -0.1483251
Moved 607.2706 207 336.9639 -0.3541667 -0.1312657
Moved 607.3015 207 342.2792 -0.3541667 -0.1175948
Moved 607.3322 207 347.7797 -0.3541667 -0.1034474
Moved 607.3629 222.3166 353.5266 -0.3187116 -0.08866619
Moved 607.3936 248.1761 354 -0.2588516 -0.08744855
Moved 607.4244 264.4355 349.5645 -0.2212141 -0.09885678
Moved 607.4551 279.5543 339.4674 -0.186217 -0.1248268
Moved 607.4858 289.1301 330.8699 -0.1640507 -0.1469395
Moved 607.5165 294.2448 322.2657 -0.1522112 -0.1690696
Moved 607.5473 297.7914 310.8344 -0.1440013 -0.1984711
Moved 607.578 299 299.3712 -0.1412037 -0.2279547
Moved 607.6088 299 289.9543 -0.1412037 -0.2521752
Moved 607.6395 299 284.9637 -0.1412037 -0.2650111
Moved 607.6702 299 280.1641 -0.1412037 -0.2773558
Moved 607.7009 299 277.2105 -0.1412037 -0.2849525
Moved 607.7317 299.6592 274.3408 -0.1396778 -0.2923335
Moved 607.7625 303.4529 272.7736 -0.1308961 -0.2963644
Moved 607.7932 319.6513 273 -0.09339985 -0.295782
Moved 607.8239 344.63 292.7533 -0.03557876 -0.2449761
Moved 607.8547 370.5 310.5 0.02430558 -0.1993313
Moved 607.8854 394.9353 332.5684 0.0808688 -0.1425709
Moved 607.9161 416.7762 351.5224 0.1314262 -0.09382106
Moved 607.9468 432.5208 362.4167 0.1678722 -0.06580078
Moved 607.9775 446.036 371.4288 0.1991575 -0.04262139
Moved 608.0083 457.9143 381.9143 0.2266535 -0.01565266
Moved 608.039 468.3758 389.0318 0.2508698 0.002653726
Moved 608.0698 475.4281 394.2141 0.2671947 0.0159826
Moved 608.1005 482.2833 398.5222 0.2830632 0.02706327
Moved 608.1312 488.2583 403.2583 0.2968942 0.03924448
Moved 608.1619 492.5008 406 0.3067147 0.04629618
Moved 608.1926 495.0113 408.0112 0.312526 0.05146921
Moved 608.2234 497.8909 409 0.319192 0.05401234
Ended 608.2542 498 409 0.3194444 0.05401234
Accept 608.3463 0 the
Candidates 608.3463 13 back bank nacl ball call naacp jack cash basal mall naval mask lack
Began 609.2991 385 528 0.05787035 0.3600822
Stationary 609.3298 385 528 0.05787035 0.3600822
Stationary 609.3606 385 528 0.05787035 0.3600822
Moved 609.3913 363.9461 520.0779 0.009134511 0.3397065
Moved 609.4221 330.586 505.7742 -0.06808797 0.302917
Moved 609.4528 289.0704 485.5764 -0.1641888 0.2509681
Moved 609.4835 253.3443 464.4919 -0.2468881 0.1967383
Moved 609.5142 225.5669 448.1274 -0.3111878 0.1546485
Moved 609.545 205.5128 432.8846 -0.3576093 0.1154438
Moved 609.5757 188.7004 421.8203 -0.3965268 0.08698616
Moved 609.6064 178.9477 414.6318 -0.4191025 0.06849728
Moved 609.6371 172.1249 411.5624 -0.4348959 0.06060286
Moved 609.6679 167.7036 411 -0.4451307 0.05915629
Moved 609.6987 164.8298 410 -0.4517828 0.05658428
Moved 609.7294 162.2967 410 -0.4576465 0.05658428
Stationary 609.7601 162 410 -0.4583334 0.05658428
Moved 609.7908 162 422.7903 -0.4583334 0.08948121
Moved 609.8216 176.2897 440.2569 -0.4252554 0.1344055
Moved 609.8524 198.1739 463.3399 -0.3745975 0.1937754
Moved 609.8831 222.6245 482.5153 -0.3179989 0.2430949
Moved 609.9138 247.1497 498.4331 -0.2612275 0.2840357
Moved 609.9445 265.7726 508.3311 -0.2181191 0.3094935
Moved 609.9753 282.0576 518.0345 -0.1804222 0.3344509
Moved 610.006 292.6417 523.7611 -0.155922 0.3491797
Moved 610.0367 298.5033 526.7516 -0.1423534 0.3568714
Moved 610.0674 301.2898 528 -0.1359033 0.3600822
Moved 610.0982 304.1615 529 -0.1292558 0.3626543
Moved 610.1289 305.012 529 -0.127287 0.3626543
Moved 610.1597 305.6624 523.7006 -0.1257814 0.3490242
Moved 610.1904 306 497.8626 -0.125 0.2825684
Moved 610.2211 306 471.5308 -0.125 0.2148426
Moved 610.2519 295.6993 445.4966 -0.1488441 0.1478822
Moved 610.2826 292.3008 426.1056 -0.1567111 0.09800808
Moved 610.3134 290.4337 411.735 -0.161033 0.06104673
Moved 610.3441 289 402.6668 -0.1643519 0.03772319
Moved 610.3748 286.6765 396.0297 -0.1697302 0.02065239
Moved 610.4055 285.1713 391.3427 -0.1732145 0.008597315
Moved 610.4363 284.3009 387.6018 -0.1752294 -0.001024238
Moved 610.467 283 384.4313 -0.1782407 -0.009178664
Moved 610.4977 280.8945 380.8945 -0.1831146 -0.01827562
Moved 610.5285 280 377.9938 -0.1851852 -0.02573602
Moved 610.5592 278.1243 374.1243 -0.189527 -0.03568845
Moved 610.5899 277.2505 371.2505 -0.1915498 -0.0430801
Ended 610.6207 277 371 -0.1921296 -0.04372435
Accept 610.7437 0 back
Candidates 610.7437 13 yard yards years tears used users treated rated rates heard treats tests rewards
Began 611.1739 545 494 0.4282407 0.2726337
Stationary 611.2047 545 494 0.4282407 0.2726337
Moved 611.2354 535.8912 494 0.4071555 0.2726337
Moved 611.2661 503.492 487.746 0.3321574 0.2565484
Moved 611.2968 453.0456 472.9716 0.2153834 0.2185483
Moved 611.3276 406.9275 458.2029 0.1086285 0.180563
Moved 611.3583 375.7622 445.9135 0.03648669 0.1489544
Moved 611.389 351.2232 435.6116 -0.02031664 0.1224577
Moved 611.4198 331.8873 427.666 -0.0650757 0.1020216
Moved 611.4505 318.5268 420.116 -0.09600286 0.08260291
Moved 611.4812 307.2614 413.6307 -0.1220801 0.06592244
Moved 611.5119 299.8813 408.5875 -0.1391638 0.05295145
