the collapse of the Roman empire
the collapse of the Roman empire
Basic
Radial

0.6 0.6
432 388.8
Began 2165.45 359 523 -0.002314796 0.3472221
Stationary 2165.481 359 523 -0.002314796 0.3472221
Moved 2165.511 380.1617 453.8663 0.04667054 0.1694091
Moved 2165.542 400.3964 395.0435 0.09351025 0.01811585
Moved 2165.573 405.7335 376.3324 0.1058646 -0.03000934
Moved 2165.604 398.6689 370.3891 0.08951137 -0.0452956
Moved 2165.635 342.4817 395.1851 -0.04055157 0.01847997
Moved 2165.665 286.2875 435.6414 -0.1706308 0.1225344
Moved 2165.696 258.9748 462.0251 -0.2338545 0.1903938
Moved 2165.727 229.1285 489.8715 -0.3029433 0.262015
Moved 2165.757 206.5723 521.8555 -0.3551567 0.3442784
Moved 2165.788 201 545.1719 -0.3680556 0.4042487
Ended 2165.819 201 545.1719 -0.3680556 0.4042487
Candidates 2165.942 13 the there these he use user where offer new threw she under tiger
Began 2166.433 218.9346 462 -0.3265402 0.1903292
Moved 2166.464 318.543 462 -0.09596536 0.1903292
Moved 2166.495 481.9867 471.101 0.2823766 0.213737
Ended 2166.525 591.5 475 0.5358797 0.2237653
Accept 2166.587 0 the
Began 2167.478 333 479 -0.06249999 0.2340534
Stationary 2167.509 333 479 -0.06249999 0.2340534
Moved 2167.539 333 457.6587 -0.06249999 0.1791632
Moved 2167.57 321 417 -0.09027779 0.0745884
Moved 2167.601 319.9449 394.6143 -0.09272019 0.01701214
Moved 2167.632 319 384.1563 -0.09490739 -0.00988607
Moved 2167.662 317.6445 381.2891 -0.09804507 -0.01726072
Moved 2167.693 328.9593 394.1769 -0.07185354 0.01588715
Moved 2167.724 363.9531 455.2552 0.009150703 0.1729815
Moved 2167.754 397.3438 509.5731 0.08644412 0.3126878
Moved 2167.785 426.819 551.5464 0.1546735 0.420644
Moved 2167.816 451.098 584.4884 0.2108751 0.5053713
Moved 2167.847 467.9318 610.8978 0.2498422 0.5732965
Moved 2167.877 478.7743 624.9679 0.2749405 0.6094852
Moved 2167.908 483.5757 631.5757 0.2860549 0.6264807
Moved 2167.938 487.5891 636.5892 0.2953452 0.6393753
Moved 2167.969 489 639.4573 0.2986111 0.6467522
Moved 2168 490 640.5 0.300926 0.6494341
Moved 2168.031 491 641 0.3032407 0.65072
Stationary 2168.062 491 641 0.3032407 0.65072
Stationary 2168.092 491 641 0.3032407 0.65072
Stationary 2168.123 491 641 0.3032407 0.65072
Stationary 2168.154 491 641 0.3032407 0.65072
Stationary 2168.185 491 641 0.3032407 0.65072
Moved 2168.215 484.7345 623.8672 0.2887372 0.6066543
Moved 2168.246 479.588 614.1761 0.2768241 0.5817286
Moved 2168.277 473.6747 593.6989 0.263136 0.5290609
Moved 2168.307 466.9202 564.6541 0.2475004 0.4543572
Moved 2168.338 457.286 533.9534 0.2251992 0.3753945
Moved 2168.369 446.7379 496.7612 0.2007821 0.2797356
Moved 2168.4 438.061 461.9309 0.1806967 0.1901515
Moved 2168.43 431.6118 437.6415 0.1657682 0.1276787
Moved 2168.461 428.2122 421.0611 0.1578987 0.08503364
Moved 2168.492 427 407.2646 0.1550926 0.04954891
Moved 2168.522 426 396.2086 0.1527777 0.02111254
Moved 2168.553 426 390.345 0.1527777 0.006031421
Moved 2168.584 426 387.0999 0.1527777 -0.002315074
Moved 2168.615 426 384.235 0.1527777 -0.00968368
Moved 2168.646 426 381.3635 0.1527777 -0.0170692
Moved 2168.676 426 378.5 0.1527777 -0.02443423
Moved 2168.707 426 376.9536 0.1527777 -0.02841172
Moved 2168.738 426 375.5251 0.1527777 -0.03208568
Moved 2168.768 433.7845 373 0.1707973 -0.03858032
Moved 2168.799 435.1218 371.8782 0.173893 -0.04146544
Moved 2168.83 437.1591 369.8409 0.178609 -0.04670555
Moved 2168.861 438.5 368.5 0.181713 -0.0501544
Moved 2168.891 439.233 367.767 0.1834096 -0.05203953
Moved 2168.922 440.4476 365.5524 0.1862213 -0.05773576
Moved 2168.953 440 364.6685 0.1851852 -0.06000903
Moved 2168.983 431.2229 363.9028 0.1648677 -0.06197847
Moved 2169.014 412.9244 362.2138 0.1225103 -0.06632251
Moved 2169.045 376.454 361 0.03808797 -0.06944452
Moved 2169.076 327.5219 359 -0.07518078 -0.07458848
Moved 2169.106 276.1169 358 -0.1941739 -0.07716057
Moved 2169.137 239.4258 358 -0.2791071 -0.07716057
Moved 2169.168 220.7196 358 -0.3224083 -0.07716057
Moved 2169.198 214.7256 358 -0.3362832 -0.07716057
Moved 2169.229 214 368.5 -0.3379629 -0.0501544
Moved 2169.26 284.8699 416.58 -0.1739122 0.07350811
Moved 2169.291 367.4759 457.9292 0.01730531 0.179859
Moved 2169.321 469.8939 484.537 0.254384 0.2482946
Moved 2169.352 524.2724 490.4272 0.3802601 0.2634445
Moved 2169.383 557.5677 490 0.4573327 0.2623456
Moved 2169.414 575.1753 490 0.498091 0.2623456
Moved 2169.444 579.9175 490 0.5090684 0.2623456
Stationary 2169.475 580 490 0.5092593 0.2623456
Moved 2169.506 552.6041 477.9855 0.4458427 0.2314442
Moved 2169.536 472.5444 459.1918 0.2605195 0.1831064
Moved 2169.567 414.6097 447.8381 0.1264113 0.1539046
Moved 2169.598 373.7236 437.6353 0.03176768 0.1276628
Moved 2169.629 344.3378 428.1351 -0.03625507 0.1032282
Moved 2169.659 322.6487 421.3282 -0.0864613 0.0857206
Moved 2169.69 304.7689 414.2883 -0.1278498 0.06761394
Moved 2169.721 288.3043 405.6522 -0.1659623 0.04540161
Moved 2169.751 272.7115 395.3692 -0.2020568 0.01895359
Moved 2169.782 258.5 385 -0.2349537 -0.007716127
Moved 2169.813 240.6289 372.7526 -0.276322 -0.03921658
Moved 2169.844 229.2519 364.1889 -0.3026576 -0.0612426
Moved 2169.874 218.7688 355.7688 -0.3269241 -0.08289918
Moved 2169.905 213.5529 352.7764 -0.3389979 -0.09059568
Moved 2169.936 211.5 353 -0.34375 -0.09002065
Moved 2169.967 224.5442 393.1338 -0.313555 0.01320407
Moved 2169.997 266.0874 478.2509 -0.2173903 0.2321266
Moved 2170.028 298.0754 529.8142 -0.1433439 0.3647484
Moved 2170.059 333.2662 564.9151 -0.06188377 0.4550284
Ended 2170.089 333.2662 564.9151 -0.06188377 0.4550284
Candidates 2170.243 13 consider dioxide disappear consist episode collapse display disclose appreciate disorder dispute subsidy associate
Began 2172.086 339 439 -0.04861111 0.1311728
Stationary 2172.117 339 439 -0.04861111 0.1311728
Ended 2172.148 339 439 -0.04861111 0.1311728
NextCandidatePanel 2172.209
Began 2174.391 371 432 0.025463 0.1131687
Moved 2174.422 449.2728 540.3351 0.2066501 0.3918082
Moved 2174.452 523.2722 626.2722 0.3779449 0.6128399
Ended 2174.483 546.5 649.5 0.4317129 0.6725821
Accept 2174.544 5 collapse
Began 2174.975 469 515 0.2523148 0.326646
Moved 2175.005 460.7335 515 0.2331794 0.326646
Moved 2175.036 440.1281 498.2161 0.1854818 0.2834774
Moved 2175.067 411 480.5 0.1180555 0.2379114
Moved 2175.097 383.1498 460.3387 0.05358755 0.1860564
Moved 2175.128 357.4304 442.2869 -0.005948097 0.1396268
Moved 2175.159 337.9507 425.9507 -0.05104 0.09760974
Moved 2175.19 323.0956 414.413 -0.08542676 0.06793469
Moved 2175.22 310.9034 403.1776 -0.1136496 0.03903691
Moved 2175.251 300.5759 392.5759 -0.1375557 0.01176928
Moved 2175.282 287.8897 381.9173 -0.1669219 -0.01564481
Moved 2175.313 279.8752 374.8752 -0.1854741 -0.03375732
Moved 2175.343 274.1196 370.5598 -0.1987973 -0.0448566
Moved 2175.374 269.3824 365.3824 -0.2097628 -0.05817271
Moved 2175.405 265.1355 362.1354 -0.2195939 -0.06652416
Moved 2175.436 261.318 358.3179 -0.2284306 -0.07634276
Moved 2175.466 259.8793 356.8793 -0.2317609 -0.0800431
Ended 2175.497 260 355.6245 -0.2314815 -0.08327045
Candidates 2175.62 13 is id if of us odds odd its usa off pass his pa
Began 2177.033 357 418 -0.006944438 0.07716041
Moved 2177.064 374.7712 393.4029 0.0341926 0.01389629
Moved 2177.094 405.3723 346.7311 0.1050286 -0.1061443
Ended 2177.125 410 340 0.1157407 -0.1234569
Accept 2177.187 3 of
Began 2177.555 324 498 -0.08333336 0.2829217
Stationary 2177.586 324 498 -0.08333336 0.2829217
Moved 2177.617 362.3183 432.7971 0.005366405 0.1152186
Moved 2177.647 394.5 370.5 0.07986108 -0.04501037
Moved 2177.678 411.5915 344.1719 0.1194247 -0.1127266
Moved 2177.709 414 337.0095 0.125 -0.1311484
Moved 2177.74 395.0548 344.5323 0.08114547 -0.1117997
Moved 2177.771 346.9716 380.431 -0.03015821 -0.01946767
Moved 2177.801 313.003 414.2823 -0.1087893 0.06759844
Moved 2177.832 294.0635 438.2487 -0.1526309 0.1292403
Moved 2177.863 271.6975 473.4916 -0.2044039 0.2198857
Ended 2177.893 261.9814 494.1504 -0.2268949 0.2730205
Candidates 2178.047 13 the else termed ended threw seemed deemed rubber that tenet engage entered what
Began 2178.569 269.0294 401 -0.2105801 0.03343609
Moved 2178.6 375.8481 418.5667 0.03668527 0.07861797
Ended 2178.631 419 428 0.1365741 0.1028806
Accept 2178.692 0 the
Began 2179.798 308 464 -0.1203704 0.1954732
Stationary 2179.829 308 464 -0.1203704 0.1954732
Stationary 2179.86 308 464 -0.1203704 0.1954732
Moved 2179.89 349.7189 473.7338 -0.02379889 0.2205087
Moved 2179.921 426.5891 494.1768 0.1541415 0.2730883
Moved 2179.952 461.8206 503.2051 0.2356957 0.2963094
Moved 2179.983 490.4808 502 0.3020389 0.2932098
Moved 2180.013 510.5691 502 0.3485397 0.2932098
Moved 2180.044 520.0788 502 0.3705527 0.2932098
Moved 2180.075 524.5719 494 0.3809535 0.2726337
Moved 2180.105 527.4387 489.1226 0.3875896 0.260089
Moved 2180.136 517.4343 454.608 0.3644314 0.1713169
Moved 2180.167 496.3639 395.4097 0.3156572 0.01905775
Moved 2180.198 481.8863 341.6135 0.2821442 -0.1193069
Moved 2180.228 476.7837 302.4047 0.2703327 -0.2201526
Moved 2180.259 474 272.8211 0.2638889 -0.296242
Moved 2180.29 473 254.9005 0.2615741 -0.3423341
Moved 2180.321 471.1008 244.3022 0.2571778 -0.369593
Moved 2180.351 468.1306 237.6959 0.2503023 -0.3865846
Moved 2180.382 458.811 233.7028 0.2287291 -0.396855
Moved 2180.413 432.34 234 0.1674536 -0.3960905
Moved 2180.443 388.8195 251.3131 0.0667118 -0.351561
Moved 2180.474 312.8094 280.5495 -0.1092375 -0.2763644
Moved 2180.505 255.4491 310.6849 -0.242016 -0.1988558
Moved 2180.536 224.3898 325.1601 -0.3139125 -0.1616253
Moved 2180.566 199.7136 336.3146 -0.3710333 -0.1329358
Moved 2180.597 182.1867 343.7033 -0.4116049 -0.1139319
Moved 2180.627 175.8498 347.1502 -0.4262736 -0.1050665
Moved 2180.659 171.5498 350.4502 -0.4362273 -0.09657871
Moved 2180.689 182.6505 359.8411 -0.4105313 -0.07242516
Moved 2180.72 238.4404 370 -0.281388 -0.04629637
Moved 2180.751 312.6318 340.3904 -0.1096485 -0.1224526
Moved 2180.781 360.3898 300.8297 0.0009022157 -0.2242035
Moved 2180.812 410.1562 256.6898 0.1161022 -0.3377319
Moved 2180.843 433.2153 233.7848 0.1694798 -0.3966441
Moved 2180.874 444.6953 221.4064 0.1960538 -0.4284816
Ended 2180.904 448.4337 216.1326 0.2047077 -0.4420459
Candidates 2180.966 13 Roman woman human truman ottoman women german domain urban plan cuban wolfram sullivan
Began 2182.226 327 338 -0.07638887 -0.1286009
Moved 2182.256 341.8715 338 -0.04196415 -0.1286009
Moved 2182.287 428.5173 348.2414 0.158605 -0.1022599
Ended 2182.318 469 358 0.2523148 -0.07716057
Accept 2182.379 0 Roman
Began 2183.024 294 459 -0.1527778 0.1826131
Moved 2183.055 294 454.0547 -0.1527778 0.1698938
Moved 2183.086 313.7328 413.5344 -0.1071 0.06567468
Moved 2183.116 354.4759 345.8386 -0.01278738 -0.1084398
Moved 2183.147 385.2312 307.7687 0.0584056 -0.2063561
Moved 2183.178 410.7439 282.256 0.1174628 -0.2719752
Moved 2183.209 427.222 264.778 0.1556066 -0.3169292
Moved 2183.24 434.8606 254.7091 0.1732884 -0.3428264
Moved 2183.27 438.9728 250.0272 0.1828074 -0.3548683
Moved 2183.301 442.8508 246.1493 0.1917842 -0.3648424
