the facts get in the way
the facts get in the way
FixStart
List

0.6 0.6
432 388.8
Began 330.8796 429 399 0.1597223 0.02829214
Stationary 330.9103 429 399 0.1597223 0.02829214
Stationary 330.941 429 399 0.1597223 0.02829214
Moved 330.9718 429 415.28 0.1597223 0.07016464
Moved 331.0025 429 440.6062 0.1597223 0.1353039
Moved 331.0332 429 457.8157 0.1597223 0.179567
Moved 331.064 429 473.1429 0.1597223 0.2189889
Moved 331.0947 429 485.1448 0.1597223 0.2498579
Moved 331.1254 418.9619 500.1142 0.136486 0.2883596
Moved 331.1561 415.2552 509.2346 0.1279054 0.3118171
Moved 331.1868 412.5347 515.396 0.121608 0.3276646
Moved 331.2176 412 517.8597 0.1203704 0.3340011
Moved 331.2483 411 520.5807 0.1180555 0.3409998
Moved 331.279 409.8504 521 0.1153944 0.3420781
Moved 331.3098 410 522 0.1157407 0.3446501
Moved 331.3405 420.8953 499.0189 0.1409614 0.2855425
Moved 331.3712 434.343 471.314 0.1720903 0.2142848
Moved 331.4019 450.414 434.5626 0.2092918 0.1197597
Moved 331.4326 463 410.5 0.2384259 0.05787029
Moved 331.4634 471.7997 393.4006 0.2587956 0.01389032
Moved 331.4941 477.6544 383.0369 0.2723481 -0.01276526
Moved 331.5249 481.3779 376.2443 0.2809672 -0.03023595
Moved 331.5556 483.8091 373.1909 0.286595 -0.03808928
Moved 331.5863 484.4695 372 0.2881237 -0.04115226
Moved 331.617 486 370.8132 0.2916667 -0.04420481
Moved 331.6478 487 371 0.2939814 -0.04372435
Moved 331.6785 487 370 0.2939814 -0.04629637
Stationary 331.7092 487 370 0.2939814 -0.04629637
Stationary 331.7399 487 370 0.2939814 -0.04629637
Moved 331.7706 482.4561 381.5244 0.2834632 -0.01665539
Moved 331.8014 473.4054 390.4933 0.2625125 0.006412734
Moved 331.8322 462.1498 405.467 0.2364578 0.04492532
Moved 331.8629 444.2101 426.1848 0.1949309 0.09821177
Moved 331.8936 438.7263 432.2737 0.1822368 0.1138725
Moved 331.9243 428.9857 445.5179 0.159689 0.1479371
Moved 331.955 419.3253 456.8996 0.137327 0.1772109
Moved 331.9857 412.1578 466.7896 0.1207358 0.2026479
Moved 332.0165 405.5 474.5 0.1053241 0.2224794
Moved 332.0472 398.7971 483.2704 0.0898082 0.245037
Moved 332.0779 391.4326 492.351 0.07276078 0.2683924
Moved 332.1087 384.9713 501.543 0.05780398 0.2920343
Moved 332.1393 380.1664 506.8337 0.04668136 0.3056421
Moved 332.1701 372.0571 515.9429 0.02790998 0.3290712
Moved 332.2008 370.6645 518.6711 0.02468626 0.3360881
Moved 332.2315 366.9459 522.0541 0.01607845 0.3447892
Moved 332.2623 363.638 525.724 0.008421342 0.3542283
Moved 332.293 359.8097 528.1902 -0.0004404784 0.3605715
Moved 332.3237 356.0862 530.9138 -0.009059756 0.3675766
Moved 332.3544 354.361 532 -0.01305327 0.3703703
Ended 332.3852 354 533.5 -0.01388888 0.3742283
Candidates 332.5081 13 the there they further threw t where enter that higher r turkey she
Began 333.1226 512 431 0.3518519 0.1105966
Stationary 333.1533 512 431 0.3518519 0.1105966
Moved 333.1841 499.1208 431 0.3220388 0.1105966
Moved 333.2148 472.6546 431 0.2607745 0.1105966
Moved 333.2455 447.4572 431 0.2024474 0.1105966
Moved 333.2762 408.898 431 0.1131898 0.1105966
Moved 333.307 382.4262 436.7521 0.05191247 0.1253911
Moved 333.3377 364.1106 440.4128 0.009515385 0.1348065
Moved 333.3684 350.0868 443.8447 -0.02294729 0.1436335
Moved 333.3991 337.1699 446.566 -0.05284741 0.1506328
Moved 333.4299 326.8376 448.2906 -0.07676472 0.1550683
Moved 333.4606 318.967 450.011 -0.09498378 0.1594932
Moved 333.4913 312.8574 451.3809 -0.1091263 0.1630165
Moved 333.522 307.7878 451 -0.1208615 0.162037
Moved 333.5528 305.1731 451 -0.1269141 0.162037
Moved 333.5835 303.8119 451 -0.1300651 0.162037
Moved 333.6142 302.7395 451 -0.1325474 0.162037
Moved 333.6449 302 451 -0.1342593 0.162037
Stationary 333.6757 302 451 -0.1342593 0.162037
Moved 333.7064 310.5238 444.181 -0.1145283 0.1444983
Moved 333.7371 328.6747 432.9001 -0.07251223 0.1154839
Moved 333.7679 349.9856 420.759 -0.02318144 0.08425657
Moved 333.7986 374.7174 407.157 0.03406813 0.04927199
Moved 333.8293 394.8207 396.4329 0.08060355 0.02168953
Moved 333.86 409.4976 390.7512 0.1145777 0.007076106
Moved 333.8908 419.3825 388.1544 0.1374595 0.0003969718
Moved 333.9215 425.1234 385.4383 0.1507487 -0.00658879
Moved 333.9522 429.9431 384 0.1619054 -0.01028807
Moved 333.9829 434.3894 381.3053 0.1721977 -0.01721888
Moved 334.0137 437.4178 379.5822 0.1792078 -0.02165076
Moved 334.0444 441.1341 376.8659 0.1878104 -0.02863715
Moved 334.0751 444.5116 373.4885 0.1956286 -0.03732399
Moved 334.1058 448.4694 369.5306 0.2047902 -0.04750358
Moved 334.1365 450.9562 367.0438 0.2105469 -0.05389978
Moved 334.1673 452.3412 365.6588 0.2137528 -0.05746205
Moved 334.198 453 363.8998 0.2152778 -0.06198608
Moved 334.2287 454 363.1794 0.2175926 -0.06383896
Moved 334.2595 454.5435 362 0.2188508 -0.06687243
Moved 334.2902 455.5 362 0.2210648 -0.06687243
Moved 334.3209 455 360.697 0.2199073 -0.07022402
