that is a very nasty cut
that is a very nasty cut
Basic
Radial

0.6 0.6
432 388.8
Began 1474.622 328 473 -0.07407407 0.2186213
Stationary 1474.653 328 473 -0.07407407 0.2186213
Stationary 1474.683 328 473 -0.07407407 0.2186213
Stationary 1474.714 328 473 -0.07407407 0.2186213
Moved 1474.745 328 462.9918 -0.07407407 0.19288
Moved 1474.776 328 447.3272 -0.07407407 0.1525905
Moved 1474.806 328 430.0057 -0.07407407 0.1080393
Moved 1474.837 335.2592 412.8149 -0.05727048 0.0638242
Moved 1474.868 340.9852 402.6864 -0.04401574 0.03777359
Moved 1474.898 349.6256 390.1658 -0.02401481 0.005570478
Moved 1474.929 357.9107 383.0893 -0.004836271 -0.01263049
Moved 1474.96 369.4076 372.327 0.02177675 -0.04031114
Moved 1474.991 378.6766 364.4926 0.04323284 -0.06046161
Moved 1475.021 391.2006 355.4796 0.07222364 -0.08364297
Moved 1475.052 405.959 347.8164 0.1063865 -0.1033529
Moved 1475.083 417.3619 341.3191 0.1327821 -0.1200641
Moved 1475.113 422.5404 339.2298 0.1447695 -0.1254378
Moved 1475.144 425.521 337.4791 0.1516689 -0.1299407
Moved 1475.175 426 337 0.1527777 -0.1311728
Moved 1475.206 426 336 0.1527777 -0.1337449
Moved 1475.236 416.0624 336 0.1297741 -0.1337449
Moved 1475.267 392.392 336 0.07498156 -0.1337449
Moved 1475.298 349.6862 358.1292 -0.02387449 -0.07682823
Moved 1475.328 296.0413 378.9451 -0.1480526 -0.02328935
Moved 1475.359 251.7742 396.9274 -0.2505226 0.02296138
Moved 1475.39 224.6224 406.8133 -0.3133741 0.04838798
Moved 1475.421 205.1585 412.3833 -0.3584294 0.06271421
Moved 1475.451 193.6257 416.1871 -0.3851257 0.07249769
Moved 1475.482 188.1483 418.8517 -0.3978049 0.07935112
Moved 1475.513 188 423.2104 -0.3981482 0.09056158
Moved 1475.544 206.9292 439.8167 -0.3543305 0.1332733
Moved 1475.574 244.3583 461.2863 -0.2676891 0.1884933
Moved 1475.605 283.7267 473.1817 -0.1765584 0.2190886
Moved 1475.636 319.981 483.2249 -0.09263654 0.24492
Moved 1475.666 345.8736 488.5747 -0.03269995 0.2586797
Ended 1475.697 370.123 497.8492 0.02343287 0.2825339
Candidates 1475.82 13 that what share ebay chat last chart flat wednesday the they jay thai
Began 1476.465 507 334 0.3402778 -0.1388889
Stationary 1476.496 507 334 0.3402778 -0.1388889
Moved 1476.527 583.9775 341 0.5184664 -0.1208849
Moved 1476.557 646.4868 341 0.6631638 -0.1208849
Ended 1476.588 657 341 0.6875001 -0.1208849
Accept 1476.65 0 that
Began 1477.172 600 536 0.5555555 0.3806583
Stationary 1477.203 600 536 0.5555555 0.3806583
Stationary 1477.233 600 536 0.5555555 0.3806583
Moved 1477.264 572.8856 536 0.4927906 0.3806583
Moved 1477.295 551.9067 523.9067 0.4442284 0.3495541
Moved 1477.325 514.3945 510.9144 0.3573947 0.3161378
Moved 1477.356 489.122 499.061 0.2988937 0.2856508
Moved 1477.387 465.7487 487.704 0.2447886 0.2564402
Moved 1477.418 445.6258 476.7921 0.1982078 0.2283747
Moved 1477.448 431.0218 467.613 0.1644023 0.2047659
Moved 1477.479 422.343 462.8953 0.1443125 0.1926319
Moved 1477.51 415.054 457.3693 0.1274399 0.1784189
Moved 1477.541 406.7155 452.477 0.1081376 0.1658358
Moved 1477.571 396.4377 446.9585 0.08434664 0.1516422
Moved 1477.602 385.836 439.127 0.05980552 0.1314993
Moved 1477.633 367.8366 427.1479 0.01814037 0.100689
Moved 1477.663 339.316 405.7213 -0.04787952 0.04557923
Moved 1477.694 315.3056 387.7292 -0.1034593 -0.0006965747
Moved 1477.725 296.3147 375.1799 -0.1474196 -0.03297366
