travel at the speed of light
travel at the speed of light
Basic
List

0.6 0.6
432 388.8
Began 972.3907 343 440 -0.03935183 0.1337448
Stationary 972.4214 343 440 -0.03935183 0.1337448
Stationary 972.4521 343 440 -0.03935183 0.1337448
Stationary 972.4828 343 440 -0.03935183 0.1337448
Moved 972.5135 327.3614 440 -0.07555226 0.1337448
Moved 972.5443 312.6329 440 -0.1096461 0.1337448
Moved 972.575 298.2458 446.6558 -0.1429494 0.1508637
Moved 972.6058 286.2571 449.3486 -0.170701 0.1577895
Moved 972.6365 271.1979 451.3604 -0.2055604 0.1629639
Moved 972.6672 260.3315 452 -0.230714 0.164609
Moved 972.6979 247.6315 453.0922 -0.2601124 0.167418
Moved 972.7286 238.0119 454 -0.2823797 0.169753
Moved 972.7594 227.9416 455 -0.3056907 0.172325
Moved 972.7902 219.8025 455 -0.3245312 0.172325
Moved 972.8209 214.0904 455 -0.3377537 0.172325
Moved 972.8516 208.1876 455 -0.3514176 0.172325
Moved 972.8823 202.6298 455 -0.3642829 0.172325
Moved 972.913 199.4446 455 -0.371656 0.172325
Moved 972.9437 196.9451 455 -0.377442 0.172325
Moved 972.9745 194.062 455 -0.3841156 0.172325
Moved 973.0052 189.3738 438.9345 -0.394968 0.1310043
Moved 973.0359 185.5 414.5 -0.4039352 0.0681584
Moved 973.0667 182.7603 388.0827 -0.410277 0.000212634
Moved 973.0974 183 365.3631 -0.4097222 -0.05822264
Moved 973.1281 183 352.0658 -0.4097222 -0.09242344
Moved 973.1589 183 344.9961 -0.4097222 -0.1106067
Moved 973.1896 183 339.2452 -0.4097222 -0.1253983
Moved 973.2203 183 337.8781 -0.4097222 -0.1289145
Moved 973.251 183 337 -0.4097222 -0.1311728
Moved 973.2817 200.6131 336 -0.3689512 -0.1337449
Moved 973.3125 212.0946 336 -0.3423735 -0.1337449
Moved 973.3432 251.9692 330.6933 -0.2500713 -0.1473939
Moved 973.3739 292.7212 317.0984 -0.155738 -0.1823602
Moved 973.4047 344.8633 294.0683 -0.03503854 -0.2415939
Moved 973.4354 378.2914 279.0834 0.04234105 -0.2801352
Moved 973.4661 400.6026 270.7991 0.09398738 -0.3014426
Moved 973.4969 412.3709 266.9073 0.1212289 -0.3114526
Moved 973.5276 417.9642 263.0358 0.1341764 -0.32141
Moved 973.5583 420 261.1592 0.1388889 -0.3262368
Moved 973.5891 420 261 0.1388889 -0.3266461
Moved 973.6198 374.6568 287.5717 0.03392776 -0.2583033
Moved 973.6505 343.5766 313.1646 -0.03801713 -0.1924779
Moved 973.6812 318.0313 339.9688 -0.0971499 -0.1235372
Moved 973.7119 297.7952 369.3276 -0.1439926 -0.0480257
Moved 973.7427 281.0723 398.4699 -0.1827031 0.02692878
Moved 973.7734 268.9335 424.3996 -0.2108021 0.09362032
Moved 973.8041 261.5995 442.9345 -0.227779 0.1412923
Moved 973.8348 255.8771 457.5382 -0.2410252 0.1788534
Moved 973.8656 251.4206 470.3176 -0.2513412 0.2117221
Moved 973.8964 248.5479 480.3563 -0.257991 0.2375417
Moved 973.9271 247.0041 485.9919 -0.2615647 0.2520367
Moved 973.9578 247 489.8547 -0.2615741 0.2619718
Moved 973.9885 247 494 -0.2615741 0.2726337
Moved 974.0192 247 495 -0.2615741 0.2752057
Moved 974.05 262.5713 496 -0.2255294 0.2777777
Moved 974.0807 301.7828 488.1086 -0.1347619 0.2574809
Moved 974.1114 360.0487 464.3415 0.0001128515 0.1963516
Moved 974.1422 416.5 435 0.130787 0.1208847
Moved 974.1729 459.8987 410.7722 0.2312471 0.05857031
Moved 974.2036 487.2003 398.5499 0.2944452 0.02713439
Moved 974.2344 505.0954 391.981 0.3358689 0.01023905
Moved 974.265 521.7724 387.4611 0.3744732 -0.001386281
Moved 974.2958 539.4608 383.5898 0.4154184 -0.01134299
Moved 974.3265 553.4548 383 0.447812 -0.01286016
Moved 974.3572 563.6558 383 0.4714255 -0.01286016
Moved 974.388 570.1957 383 0.4865642 -0.01286016
Moved 974.4187 577.212 383 0.5028056 -0.01286016
Moved 974.4494 581.4801 383 0.5126854 -0.01286016
Moved 974.4802 585.0171 383 0.5208729 -0.01286016
Ended 974.5109 592.3069 383 0.5377475 -0.01286016
Candidates 974.5723 13 travel cancel isabel excel label rebel channel angel general panel email handful canal
Began 975.402 171 379 -0.4375 -0.02314815
Stationary 975.4327 171 379 -0.4375 -0.02314815
Stationary 975.4634 171 379 -0.4375 -0.02314815
Moved 975.4942 194.4254 393.4582 -0.3832745 0.01403848
Moved 975.525 232.745 419.1633 -0.2945717 0.08015247
Moved 975.5557 263.9506 441.3605 -0.2223365 0.1372439
Moved 975.5864 287.2576 458.286 -0.1683852 0.1807767
Moved 975.6171 307.864 471.2426 -0.1206853 0.2141013
