good jobs for those with education
good jobs for those with education
Basic
List

0.6 0.6
432 388.8
Began 3312.578 265 378 -0.2199074 -0.02572024
Stationary 3312.608 265 378 -0.2199074 -0.02572024
Stationary 3312.639 265 378 -0.2199074 -0.02572024
Stationary 3312.67 265 378 -0.2199074 -0.02572024
Moved 3312.701 287.3827 394.3281 -0.1680955 0.01627584
Moved 3312.731 316.8444 412.5629 -0.09989733 0.06317621
Moved 3312.762 356.5031 436.535 -0.008094559 0.1248329
Moved 3312.793 390.0965 455.4837 0.06966769 0.1735691
Moved 3312.823 434.2446 475.6223 0.1718625 0.225366
Moved 3312.854 471.2584 492.9206 0.2575426 0.2698575
Moved 3312.885 501.0328 506.924 0.3264648 0.3058745
Moved 3312.916 524.079 517.3597 0.3798124 0.3327152
Moved 3312.947 558.3948 531.1974 0.4592471 0.368306
Moved 3312.977 566.6735 535.3368 0.4784109 0.3789526
Moved 3313.008 580.3366 543.602 0.5100384 0.4002108
Moved 3313.039 590.6176 549.9705 0.5338369 0.4165908
Moved 3313.07 598.1644 556.1644 0.5513064 0.4325214
Moved 3313.1 603.8522 559.8522 0.5644728 0.4420067
Moved 3313.131 607.5 562.5 0.5729167 0.4488167
Moved 3313.162 608 565.0369 0.5740741 0.4553416
Moved 3313.192 608 566.8006 0.5740741 0.459878
Moved 3313.223 582.9207 567 0.5160201 0.4603909
Moved 3313.254 556.7429 554.8972 0.4554233 0.4292621
Moved 3313.285 509.2852 534.546 0.3455676 0.3769187
Moved 3313.315 460.4879 509.0276 0.2326108 0.311285
Moved 3313.346 420.1031 486.3883 0.1391276 0.2530563
Moved 3313.377 391.2897 468.1148 0.07242987 0.2060566
Moved 3313.408 364.5 451 0.01041671 0.162037
Moved 3313.438 339.6956 434.5598 -0.04700105 0.1197524
Moved 3313.469 321.6798 423.8399 -0.08870412 0.09218078
Moved 3313.5 307.3426 414.2284 -0.1218921 0.06745982
Moved 3313.531 293.0519 405.4312 -0.1549724 0.04483309
Moved 3313.561 282.1988 398.0994 -0.1800954 0.02597589
Moved 3313.592 274.5 393 -0.1979167 0.01285996
Moved 3313.623 266.5284 389.8428 -0.2163695 0.004739526
Moved 3313.654 262.0838 387 -0.2266578 -0.002572055
Moved 3313.684 257.3253 385 -0.2376728 -0.007716127
Moved 3313.715 255.9341 384 -0.2408933 -0.01028807
Ended 3313.746 255 384 -0.2430556 -0.01028807
Candidates 3313.838 13 food ships sports dod good dos solid shops did god speed dogs doug
Began 3314.637 470 376 0.2546296 -0.03086435
Stationary 3314.668 470 376 0.2546296 -0.03086435
Stationary 3314.698 470 376 0.2546296 -0.03086435
Moved 3314.729 470 390.408 0.2546296 0.006193427
Moved 3314.76 470 408.5 0.2546296 0.05272626
Moved 3314.791 470 428.8657 0.2546296 0.1051073
Moved 3314.822 477.0003 451.0003 0.270834 0.1620377
Moved 3314.852 492.855 476.425 0.3075348 0.2274306
Moved 3314.883 505.3004 497.5406 0.3363434 0.2817401
Moved 3314.914 522.0432 520.8838 0.3751001 0.3417792
Moved 3314.944 536.6221 541.2258 0.4088475 0.3940993
Moved 3314.975 547.088 554.4506 0.4330739 0.4281135
Moved 3315.006 558.0978 566.0978 0.4585597 0.4580704
Moved 3315.037 566.6205 576.6205 0.4782881 0.4851349
Moved 3315.067 573.9052 584.9052 0.495151 0.5064434
Moved 3315.098 578.0614 592.1227 0.5047718 0.5250069
Moved 3315.129 581.9969 598.4954 0.5138819 0.5413974
Moved 3315.16 585.2659 604.5317 0.5214487 0.5569231
Moved 3315.19 588.0336 610.0672 0.5278555 0.5711604
Moved 3315.221 589 613.5 0.5300926 0.5799896
Moved 3315.252 591.2222 617.4444 0.5352366 0.5901346
Moved 3315.282 592.5 619.5 0.5381944 0.5954217
Moved 3315.313 593 621.7404 0.5393519 0.6011841
Moved 3315.344 594.1642 623 0.5420467 0.6044238
Moved 3315.375 594 624.5 0.5416667 0.6082818
Moved 3315.406 595 625.7434 0.5439815 0.6114799
Stationary 3315.436 595 626 0.5439815 0.6121398
Moved 3315.467 596.5 626 0.5474536 0.6121398
Ended 3315.498 596.5 626 0.5474536 0.6121398
Expand 3315.559
Accept 3315.651 4 good
Began 3316.02 469 348 0.2523148 -0.1028807
Stationary 3316.051 469 348 0.2523148 -0.1028807
Stationary 3316.082 469 348 0.2523148 -0.1028807
Moved 3316.113 469 357.0355 0.2523148 -0.07964138
Moved 3316.143 478.1021 372.4024 0.2733844 -0.04011727
Moved 3316.174 487.5188 396.0375 0.2951823 0.02067256
Moved 3316.205 498.6206 415.393 0.3208811 0.07045514
Moved 3316.235 510.4086 434.772 0.348168 0.1202982
Moved 3316.266 524.8383 454.0778 0.38157 0.169953
Moved 3316.297 540.184 473.0675 0.4170927 0.218795
Moved 3316.328 555.2561 490.2561 0.4519817 0.2630043
Moved 3316.358 567.223 504.6306 0.4796827 0.2999758
Moved 3316.389 577.1292 515.1292 0.5026139 0.3269783
Moved 3316.42 585.7811 524.7811 0.5226415 0.3518032
Moved 3316.45 594.0624 534.4166 0.5418112 0.3765859
Moved 3316.481 602.6996 543.3991 0.5618046 0.399689
Moved 3316.512 608.59 552.18 0.5754398 0.4222735
Moved 3316.543 609 557.7141 0.576389 0.4365074
Moved 3316.573 609 560.1178 0.576389 0.4426897
Moved 3316.604 591.0104 561 0.5347463 0.4449587
Moved 3316.635 562.252 551.8137 0.4681758 0.4213313
Moved 3316.666 524.8086 536.4043 0.3815014 0.3816982
Moved 3316.697 488.7042 515.2394 0.2979264 0.3272617
Moved 3316.727 453.4056 492.6893 0.2162166 0.2692626
Moved 3316.758 415.7198 459.7571 0.128981 0.1845605
Moved 3316.789 384.6384 425.0781 0.0570333 0.09536546
Moved 3316.819 359.5 389.5 -0.001157423 0.003857946
