do you prefer a window seat
do you prefer a window seat
FixStart
List

0.6 0.6
432 388.8
Began 613.8107 414 385 0.125 -0.007716127
Moved 613.8414 401.7757 385 0.09670298 -0.007716127
Moved 613.8721 385.4064 385 0.05881111 -0.007716127
Moved 613.9028 361.5 376.5 0.003472269 -0.02957819
Moved 613.9336 345.6477 374 -0.03322288 -0.03600823
Moved 613.9643 332.935 372.387 -0.06265054 -0.04015691
Moved 613.995 323.9935 370.6645 -0.0833483 -0.04458729
Moved 614.0257 319.3812 371 -0.09402508 -0.04372435
Moved 614.0565 316.5262 371 -0.1006339 -0.04372435
Moved 614.0872 316 371 -0.1018519 -0.04372435
Stationary 614.1179 316 371 -0.1018519 -0.04372435
Moved 614.1487 352.9747 379.6018 -0.01626218 -0.02160037
Moved 614.1794 392.2584 391.0994 0.0746723 0.00797154
Moved 614.2101 426.2038 400.9832 0.1532496 0.03339292
Moved 614.2408 448.7602 408.9401 0.2054634 0.05385811
Moved 614.2716 470.8699 416.5291 0.2566432 0.07337731
Moved 614.3023 491.4127 423.8912 0.3041961 0.09231264
Moved 614.333 506.7769 429.7108 0.3397615 0.1072807
Moved 614.3638 521.2921 435.146 0.3733612 0.1212602
Moved 614.3945 532.3705 440.4223 0.3990059 0.1348309
Moved 614.4252 541.586 444.3906 0.4203379 0.1450376
Moved 614.4559 549.7898 448.8599 0.4393283 0.1565325
Moved 614.4867 555 453 0.4513889 0.167181
Moved 614.5174 560.0479 456.0479 0.4630738 0.1750202
Moved 614.5481 565.5001 459.7501 0.4756947 0.1845423
Ended 614.5789 566 460 0.4768519 0.1851851
Candidates 614.671 13 shop do all so skip ship dl gdp sp al di fall school
Began 615.6543 382 329 0.05092591 -0.151749
Stationary 615.685 382 329 0.05092591 -0.151749
Moved 615.7158 382 341.7649 0.05092591 -0.1189175
Moved 615.7465 368.5933 365.5168 0.01989186 -0.05782704
Moved 615.7772 358.9407 392.6483 -0.002452085 0.01195531
Moved 615.808 349.0616 423.2998 -0.02532035 0.09079156
Moved 615.8386 346.7896 446.8938 -0.03057967 0.1514758
Moved 615.8694 347 462.5 -0.0300926 0.1916151
Moved 615.9001 345 480.2932 -0.03472224 0.2373795
Moved 615.9308 342.0597 494.7018 -0.04152855 0.2744386
Moved 615.9615 341 504.6483 -0.04398147 0.3000211
Moved 615.9923 340 511.2288 -0.04629632 0.3169465
Moved 616.023 338.1904 517.6192 -0.05048519 0.3333827
Moved 616.0538 337 524.0599 -0.05324075 0.3499483
Moved 616.0845 334.7544 530.7369 -0.05843898 0.3671216
Moved 616.1152 332.3524 535.6476 -0.06399909 0.3797521
Moved 616.1459 329.6312 542.1064 -0.07029807 0.3963641
Moved 616.1766 327.9117 548.2649 -0.07427852 0.4122038
Moved 616.2074 325.187 552.626 -0.08058567 0.4234208
Moved 616.2381 322.8161 558.3678 -0.08607383 0.4381887
Moved 616.2688 321.0965 561.8071 -0.09005447 0.4470345
Moved 616.2996 320 564.6218 -0.09259259 0.4542741
Moved 616.3303 318.6616 566 -0.09569078 0.4578188
Moved 616.361 319 567.2968 -0.09490739 0.4611541
Moved 616.3917 317.7622 569.2378 -0.09777272 0.4661465
Moved 616.4225 318 570 -0.09722222 0.4681069
Stationary 616.4532 318 570 -0.09722222 0.4681069
Ended 616.4839 318 570 -0.09722222 0.4681069
Expand 616.4839
Accept 616.6068 1 do
Began 617.2521 367 352 0.01620372 -0.09259266
Stationary 617.2828 367 352 0.01620372 -0.09259266
Stationary 617.3135 367 352 0.01620372 -0.09259266
Moved 617.3443 377.2257 369.4514 0.03987421 -0.04770742
Moved 617.375 384.1144 381.2289 0.05582044 -0.0174155
Moved 617.4058 391.5378 398.6133 0.07300407 0.02729749
Moved 617.4365 395.49 410.9601 0.08215278 0.05905367
Moved 617.4672 397.2138 418.6415 0.08614312 0.07881027
Moved 617.4979 398.6092 428.046 0.08937309 0.1029988
Moved 617.5286 401.3412 442.0472 0.09569725 0.1390103
Moved 617.5594 404.0599 452.1796 0.1019905 0.1650708
Moved 617.5901 406 461.5622 0.1064815 0.1892031
Moved 617.6208 409.2863 470.5727 0.1140888 0.2123783
Moved 617.6516 411.7611 478.5222 0.1198174 0.2328244
Moved 617.6823 413 482.4833 0.1226852 0.2430126
Moved 617.713 416.206 485.206 0.1301065 0.2500154
Moved 617.7437 421.882 486.6273 0.1432453 0.253671
Moved 617.7744 436.0812 487 0.1761139 0.2546296
Moved 617.8052 454.4504 487 0.2186351 0.2546296
Moved 617.8359 477.5 475 0.2719907 0.2237653
Moved 617.8666 502.5606 474.6532 0.3300013 0.2228734
Moved 617.8973 522.269 473.1044 0.3756226 0.21889
Moved 617.9281 534.4783 472.3804 0.4038849 0.2170278
Moved 617.9588 544.127 470.9577 0.4262198 0.2133686
Moved 617.9896 551.561 471 0.4434281 0.2134772
Moved 618.0203 554.5 471 0.4502314 0.2134772
Moved 618.051 556.5 471 0.4548612 0.2134772
Moved 618.0817 557.2889 471 0.4566872 0.2134772
Moved 618.1125 539.4552 471 0.4154055 0.2134772
Moved 618.1432 520.4834 471 0.3714893 0.2134772
Moved 618.1739 497.0562 478.7944 0.3172598 0.2335245
Moved 618.2046 475.5169 484.4944 0.2674001 0.2481851
Moved 618.2354 458.5831 487.7668 0.2282016 0.2566018
Moved 618.2661 445.9761 491.6048 0.1990187 0.2664731
Moved 618.2968 434.354 495.6584 0.1721157 0.276899
Moved 618.3275 428.5183 499.4817 0.1586072 0.2867327
Ended 618.3583 424.524 501 0.1493611 0.2906378
Candidates 618.4504 13 you it your toy i got for utility output foot pi tour hot
Began 619.4644 423 404 0.1458333 0.04115226
Stationary 619.4951 423 404 0.1458333 0.04115226
Stationary 619.5259 423 404 0.1458333 0.04115226
Stationary 619.5566 423 404 0.1458333 0.04115226
Moved 619.5873 419.4422 408.892 0.1375976 0.05373452
