where can my little dog be
where can my little dog be
FixStart
Radial

0.6 0.6
432 388.8
Began 2101.752 401 304 0.09490739 -0.2160494
Stationary 2101.783 401 304 0.09490739 -0.2160494
Stationary 2101.813 401 304 0.09490739 -0.2160494
Stationary 2101.844 401 304 0.09490739 -0.2160494
Moved 2101.875 381.8286 309.1713 0.05052924 -0.2027487
Moved 2101.906 356.7813 322.4107 -0.00745073 -0.1686968
Moved 2101.936 332.6659 335.4078 -0.06327331 -0.135268
Moved 2101.967 313.511 347.4222 -0.1076133 -0.1043667
Moved 2101.998 296.6233 359.5548 -0.1467054 -0.07316157
Moved 2102.028 281.1476 369.3115 -0.1825288 -0.0480673
Moved 2102.059 264.4016 380.5984 -0.2212927 -0.01903699
Moved 2102.09 252.501 389.2495 -0.2488402 0.003213686
Moved 2102.121 244.938 399.093 -0.2663472 0.02853134
Moved 2102.151 240.0948 404.8104 -0.2775583 0.04323661
Moved 2102.182 238 409.7645 -0.2824074 0.05597864
Moved 2102.213 237 412.3558 -0.2847222 0.06264357
Moved 2102.243 245.5188 415.217 -0.2650028 0.07000248
Moved 2102.274 280.2503 415 -0.1846059 0.06944436
Moved 2102.305 319.0363 392.6987 -0.09482349 0.01208521
Moved 2102.336 354.4615 376.021 -0.01282056 -0.03081019
Moved 2102.366 376.6505 364.4855 0.03854274 -0.06047982
Moved 2102.397 394.4823 348.7647 0.07982015 -0.1009138
Moved 2102.428 407.4235 337.5765 0.1097767 -0.1296901
Moved 2102.458 417.8301 325.5599 0.1338659 -0.160597
Moved 2102.489 423.9625 317.5562 0.1480614 -0.1811826
Moved 2102.52 427.3512 311.2975 0.1559056 -0.19728
Moved 2102.551 429.9038 309.0962 0.1618143 -0.202942
Moved 2102.582 430 307.6598 0.162037 -0.2066363
Stationary 2102.612 430 308 0.162037 -0.2057614
Moved 2102.643 416.2484 325.877 0.1302045 -0.1597816
Moved 2102.674 392.6222 351.3777 0.07551441 -0.09419303
Moved 2102.704 367.7362 370.4274 0.01790782 -0.04519694
Moved 2102.735 345.6284 387.5752 -0.03326768 -0.001092683
Moved 2102.766 324.7327 400.4521 -0.08163726 0.03202709
