the bathroom is good for reading
the bathroom is good for reading
FixStart
List

0.6 0.6
432 388.8
Moved 3869.646 504.3608 399.9177 0.3341685 0.0306525
Moved 3869.677 509.4261 387.2958 0.3458936 -0.001811157
Moved 3869.708 514.3943 376.2112 0.3573943 -0.03032088
Moved 3869.738 517.734 367.798 0.365125 -0.05196002
Moved 3869.769 519 361.1619 0.3680556 -0.06902804
Moved 3869.8 521.1823 356.8177 0.3731072 -0.08020142
Moved 3869.831 521 354.0557 0.3726852 -0.08730531
Stationary 3869.861 521 354 0.3726852 -0.08744855
Moved 3869.892 513.4776 354 0.3552722 -0.08744855
Moved 3869.923 502.5113 365.5909 0.3298873 -0.05763654
Moved 3869.953 486.6811 380.3188 0.2932433 -0.01975613
Moved 3869.984 468.6567 399.3433 0.2515202 0.02917498
Moved 3870.015 453.6096 417.1872 0.2166889 0.07506986
Moved 3870.045 438.0867 436.5655 0.1807563 0.1249111
Moved 3870.076 425.3503 455.8871 0.1512737 0.1746066
Moved 3870.107 414.6463 470.869 0.126496 0.2131404
Moved 3870.137 404.6772 488.4842 0.1034194 0.2584469
Moved 3870.168 397.3168 502.7081 0.08638144 0.2950311
Moved 3870.199 393.1772 509.6456 0.076799 0.3128745
Moved 3870.23 390.5 514.5 0.0706019 0.32536
Moved 3870.26 388.7283 518.2717 0.0665008 0.3350608
Moved 3870.291 387.9713 521.0286 0.06474853 0.3421518
Moved 3870.322 388 522.3969 0.06481478 0.3456711
Moved 3870.353 388 523.3106 0.06481478 0.3480211
Stationary 3870.383 388 523 0.06481478 0.3472221
Moved 3870.414 411.1583 523 0.118422 0.3472221
Moved 3870.445 436.8598 514.9151 0.1779162 0.3264276
Moved 3870.475 464.0639 507.2808 0.2408886 0.3067921
Moved 3870.506 489.056 501.6542 0.2987407 0.2923205
Moved 3870.537 511.9937 497.1447 0.3518372 0.2807218
Moved 3870.567 534.269 494.0914 0.4034005 0.2728687
Moved 3870.598 554.3623 491.3297 0.4499128 0.2657657
Moved 3870.629 574.0799 488.56 0.4955553 0.2586419
Moved 3870.66 588.3644 488.106 0.5286214 0.2574741
Moved 3870.69 604.1011 488 0.5650489 0.2572016
Moved 3870.721 619.2839 488 0.6001941 0.2572016
Moved 3870.752 629.4266 488 0.6236727 0.2572016
Moved 3870.782 637.6567 488 0.6427239 0.2572016
Moved 3870.813 643.5549 488 0.656377 0.2572016
Moved 3870.844 648.0412 488 0.666762 0.2572016
Moved 3870.875 650.8104 488 0.6731723 0.2572016
Moved 3870.905 653.2658 488 0.6788561 0.2572016
Moved 3870.936 654.3601 488 0.6813892 0.2572016
Moved 3870.967 655.8361 488 0.6848058 0.2572016
Moved 3870.997 656.5 488 0.6863426 0.2572016
Stationary 3871.028 656.5 488 0.6863426 0.2572016
