this is a non profit organization
this is a non profit organization
Basic
List

0.6 0.6
432 388.8
Began 1027.073 359 489 -0.002314796 0.2597736
Stationary 1027.103 359 489 -0.002314796 0.2597736
Stationary 1027.134 359 489 -0.002314796 0.2597736
Moved 1027.165 372.6175 470.8433 0.02920727 0.2130742
Moved 1027.196 389.3485 448.1233 0.06793648 0.154638
Moved 1027.226 408.797 418.5247 0.1129561 0.07851
Moved 1027.257 421.7293 397.9737 0.1428919 0.0256525
Moved 1027.288 428.5996 386.8008 0.1587954 -0.003084489
Moved 1027.319 432.8198 380.3605 0.1685642 -0.01964899
Moved 1027.349 436.6915 375.3085 0.1775266 -0.03264274
Moved 1027.38 439.5627 373 0.1841729 -0.03858032
Moved 1027.411 444.8729 373 0.1964651 -0.03858032
Moved 1027.442 462.0036 389.0042 0.2361195 0.002582613
Moved 1027.472 489.8406 424.3253 0.3005569 0.09342931
Moved 1027.503 505.7 450.66 0.3372685 0.1611625
Moved 1027.534 515.8325 467.2488 0.3607235 0.203829
Moved 1027.564 522.2869 481.5738 0.375664 0.2406732
Moved 1027.595 523 486.0206 0.3773148 0.2521105
Moved 1027.626 523 488.892 0.3773148 0.2594959
Moved 1027.656 523 490.1648 0.3773148 0.2627694
Moved 1027.687 504.4478 490 0.3343698 0.2623456
Moved 1027.718 480.4324 472.145 0.2787786 0.2164222
Moved 1027.749 441.5745 446.383 0.1888299 0.1501619
Moved 1027.78 396.169 421.0845 0.08372456 0.08509377
Moved 1027.81 360.046 402.023 0.0001064936 0.03606737
Moved 1027.841 335.6002 389.8001 -0.05648097 0.004629834
Moved 1027.872 316.4743 380.7372 -0.1007539 -0.01868008
Moved 1027.902 296.8753 372.6251 -0.146122 -0.03954467
Moved 1027.933 279.1921 365.4384 -0.1870552 -0.05802884
Moved 1027.964 263.4106 357.7053 -0.2235866 -0.07791864
Moved 1027.995 249.0081 350.0048 -0.2569258 -0.0977243
Moved 1028.025 234.78 343.39 -0.2898611 -0.1147377
Moved 1028.056 223.0281 337.514 -0.3170646 -0.1298508
Moved 1028.087 215.3702 333.7901 -0.3347911 -0.1394288
Moved 1028.118 210.696 331.848 -0.345611 -0.1444238
Ended 1028.148 210 332 -0.3472222 -0.144033
Candidates 1028.24 13 this good books god food box goods flood his dogs fox thus flights
Began 1029.039 481 495 0.2800926 0.2752057
Stationary 1029.07 481 495 0.2800926 0.2752057
Stationary 1029.101 481 495 0.2800926 0.2752057
Moved 1029.131 465 495 0.2430555 0.2752057
Moved 1029.162 443.9187 483.324 0.1942562 0.2451749
Moved 1029.193 420.5835 478.6459 0.1402396 0.2331426
Moved 1029.224 399.7337 471.9113 0.09197622 0.215821
Moved 1029.255 381.2711 465.8177 0.0492387 0.2001485
Moved 1029.285 361.84 459.0972 0.004259249 0.182863
Moved 1029.316 344.667 453.3334 -0.03549312 0.1680386
Moved 1029.347 329.77 446.59 -0.06997679 0.1506945
Moved 1029.377 317.3868 440.5547 -0.09864166 0.1351716
Moved 1029.408 303.0291 434.8116 -0.1318771 0.1204002
Moved 1029.439 289.6521 429.0609 -0.1628423 0.1056091
Moved 1029.47 280.9162 424.972 -0.1830645 0.09509263
Moved 1029.5 270.2781 419.0927 -0.2076896 0.07997093
Moved 1029.531 260.6727 413.4484 -0.2299244 0.06545365
Moved 1029.562 253.7075 410.3538 -0.2460475 0.05749423
Moved 1029.592 249.8133 407.8134 -0.2550617 0.05096019
Moved 1029.623 246.9302 407 -0.2617356 0.04886827
Moved 1029.654 246.0649 407 -0.2637386 0.04886827
Moved 1029.685 245.5 407 -0.2650463 0.04886827
Ended 1029.715 246 407 -0.2638889 0.04886827
Accept 1029.869 0 this
Candidates 1029.869 13 is odds id oa us if ps usa odd kids pa posts gifts
Began 1030.453 204 422 -0.3611111 0.08744851
Stationary 1030.484 204 422 -0.3611111 0.08744851
Stationary 1030.514 204 422 -0.3611111 0.08744851
Ended 1030.545 204 422 -0.3611111 0.08744851
Accept 1030.606 0 is
Candidates 1030.606 7 a s d w e q f
Began 1031.559 398 310 0.08796295 -0.2006174
Stationary 1031.59 398 310 0.08796295 -0.2006174
Moved 1031.621 429.4019 346.3022 0.1606525 -0.1072475
Moved 1031.651 472.3335 405.1907 0.2600311 0.04421461
Moved 1031.682 508.5602 457.6963 0.3438892 0.17926
Moved 1031.713 533.0911 495.7275 0.4006737 0.2770769
Moved 1031.743 548.9907 521.7852 0.4374785 0.3440975
Moved 1031.774 557.2527 536.5053 0.4566035 0.381958
Moved 1031.805 562.988 548.9639 0.4698796 0.4140016
Moved 1031.836 564.8593 554.8593 0.4742112 0.4291646
Moved 1031.866 565 558 0.474537 0.4372427
Moved 1031.897 565 559.5 0.474537 0.4411007
Moved 1031.928 552.3628 559 0.4452842 0.4398148
Moved 1031.958 539.8284 547.897 0.4162695 0.4112577
Moved 1031.989 521.2009 531.2009 0.3731501 0.3683149
Moved 1032.02 498.8359 506.3839 0.3213794 0.3044852
Moved 1032.051 479.0482 479.0724 0.2755746 0.2342396
Moved 1032.082 458.808 448.2121 0.2287223 0.1548664
Moved 1032.112 444.4825 424.6686 0.1955614 0.09431211
Moved 1032.143 433.2908 403.5816 0.1696546 0.04007614
Moved 1032.174 426.0935 389.187 0.1529942 0.003052778
Moved 1032.204 420.6937 374.4684 0.1404946 -0.03480362
Moved 1032.235 416.1371 363.5485 0.1299471 -0.06288975
Moved 1032.266 410.5307 350.0615 0.1169692 -0.09757861
Moved 1032.297 406.3925 336.9625 0.1073901 -0.1312693
Moved 1032.327 402.9068 324.5341 0.09932141 -0.1632354
Moved 1032.358 398.9992 309.9981 0.090276 -0.2006223
Moved 1032.389 396.1194 296.3584 0.08360983 -0.2357037
Moved 1032.42 395 287.7693 0.08101851 -0.2577951
Moved 1032.45 394 281.0625 0.07870366 -0.275045
Moved 1032.481 392.817 275.634 0.07596533 -0.2890072
Moved 1032.512 393 271.9426 0.07638891 -0.2985017
Moved 1032.542 393 269.3035 0.07638891 -0.3052895
Ended 1032.573 393 267.9629 0.07638891 -0.3087375
Accept 1032.696 0 a
Candidates 1032.696 13 nov non job noun mob bob hpv bomb jon john join moon gov
Began 1033.833 400 321 0.09259263 -0.1723252
Moved 1033.864 376.3459 361.2466 0.03783772 -0.06881031
Moved 1033.895 341.1876 426.7642 -0.04354725 0.09970213
Moved 1033.925 325.7659 460.9575 -0.07924551 0.1876478
Moved 1033.956 315.9636 486.1093 -0.1019362 0.2523387
Moved 1033.987 311.6069 502.9656 -0.1120211 0.2956933
Moved 1034.017 309 518.0641 -0.1180555 0.3345269
Moved 1034.048 308 532.0609 -0.1203704 0.370527
Moved 1034.079 308 545.4046 -0.1203704 0.4048471
Moved 1034.109 308 555.6302 -0.1203704 0.4311477
Moved 1034.14 308 564.252 -0.1203704 0.4533228
Moved 1034.171 308 570.8026 -0.1203704 0.470171
Moved 1034.202 308 578.4207 -0.1203704 0.4897649
Moved 1034.232 315.6802 585.0406 -0.1025921 0.5067917
Moved 1034.263 317.1928 590.3857 -0.09909063 0.5205392
Moved 1034.294 318 594.2518 -0.09722222 0.530483
Moved 1034.325 318.9972 596.9972 -0.09491388 0.5375441
Moved 1034.355 319.8659 598.8659 -0.09290307 0.5423504
Moved 1034.386 320 601.4049 -0.09259259 0.5488808
Moved 1034.417 321 604.2756 -0.09027779 0.5562643
Moved 1034.448 323.1455 607.1455 -0.08531138 0.5636458
Moved 1034.478 323.7462 608.7462 -0.08392086 0.5677628
Moved 1034.509 324.5266 611.5267 -0.08211424 0.5749142
Moved 1034.54 325 613.3969 -0.08101851 0.5797245
Moved 1034.57 326 615.1348 -0.07870371 0.5841944
Stationary 1034.601 326 615 -0.07870371 0.5838476
Moved 1034.632 327.249 616 -0.07581253 0.5864196
Moved 1034.663 327 617 -0.07638887 0.5889916
Ended 1034.693 329.0031 617 -0.07175197 0.5889916
Expand 1034.693
Accept 1034.786 1 non
Began 1036.168 483 500 0.2847222 0.2880658
Stationary 1036.199 483 500 0.2847222 0.2880658
Moved 1036.23 504.6282 500 0.3347875 0.2880658
Moved 1036.26 518.8647 491.0338 0.3677425 0.2650046
Moved 1036.291 526.6381 490 0.3857364 0.2623456
Moved 1036.322 531.8356 489 0.3977675 0.2597736
Moved 1036.353 533.3 489 0.4011573 0.2597736
Stationary 1036.384 533.3 489 0.4011573 0.2597736
