why do you ask silly questions
why do you ask silly questions
Basic
List

0.6 0.6
432 388.8
Began 3627.129 267 491 -0.2152778 0.2649176
Stationary 3627.16 267 491 -0.2152778 0.2649176
Stationary 3627.191 267 491 -0.2152778 0.2649176
Stationary 3627.222 267 491 -0.2152778 0.2649176
Stationary 3627.252 267 491 -0.2152778 0.2649176
Stationary 3627.283 267 491 -0.2152778 0.2649176
Stationary 3627.314 267 491 -0.2152778 0.2649176
Stationary 3627.344 267 491 -0.2152778 0.2649176
Stationary 3627.375 267 491 -0.2152778 0.2649176
Stationary 3627.406 267 491 -0.2152778 0.2649176
Stationary 3627.437 267 491 -0.2152778 0.2649176
Stationary 3627.468 267 491 -0.2152778 0.2649176
Stationary 3627.498 267 491 -0.2152778 0.2649176
Stationary 3627.529 267 491 -0.2152778 0.2649176
Stationary 3627.56 267 491 -0.2152778 0.2649176
Stationary 3627.59 267 491 -0.2152778 0.2649176
Stationary 3627.621 267 491 -0.2152778 0.2649176
Moved 3627.652 249.1763 498.5648 -0.2565362 0.2843743
Moved 3627.683 238.7828 500.3043 -0.2805953 0.2888485
Moved 3627.713 231.8712 501.7096 -0.2965944 0.2924629
Moved 3627.744 226.1066 503.4467 -0.3099384 0.2969308
Moved 3627.775 224.9062 504.0938 -0.3127172 0.2985951
Moved 3627.806 224 504 -0.3148148 0.2983539
Stationary 3627.836 224 504 -0.3148148 0.2983539
Moved 3627.867 239.028 494.8252 -0.2800278 0.2747561
Moved 3627.898 263.3267 479.4489 -0.2237809 0.2352081
Moved 3627.928 285 464 -0.1736111 0.1954732
Moved 3627.959 308.7501 447.3436 -0.118634 0.1526327
Moved 3627.99 329.9232 431.9229 -0.0696221 0.1129704
Moved 3628.021 343.3927 418.6073 -0.03844281 0.0787224
Moved 3628.052 351.9995 410.0005 -0.01851971 0.05658561
Moved 3628.082 361.2592 401.7408 0.002914767 0.0353416
Moved 3628.113 367.9246 393.613 0.01834402 0.01443682
Moved 3628.144 374.3335 388.8333 0.03317942 0.002143059
Moved 3628.174 377.6114 385.3886 0.0407672 -0.006716614
Moved 3628.205 380.3653 382.6347 0.04714191 -0.01379971
Moved 3628.236 383.1259 381 0.05353222 -0.01800419
Moved 3628.267 384.5 379.5 0.05671293 -0.02186214
Moved 3628.297 386.1239 379 0.06047189 -0.02314815
Moved 3628.328 388.0371 379 0.06490082 -0.02314815
Moved 3628.359 388.7795 399.4568 0.06661931 0.0294672
Moved 3628.39 389 437 0.06712963 0.1260288
Moved 3628.42 376.9834 467.0998 0.03931333 0.2034459
Moved 3628.451 370.4675 493.8961 0.02423038 0.2723664
Moved 3628.482 365 519.5 0.01157403 0.3382201
Moved 3628.512 362.0427 534.7867 0.004728436 0.3775379
Moved 3628.543 360 543.0531 0 0.398799
Moved 3628.574 359 548.8779 -0.002314796 0.4137804
Moved 3628.605 358 551.1811 -0.004629641 0.4197044
Ended 3628.635 358 552 -0.004629641 0.4218106
Candidates 3628.697 13 why where edit white the arthur degree rent edu weather take edge debt
Began 3629.803 31 519 -0.761574 0.3369341
Stationary 3629.834 31 519 -0.761574 0.3369341
Ended 3629.865 31 519 -0.761574 0.3369341
Accept 3629.926 0 why
Delete 3629.926 LeftSwipe
Began 3630.726 291 474 -0.1597222 0.2211934
Stationary 3630.756 291 474 -0.1597222 0.2211934
Stationary 3630.787 291 474 -0.1597222 0.2211934
Stationary 3630.818 291 474 -0.1597222 0.2211934
Stationary 3630.848 291 474 -0.1597222 0.2211934
Stationary 3630.879 291 474 -0.1597222 0.2211934
Moved 3630.91 299.1758 474 -0.1407968 0.2211934
