the bathroom is good for reading
the bathroom is good for reading
FixStart
Radial

0.6 0.6
432 388.8
Began 2823.77 340 395 -0.04629632 0.01800408
Stationary 2823.8 340 395 -0.04629632 0.01800408
Moved 2823.831 340 413.7481 -0.04629632 0.06622444
Moved 2823.862 326.7735 442.0885 -0.07691328 0.1391164
Moved 2823.893 314.6078 476.2633 -0.1050745 0.2270146
Moved 2823.923 304.6264 507.9119 -0.1281796 0.3084153
Moved 2823.954 298.3387 535.9518 -0.1427345 0.3805343
Moved 2823.985 295.5 551.5 -0.1493056 0.4205247
Moved 2824.015 296 558.2567 -0.1481481 0.437903
Moved 2824.046 296 563.9521 -0.1481481 0.4525517
Moved 2824.077 296 567.8268 -0.1481481 0.4625175
Moved 2824.108 296 570.2587 -0.1481481 0.4687723
Moved 2824.138 296 571 -0.1481481 0.4706789
Moved 2824.169 314.7798 555.1088 -0.1046764 0.4298066
Moved 2824.2 340.8952 517.1796 -0.04422401 0.3322521
Moved 2824.23 359.7369 479.9789 -0.0006090601 0.2365711
Moved 2824.261 371.683 449.3716 0.02704412 0.1578488
Moved 2824.292 379.8833 423.6447 0.04602611 0.09167851
Moved 2824.323 386.7544 401.8597 0.06193151 0.03564724
Moved 2824.353 391.7099 386.8704 0.07340252 -0.002905371
Moved 2824.384 393.592 378.2239 0.07775933 -0.02514435
Moved 2824.415 394 372.0994 0.07870366 -0.04089661
Moved 2824.446 395 366.2111 0.08101851 -0.05604159
Moved 2824.476 395 365.172 0.08101851 -0.05871399
Moved 2824.507 395 362.3034 0.08101851 -0.06609214
Moved 2824.538 395 359.5 0.08101851 -0.07330247
Moved 2824.568 395 358.5 0.08101851 -0.07587456
Moved 2824.599 367.001 373.999 0.01620601 -0.03601098
Moved 2824.63 321.1958 417.8042 -0.08982455 0.07665677
Moved 2824.661 286.2486 453.7513 -0.1707208 0.1691134
Moved 2824.691 253.8931 494.897 -0.2456178 0.2749407
Moved 2824.722 232.0225 523.3964 -0.2962441 0.3482417
Moved 2824.753 220.9761 542.0398 -0.3218145 0.3961928
Moved 2824.783 218.5 552.5 -0.3275463 0.4230966
Ended 2824.814 218.5 552.5 -0.3275463 0.4230966
Candidates 2824.968 13 the there time where further tiger rubber trigger tune tube roger huge title
Began 2825.49 384 427 0.0555556 0.1003086
Stationary 2825.521 384 427 0.0555556 0.1003086
Moved 2825.552 426.7869 427 0.1545992 0.1003086
Moved 2825.582 481.5331 427 0.2813267 0.1003086
Moved 2825.613 546.4139 427 0.4315136 0.1003086
