the punishment should fit the crime
the punishment should fit the crime
Basic
List

0.6 0.6
432 388.8
Began 2621.159 365 538 0.01157403 0.3858024
Stationary 2621.19 365 538 0.01157403 0.3858024
Stationary 2621.221 365 538 0.01157403 0.3858024
Stationary 2621.252 365 538 0.01157403 0.3858024
Moved 2621.282 365 519.0923 0.01157403 0.3371716
Moved 2621.313 365 485.6726 0.01157403 0.2512155
Moved 2621.344 365 462.8774 0.01157403 0.1925858
Moved 2621.375 365 447.0837 0.01157403 0.1519643
Moved 2621.405 374.9613 431.7742 0.03463268 0.1125878
Moved 2621.436 378.9553 419.0894 0.04387796 0.07996245
Moved 2621.467 382.7004 409.5992 0.05254716 0.05555353
Moved 2621.498 385 405.9114 0.05787035 0.04606847
Moved 2621.528 387 402.1646 0.06250004 0.03643154
Moved 2621.559 388.1977 400.8023 0.06527245 0.0329277
Moved 2621.59 389 398.5 0.06712963 0.02700609
Stationary 2621.62 389 398.5 0.06712963 0.02700609
Moved 2621.651 389 397.8365 0.06712963 0.02529956
Stationary 2621.682 389 397.8365 0.06712963 0.02529956
Moved 2621.712 373.0432 415.783 0.03019243 0.07145827
Moved 2621.743 365.5426 426.2248 0.0128302 0.09831471
Moved 2621.774 342.0188 455.9718 -0.04162317 0.1748245
Moved 2621.805 329.442 473.9812 -0.07073606 0.221145
Moved 2621.836 318.277 492.0152 -0.09658093 0.2675287
Moved 2621.866 309.4911 504.3452 -0.1169187 0.2992416
Ended 2621.897 304 511 -0.1296296 0.3163579
Candidates 2622.02 13 the there other they where if hr right turkey he she tiger further
Began 2623.557 515 487 0.3587963 0.2546296
Stationary 2623.587 515 487 0.3587963 0.2546296
Moved 2623.618 502.8851 487 0.3307525 0.2546296
Moved 2623.649 490.1728 487 0.3013259 0.2546296
Moved 2623.679 476.3571 487 0.2693451 0.2546296
Moved 2623.71 455.0519 495.6995 0.2200277 0.2770047
Moved 2623.741 432.8573 498 0.168651 0.2829217
Moved 2623.772 415.5458 498 0.1285782 0.2829217
Moved 2623.802 400.7045 492.9886 0.09422342 0.2700325
Moved 2623.833 387.2452 482.2452 0.06306757 0.2424001
Moved 2623.864 375.3708 465.899 0.03558069 0.2003573
Moved 2623.895 370.2364 451.7092 0.02369533 0.1638611
Moved 2623.925 367.7345 428.814 0.01790394 0.1049742
Moved 2623.956 368 413.0645 0.01851857 0.06446615
Moved 2623.987 368 392.9323 0.01851857 0.01268575
Moved 2624.018 368 373.8502 0.01851857 -0.03639362
Moved 2624.048 378.733 360.5339 0.04336347 -0.07064325
Moved 2624.079 381.184 347.4479 0.04903704 -0.1043006
Ended 2624.11 383 342 0.05324075 -0.1183128
Began 2624.171 396 326 0.08333336 -0.1594652
Stationary 2624.202 396 326 0.08333336 -0.1594652
Accept 2624.202 0 the
Candidates 2624.202 13 off of if ugh odd high id pub luc pig igf igg kid
Stationary 2624.233 396 326 0.08333336 -0.1594652
Moved 2624.263 408.7192 338.7192 0.112776 -0.1267512
Moved 2624.294 424.8579 377.621 0.150134 -0.02669495
Moved 2624.325 436.0823 410.9409 0.1761164 0.05900441
Moved 2624.356 443.8467 437.3867 0.1940895 0.1270233
Moved 2624.386 451.5126 457.8627 0.2118347 0.1796878
Moved 2624.417 456.101 477.9547 0.2224561 0.2313648
Moved 2624.448 458 496.9819 0.2268519 0.2803032
Moved 2624.479 458 505.0016 0.2268519 0.30093
Moved 2624.509 445.5132 511.1623 0.1979471 0.3167754
Moved 2624.54 410.2895 513 0.1164108 0.321502
Moved 2624.571 354.7191 487.1896 -0.01222432 0.2551171
Moved 2624.602 323 469.5 -0.08564815 0.2096193
Moved 2624.632 293.0839 448.0587 -0.1548984 0.1544719
Moved 2624.663 272.0534 433.1734 -0.2035801 0.1161867
Moved 2624.694 259.281 423.7108 -0.2331458 0.09184857
Moved 2624.724 252.2616 417.2615 -0.2493946 0.07526111
Moved 2624.755 247.451 412.902 -0.2605301 0.06404837
Moved 2624.786 246 408.4516 -0.2638889 0.05260181
Moved 2624.817 245 406.0074 -0.2662037 0.04631545
Moved 2624.847 245 403.7289 -0.2662037 0.04045486
Moved 2624.878 245 401.9153 -0.2662037 0.03579029
Moved 2624.909 245 400.6462 -0.2662037 0.0325263
Moved 2624.94 245 399.9198 -0.2662037 0.03065792
Moved 2624.97 245 399 -0.2662037 0.02829214
Ended 2625.001 245 397.7008 -0.2662037 0.02495059
Accept 2625.124 0 off
Candidates 2625.124 13 his bits hits boys bird birds bus bias via hours boots this bid
Began 2625.554 254 349 -0.2453704 -0.1003086
Stationary 2625.585 254 349 -0.2453704 -0.1003086
Moved 2625.616 234.1021 349 -0.2914303 -0.1003086
Moved 2625.646 221.5 349 -0.3206019 -0.1003086
Moved 2625.677 204.4817 349 -0.359996 -0.1003086
Moved 2625.708 189.1329 356.8112 -0.3955258 -0.08021805
Moved 2625.739 176.3223 358.5355 -0.4251799 -0.0757832
Moved 2625.769 167.0686 359.9771 -0.4466005 -0.0720754
Moved 2625.8 156.9176 361 -0.4700983 -0.06944452
Moved 2625.831 148.7548 362 -0.4889935 -0.06687243
Moved 2625.862 142.7318 363.1341 -0.5029358 -0.0639556
Moved 2625.892 136.9125 363.5438 -0.5164062 -0.06290185
Moved 2625.923 130.4994 365.2503 -0.5312514 -0.05851259
Moved 2625.954 124.0266 366 -0.5462348 -0.05658444
Moved 2625.984 118.5795 367 -0.5588437 -0.05401234
Moved 2626.015 113.8406 368 -0.5698135 -0.05144041
Moved 2626.046 109.3937 369 -0.5801073 -0.04886839
Moved 2626.077 104.4857 369 -0.5914683 -0.04886839
Moved 2626.107 101.7602 370 -0.5977773 -0.04629637
Moved 2626.138 99.34682 370 -0.6033639 -0.04629637
Moved 2626.169 98 370 -0.6064815 -0.04629637
Moved 2626.199 96 370 -0.6111112 -0.04629637
Moved 2626.23 95 371.5 -0.613426 -0.04243827
Moved 2626.261 94 371 -0.6157407 -0.04372435
Moved 2626.292 93.0752 371 -0.6178815 -0.04372435
Moved 2626.323 93 371 -0.6180555 -0.04372435
Moved 2626.353 92 371 -0.6203703 -0.04372435
Ended 2626.384 92 371 -0.6203703 -0.04372435
Accept 2626.445 0 his
Delete 2626.445 LeftSwipe
Began 2626.845 266 372 -0.2175926 -0.04115226
Stationary 2626.876 266 372 -0.2175926 -0.04115226
Moved 2626.906 261.1773 372 -0.2287562 -0.04115226
Moved 2626.937 248.9756 372 -0.2570009 -0.04115226
Moved 2626.968 240.3702 380.6574 -0.2769207 -0.01888526
Moved 2626.999 229.4777 384.3806 -0.3021351 -0.009309313
Moved 2627.029 218.5798 387.105 -0.3273615 -0.002301966
Moved 2627.06 211.5 389.5 -0.34375 0.003857946
Moved 2627.091 203.399 391.2003 -0.3625024 0.008231269
Moved 2627.122 195.2391 392.9203 -0.3813909 0.01265506
Moved 2627.152 186.0769 394 -0.4025997 0.01543206
Moved 2627.183 177.8786 395.0405 -0.4215772 0.01810812
Moved 2627.214 166.5895 395 -0.4477095 0.01800408
Moved 2627.244 160.2852 395 -0.4623029 0.01800408
Moved 2627.275 157.5667 395 -0.4685955 0.01800408
Moved 2627.306 152.7936 395 -0.4796444 0.01800408
Moved 2627.337 145.0135 395 -0.4976538 0.01800408
Moved 2627.367 139.0909 395 -0.5113637 0.01800408
Moved 2627.398 131.9648 395 -0.5278594 0.01800408
Moved 2627.429 125.6578 395 -0.5424587 0.01800408
Moved 2627.459 118.5051 395 -0.5590159 0.01800408
Moved 2627.49 111.8906 395 -0.5743273 0.01800408
Moved 2627.521 106.4541 395 -0.5869118 0.01800408
Moved 2627.552 101.9586 395 -0.5973181 0.01800408
Moved 2627.583 97.20129 395 -0.6083304 0.01800408
Moved 2627.613 92.76578 395 -0.6185977 0.01800408
Moved 2627.644 90.37808 395 -0.6241248 0.01800408
Moved 2627.675 87.79241 395 -0.6301101 0.01800408
Moved 2627.706 85.06727 395 -0.6364183 0.01800408
Moved 2627.736 82.5 395 -0.6423612 0.01800408
Moved 2627.767 81.9793 395 -0.6435664 0.01800408
Moved 2627.798 80.57843 395 -0.6468092 0.01800408
Moved 2627.828 78.74699 395 -0.6510486 0.01800408
Moved 2627.859 77.92381 395 -0.6529542 0.01800408
Stationary 2627.89 78 395 -0.6527777 0.01800408
Ended 2627.921 78 395 -0.6527777 0.01800408
Delete 2627.982 LeftSwipe
Began 2628.566 495 446 0.3125 0.1491768
Stationary 2628.597 495 446 0.3125 0.1491768
Moved 2628.627 484.7254 446 0.2887161 0.1491768
Moved 2628.658 475.0253 446 0.2662623 0.1491768
Moved 2628.689 459.6004 446 0.2305565 0.1491768
Moved 2628.72 430.3153 454.0721 0.1627669 0.1699384
Moved 2628.75 407.7918 457.8869 0.1106293 0.1797501
Moved 2628.781 389.3391 462.2203 0.06791462 0.1908957
Moved 2628.812 372.8926 466.0153 0.02984395 0.2006566
Moved 2628.843 355.5518 466 -0.01029685 0.2006171
Moved 2628.873 339.2769 466 -0.04797002 0.2006171
Moved 2628.904 325.6322 466 -0.07955506 0.2006171
Moved 2628.935 317.6688 466 -0.09798899 0.2006171
Moved 2628.966 309.5117 466 -0.116871 0.2006171
Moved 2628.996 306.1153 459.8068 -0.1247332 0.184688
Moved 2629.027 304.7547 459 -0.1278826 0.1826131
Moved 2629.058 304 456.9832 -0.1296296 0.1774257
Moved 2629.088 304 450.7664 -0.1296296 0.1614361
Moved 2629.119 316.8626 436.2061 -0.09985502 0.1239867
Moved 2629.15 329.4504 416.7694 -0.07071664 0.07399531
Moved 2629.181 344.2952 395.9835 -0.03635376 0.02053351
Moved 2629.211 356.1739 374.3588 -0.008856803 -0.03508532
Moved 2629.242 365.0229 360.9541 0.01162718 -0.06956257
Moved 2629.273 370.7013 346.8961 0.02477149 -0.10572
Moved 2629.303 377.2454 333.5092 0.03991991 -0.1401513
Moved 2629.334 381.5722 321.8557 0.04993558 -0.1701243
Moved 2629.365 384.5126 312.9748 0.05674213 -0.1929661
Moved 2629.396 386.9139 309.1721 0.06230076 -0.2027466
Moved 2629.427 388.5 306.5 0.06597221 -0.2096194
Moved 2629.457 390.364 306 0.07028688 -0.2109054
Moved 2629.488 395.1672 306 0.08140554 -0.2109054
Moved 2629.519 409.1856 332.1916 0.1138556 -0.1435402
Moved 2629.549 431.2193 374.9612 0.1648596 -0.03353598
Moved 2629.58 442.6757 399.2433 0.1913789 0.02891784
Moved 2629.611 449.5 413.5 0.2071759 0.06558634
Moved 2629.642 456.0829 434.2764 0.2224142 0.1190235
Moved 2629.672 461.4876 453.2067 0.2349251 0.1677126
Moved 2629.703 463 469.2657 0.2384259 0.2090165
Moved 2629.734 463 474.6639 0.2384259 0.222901
Moved 2629.765 443.8864 481.5682 0.1941816 0.2406588
Moved 2629.795 407.824 483 0.1107037 0.2443414
Moved 2629.826 370.8772 483 0.02517869 0.2443414
Moved 2629.857 342.8321 471.3054 -0.0397406 0.2142627
