the collapse of the Roman empire
the collapse of the Roman empire
FixStart
Radial

0.6 0.6
432 388.8
Began 4238.133 430 334 0.162037 -0.1388889
Stationary 4238.164 430 334 0.162037 -0.1388889
Stationary 4238.195 430 334 0.162037 -0.1388889
Stationary 4238.226 430 334 0.162037 -0.1388889
Moved 4238.256 430 348.5648 0.162037 -0.1014279
Moved 4238.287 430 361.1017 0.162037 -0.06918298
Moved 4238.318 418.0338 393.8986 0.1343374 0.01517127
Moved 4238.349 406 421 0.1064815 0.08487643
Moved 4238.379 396.8 437.3334 0.08518517 0.1268862
Moved 4238.41 393.6496 446.4018 0.07789255 0.1502102
Moved 4238.441 389.1093 453.6721 0.06738266 0.1689096
Moved 4238.471 386.5569 457.4431 0.06147425 0.1786088
Moved 4238.502 386 460.993 0.06018519 0.1877392
Moved 4238.533 386 463.249 0.06018519 0.1935416
Moved 4238.563 386 465.8028 0.06018519 0.20011
Moved 4238.594 395.4767 467.3538 0.08212198 0.2040992
Moved 4238.625 437.0287 434.9713 0.1783072 0.1208109
Moved 4238.656 468.8015 391.0403 0.2518553 0.007819776
Moved 4238.687 483.0157 355.2916 0.2847585 -0.0841267
Moved 4238.717 493.8775 327.2449 0.3099017 -0.156263
Moved 4238.748 503.3018 301.3965 0.331717 -0.2227457
Moved 4238.779 510.0689 286.8277 0.3473818 -0.2602169
Moved 4238.81 514.1859 278.2213 0.3569117 -0.2823528
Moved 4238.84 515 273.7244 0.3587963 -0.2939189
Moved 4238.871 515 272.6033 0.3587963 -0.2968021
Moved 4238.901 515 271 0.3587963 -0.300926
Moved 4238.932 496.1595 271 0.3151841 -0.300926
Moved 4238.963 473.7163 290.1702 0.2632323 -0.2516198
Moved 4238.994 450.7049 305.9417 0.2099651 -0.2110553
Moved 4239.024 427.454 322.6914 0.1561436 -0.1679748
Moved 4239.055 396.9145 348.2379 0.08545031 -0.1022688
Moved 4239.086 367.3215 371.7142 0.01694789 -0.04188726
Moved 4239.117 339.5 396 -0.04745369 0.02057605
Moved 4239.147 326.0862 407.9138 -0.07850413 0.05121839
Moved 4239.178 317.0318 418.291 -0.09946351 0.07790891
Moved 4239.209 310.3782 431.1176 -0.1148654 0.1108992
Ended 4239.239 305.4451 441.1097 -0.1262844 0.136599
Candidates 4239.362 13 the time there tune rubber this tube june else under times robert fine
Began 4239.762 269 370 -0.2106481 -0.04629637
Stationary 4239.792 269 370 -0.2106481 -0.04629637
Stationary 4239.823 269 370 -0.2106481 -0.04629637
Moved 4239.854 279.3981 370 -0.1865785 -0.04629637
Moved 4239.885 310.5866 370 -0.1143828 -0.04629637
Moved 4239.916 338 380.5 -0.05092591 -0.0192902
Moved 4239.946 350.2238 379 -0.02263005 -0.02314815
Moved 4239.977 358.1718 379 -0.004232029 -0.02314815
Moved 4240.008 361.8588 380 0.00430276 -0.02057613
Ended 4240.038 365.7058 380 0.01320799 -0.02057613
Accept 4240.1 0 the
Began 4240.284 431 335 0.1643519 -0.1363169
Stationary 4240.315 431 335 0.1643519 -0.1363169
Stationary 4240.346 431 335 0.1643519 -0.1363169
Stationary 4240.376 431 335 0.1643519 -0.1363169
Stationary 4240.407 431 335 0.1643519 -0.1363169
Moved 4240.438 421.2556 325.2556 0.1417953 -0.1613798
Moved 4240.468 415.1217 317.4956 0.1275966 -0.1813385
Moved 4240.499 405.0927 308.2742 0.1043812 -0.2050562
Moved 4240.53 395 298 0.08101851 -0.2314816
Moved 4240.561 383.9951 286.996 0.05554407 -0.259784
Moved 4240.591 374.8381 277.8381 0.03434747 -0.2833384
Moved 4240.622 366.7601 269.7601 0.0156484 -0.304115
Moved 4240.653 361 264 0.002314846 -0.31893
Moved 4240.684 355.2972 258.2972 -0.01088609 -0.3335977
Moved 4240.714 350.2054 254.6027 -0.02267271 -0.3431002
Moved 4240.745 346.0866 250.0867 -0.03220692 -0.3547153
Moved 4240.775 342.5 244.5 -0.04050925 -0.3690844
Moved 4240.806 338.4415 240.4414 -0.04990399 -0.3795232
Moved 4240.837 335.6786 235.3571 -0.05629962 -0.3926002
Moved 4240.868 333.1363 228.4088 -0.06218453 -0.4104712
Moved 4240.898 331.5834 220.7502 -0.06577914 -0.4301692
Moved 4240.929 331 211.7114 -0.06712963 -0.4534172
