traveling requires a lot of fuel
traveling requires a lot of fuel
FixStart
List

0.6 0.6
432 388.8
Began 3140.631 465 376 0.2430555 -0.03086435
Stationary 3140.662 465 376 0.2430555 -0.03086435
Stationary 3140.693 465 376 0.2430555 -0.03086435
Stationary 3140.724 465 376 0.2430555 -0.03086435
Stationary 3140.754 465 376 0.2430555 -0.03086435
Moved 3140.785 465 395.2874 0.2430555 0.01874315
Moved 3140.816 454.0663 413.7678 0.2177462 0.0662751
Moved 3140.846 449.5 439.5 0.2071759 0.1324588
Moved 3140.877 446.8336 457.1651 0.2010036 0.1778937
Moved 3140.908 446 474.5713 0.199074 0.2226627
Moved 3140.938 446 490.4602 0.199074 0.2635292
Moved 3140.969 446 501.2919 0.199074 0.2913885
Moved 3141 446 509.5825 0.199074 0.312712
Moved 3141.031 446 516.2253 0.199074 0.3297974
Moved 3141.061 446 520.3684 0.199074 0.3404537
Moved 3141.092 446 524.8043 0.199074 0.3518628
Moved 3141.123 446 528.5645 0.199074 0.361534
Moved 3141.154 446 531.3307 0.199074 0.3686488
Moved 3141.184 444.9048 533 0.1965389 0.3729423
Moved 3141.215 445 534.103 0.1967593 0.3757793
Moved 3141.246 442.8582 536.1418 0.1918013 0.3810232
Moved 3141.276 437.9166 537 0.1803625 0.3832304
Moved 3141.307 429 537 0.1597223 0.3832304
Moved 3141.338 411.2074 537 0.1185357 0.3832304
Moved 3141.368 398.9647 537 0.09019593 0.3832304
Moved 3141.399 382.7136 523.7344 0.05257766 0.349111
Moved 3141.43 365.9117 513.1838 0.01368433 0.3219747
Moved 3141.461 346.434 499.3617 -0.03140271 0.286424
Moved 3141.491 329.6078 485.6078 -0.07035241 0.2510488
Moved 3141.522 313.8871 468.4645 -0.1067428 0.2069561
Moved 3141.553 301.0443 454.8702 -0.1364715 0.1719912
Moved 3141.583 290.3013 442.735 -0.1613396 0.1407794
Moved 3141.614 282.0446 433.0446 -0.1804524 0.1158553
Moved 3141.645 274.8557 423.7835 -0.1970933 0.09203565
Moved 3141.676 268.4692 414.4692 -0.2118768 0.0680792
Moved 3141.706 261.2146 405.2147 -0.2286698 0.04427627
Moved 3141.737 253.9556 394.9408 -0.2454731 0.01785176
Moved 3141.768 248 387.5 -0.2592593 -0.001286047
Moved 3141.798 241.6213 376.2426 -0.2740248 -0.03024034
Moved 3141.829 237.1292 367.2584 -0.2844232 -0.05334783
Moved 3141.86 232.6307 359.6307 -0.2948364 -0.07296644
Moved 3141.891 229.8849 353.6547 -0.3011923 -0.08833669
Moved 3141.921 228.0989 350.0989 -0.3053266 -0.09748231
Moved 3141.952 227.3468 348.3468 -0.3070676 -0.1019887
Moved 3141.983 227 348 -0.3078704 -0.1028807
Moved 3142.013 227 347 -0.3078704 -0.1054527
Stationary 3142.044 227 347 -0.3078704 -0.1054527
Moved 3142.075 239.3048 344.6738 -0.2793871 -0.1114356
Moved 3142.105 252.379 341.9242 -0.2491226 -0.1185077
