that is a very nasty cut
that is a very nasty cut
FixStart
Radial

0.6 0.6
432 388.8
Began 2084.146 291 281 -0.1597222 -0.2752058
Stationary 2084.177 291 281 -0.1597222 -0.2752058
Stationary 2084.208 291 281 -0.1597222 -0.2752058
Stationary 2084.238 291 281 -0.1597222 -0.2752058
Stationary 2084.269 291 281 -0.1597222 -0.2752058
Moved 2084.3 284.1962 302.5359 -0.1754719 -0.2198151
Moved 2084.33 276.7528 324.9888 -0.1927018 -0.1620659
Moved 2084.361 271.8112 343.5663 -0.2041407 -0.1142843
Moved 2084.392 269.01 361.9499 -0.210625 -0.06700139
Moved 2084.423 269 380.0167 -0.2106481 -0.0205332
Moved 2084.453 269 394.6507 -0.2106481 0.01710562
Moved 2084.484 269 405.1361 -0.2106481 0.04407431
Moved 2084.515 280.4432 417.8864 -0.1841592 0.0768683
Moved 2084.545 291.0706 428.0565 -0.1595588 0.1030258
Moved 2084.576 300.9695 435.313 -0.1366446 0.1216898
Moved 2084.607 311.611 439.4028 -0.1120117 0.1322087
Moved 2084.638 324.159 439 -0.08296529 0.1311728
Moved 2084.668 339.8628 429.8496 -0.04661391 0.1076378
Moved 2084.699 355.5915 415.9719 -0.01020486 0.07194416
Moved 2084.73 371.9505 392.2792 0.02766321 0.01100623
Moved 2084.76 382.931 363.8104 0.05308111 -0.06221622
Moved 2084.791 388.6674 340.6639 0.06635984 -0.1217493
Moved 2084.822 388 319.9083 0.06481478 -0.1751331
Moved 2084.853 382.7125 303.2232 0.05257517 -0.2180475
Moved 2084.883 372.4776 290.4777 0.02888342 -0.2508291
Moved 2084.914 358.335 281.715 -0.003854235 -0.2733669
Moved 2084.945 334.9436 275.9839 -0.05800093 -0.2881073
Moved 2084.976 309.1764 275 -0.1176472 -0.2906379
Moved 2085.006 289.5098 275 -0.1631718 -0.2906379
Moved 2085.037 270.6152 275 -0.2069092 -0.2906379
Moved 2085.068 245.0777 288.4806 -0.2660238 -0.2559656
Moved 2085.098 228.8101 295.114 -0.3036802 -0.2389045
Moved 2085.129 212.9851 301.3383 -0.3403122 -0.2228953
Moved 2085.16 194.0706 306.837 -0.3840958 -0.2087527
Moved 2085.191 177.5005 314.8997 -0.4224525 -0.1880152
Moved 2085.221 163.1665 318.1667 -0.4556332 -0.1796125
Moved 2085.252 152.0361 321.741 -0.4813978 -0.1704194
Moved 2085.283 142.7887 324.6057 -0.5028039 -0.1630514
Moved 2085.313 136.5243 328.4758 -0.517305 -0.1530974
Moved 2085.344 132.307 331.3465 -0.5270672 -0.1457137
Moved 2085.375 130.107 334.786 -0.5321597 -0.1368674
Moved 2085.406 129 341.2916 -0.5347222 -0.1201348
Moved 2085.437 139.8319 354.1932 -0.5096484 -0.08695162
Moved 2085.467 168.636 374.1248 -0.4429723 -0.03568744
