in sharp contrast to your words
in sharp contrast to your words
FixStart
Radial

0.6 0.6
432 388.8
Began 3530.969 423 517 0.1458333 0.33179
Stationary 3530.999 423 517 0.1458333 0.33179
Stationary 3531.03 423 517 0.1458333 0.33179
Moved 3531.061 443.3739 539.3739 0.1929952 0.3893361
Moved 3531.091 462.1283 559.8943 0.236408 0.4421149
Moved 3531.122 483.3398 586.2417 0.2855087 0.5098808
Moved 3531.153 506.9763 615.9705 0.340223 0.5863437
Moved 3531.184 521.4859 631.8574 0.3738099 0.6272051
Moved 3531.214 528.8264 638.8264 0.390802 0.6451296
Moved 3531.245 534.5588 646.5588 0.4040712 0.6650172
Moved 3531.276 540.305 651.6525 0.4173727 0.6781185
Moved 3531.306 543.1138 655.1138 0.4238744 0.6870208
Moved 3531.337 545.0302 657.0302 0.4283106 0.69195
Moved 3531.368 545 658.3745 0.4282407 0.6954075
Moved 3531.398 546.1673 658 0.4309427 0.6944444
Moved 3531.429 547.1369 659 0.4331873 0.6970164
Moved 3531.46 547 660.0651 0.4328704 0.699756
Stationary 3531.491 547 660 0.4328704 0.6995884
Moved 3531.521 526.3896 630.987 0.385161 0.6249665
Moved 3531.552 495.8224 588.9657 0.3144038 0.5168869
Moved 3531.583 467.9377 531.8547 0.2498559 0.3699967
Moved 3531.614 457.173 500.519 0.2249375 0.2894007
Moved 3531.644 452.4246 471.5476 0.2139458 0.2148858
Moved 3531.675 450 451.7 0.2083333 0.1638374
Moved 3531.706 449 439.4257 0.2060185 0.1322678
Moved 3531.737 449 429.4081 0.2060185 0.1065021
Moved 3531.767 449 424.1288 0.2060185 0.09292378
Moved 3531.798 449 418.384 0.2060185 0.07814811
Moved 3531.829 449 412.6385 0.2060185 0.06337067
Moved 3531.859 449 408.8678 0.2060185 0.05367224
Moved 3531.89 449 405.9457 0.2060185 0.0461565
Moved 3531.921 449 404.0673 0.2060185 0.04132533
Moved 3531.951 449 401.187 0.2060185 0.03391697
Moved 3531.982 449 398.64 0.2060185 0.02736621
Moved 3532.013 449 396.7826 0.2060185 0.02258897
Moved 3532.044 449 394.8933 0.2060185 0.01772963
Moved 3532.074 449 393.5 0.2060185 0.01414597
Moved 3532.105 449 392.9754 0.2060185 0.0127967
Moved 3532.136 449 392 0.2060185 0.01028803
Moved 3532.167 449 389.8817 0.2060185 0.004839721
Moved 3532.197 456.8021 389.1979 0.224079 0.003080878
Moved 3532.228 461.3457 387.3271 0.2345966 -0.001730664
Moved 3532.259 468.0735 385.4633 0.2501702 -0.006524584
