is there any indication of this
is there any indication of this
Basic
List

0.6 0.6
432 388.8
Began 220.6296 407 544 0.1087963 0.4012345
Stationary 220.6604 407 544 0.1087963 0.4012345
Moved 220.6911 396.4821 531.1448 0.08444936 0.3681707
Moved 220.7218 381.8171 516.7805 0.05050251 0.3312255
Moved 220.7525 358.4358 497.5486 -0.003620833 0.2817608
Moved 220.7832 328.1793 473.494 -0.07365906 0.219892
Moved 220.814 300.0058 448.6046 -0.1388755 0.155876
Moved 220.8447 280.6708 434.4791 -0.1836324 0.119545
Moved 220.8754 260.4868 417.2391 -0.2303545 0.0752033
Moved 220.9061 244.8909 403.5128 -0.2664562 0.03989903
Moved 220.9368 232.006 394.5045 -0.2962824 0.0167296
Moved 220.9676 222.843 387.9215 -0.3174932 -0.0002018807
Moved 220.9983 214.2881 382.1921 -0.3372961 -0.01493815
Moved 221.029 206.6612 377.4408 -0.3549509 -0.02715852
Moved 221.0597 199.5 373 -0.3715278 -0.03858032
Moved 221.0905 194.6946 368.8473 -0.3826514 -0.04926116
Moved 221.1212 187.9527 362.9527 -0.3982577 -0.06442215
Moved 221.1519 185.0995 361.0995 -0.4048622 -0.06918848
Moved 221.1827 184 359.6502 -0.4074074 -0.07291629
Ended 221.2133 184 359.6502 -0.4074074 -0.07291629
Candidates 221.3363 13 usa us ya is ts its yes ta ita rss ira used ura
Began 222.1966 335 454 -0.05787035 0.169753
Stationary 222.2273 335 454 -0.05787035 0.169753
Moved 222.258 324.4646 478.0707 -0.08225778 0.2316634
Moved 222.2887 315 497 -0.1041667 0.2803498
Moved 222.3194 303.8711 515.9756 -0.1299281 0.3291554
Moved 222.3502 290.2222 534.0889 -0.1615226 0.3757429
Moved 222.3809 277.8849 547.1151 -0.1900811 0.4092464
Moved 222.4116 268.2025 558.3966 -0.2124941 0.4382628
Moved 222.4423 261.0545 568.891 -0.2290405 0.4652545
Moved 222.4731 255.2961 577.0558 -0.2423701 0.4862547
Moved 222.5038 250.5336 586.9329 -0.2533945 0.5116585
Moved 222.5345 249 594.3094 -0.2569445 0.5306312
Moved 222.5652 247 604.9192 -0.2615741 0.5579197
Moved 222.5959 246 613.0154 -0.2638889 0.5787431
Moved 222.6267 246 620.0405 -0.2638889 0.5968118
Moved 222.6574 246 625.7753 -0.2638889 0.6115618
Moved 222.6881 245 630.7594 -0.2662037 0.6243811
Moved 222.7188 243.371 633.629 -0.2699746 0.6317618
