the bathroom is good for reading
the bathroom is good for reading
FixStart
List

0.6 0.6
432 388.8
Began 2420.871 402 514 0.09722222 0.324074
Stationary 2420.902 402 514 0.09722222 0.324074
Stationary 2420.933 402 514 0.09722222 0.324074
Stationary 2420.963 402 514 0.09722222 0.324074
Stationary 2420.994 402 514 0.09722222 0.324074
Stationary 2421.025 402 514 0.09722222 0.324074
Stationary 2421.056 402 514 0.09722222 0.324074
Stationary 2421.086 402 514 0.09722222 0.324074
Stationary 2421.117 402 514 0.09722222 0.324074
Stationary 2421.148 402 514 0.09722222 0.324074
Stationary 2421.178 402 514 0.09722222 0.324074
Stationary 2421.209 402 514 0.09722222 0.324074
Moved 2421.24 402 532.1829 0.09722222 0.3708405
Moved 2421.271 402 555.6674 0.09722222 0.4312431
Moved 2421.302 402 577.0562 0.09722222 0.4862554
Moved 2421.332 402 594.5374 0.09722222 0.5312176
Moved 2421.363 402 609.5832 0.09722222 0.5699155
Moved 2421.394 402 616.829 0.09722222 0.588552
Moved 2421.424 402 622.3423 0.09722222 0.6027323
Moved 2421.455 402 624.598 0.09722222 0.6085337
Moved 2421.486 402 626.1797 0.09722222 0.612602
Stationary 2421.517 402 626 0.09722222 0.6121398
Moved 2421.547 420.1483 609.8517 0.1392322 0.5706061
Moved 2421.578 438.8794 581.961 0.1825913 0.4988708
Moved 2421.609 454.6164 556.8905 0.2190195 0.4343891
Moved 2421.639 470.4467 525.3832 0.2556638 0.3533517
Moved 2421.67 481 504 0.2800926 0.2983539
Moved 2421.701 489.2573 484.3995 0.2992068 0.2479411
Moved 2421.731 492.8513 470.595 0.3075261 0.2124355
Moved 2421.762 494 464.7704 0.3101851 0.1974547
Moved 2421.793 494 461.9833 0.3101851 0.1902861
Moved 2421.824 464.1872 469.8128 0.2411741 0.2104238
Moved 2421.854 429 490.5 0.1597223 0.2636316
Moved 2421.885 391.8735 522.8317 0.07378131 0.3467893
Moved 2421.916 363.6664 554.548 0.008486907 0.4283642
Moved 2421.947 338.9686 585.5471 -0.04868373 0.5080942
Moved 2421.978 319.0977 619.4387 -0.09468123 0.595264
Moved 2422.008 316 634.168 -0.1018519 0.6331481
Ended 2422.039 316 634.168 -0.1018519 0.6331481
Candidates 2422.192 13 the time there june home under fine tune one summer this they times
Began 2423.299 460 488 0.2314815 0.2572016
Moved 2423.329 460 483.5808 0.2314815 0.2458354
Moved 2423.36 451.1586 448.0542 0.2110153 0.1544603
Moved 2423.391 446.2093 405.1394 0.1995585 0.04408271
