they might find your comment offensive
they might find your comment offensive
FixStart
List

0.6 0.6
432 388.8
Began 2081.794 323 527 -0.08564815 0.3575102
Stationary 2081.825 323 527 -0.08564815 0.3575102
Moved 2081.856 323 516.9214 -0.08564815 0.331588
Moved 2081.886 361.4933 478.5067 0.003456771 0.2327845
Moved 2081.917 385.1114 456.7775 0.05812823 0.1768969
Moved 2081.948 406.3304 441.1926 0.1072464 0.136812
Moved 2081.979 420.5184 430.1112 0.1400888 0.1083106
Moved 2082.01 428.3859 424.7427 0.1583008 0.09450284
Moved 2082.04 435.0789 420.9606 0.1737937 0.08477509
Moved 2082.071 438.9164 419.0836 0.1826769 0.07994737
Moved 2082.102 441 419 0.1875 0.07973251
Moved 2082.132 442.5 419 0.1909722 0.07973251
Moved 2082.163 442 449.769 0.1898148 0.158871
Moved 2082.194 424.8624 486.4473 0.1501444 0.2532081
Moved 2082.225 414.2661 516.8851 0.1256161 0.3314944
Moved 2082.255 403.2275 551.3176 0.1000636 0.4200554
Moved 2082.286 394.2447 598.5531 0.0792701 0.5415459
Moved 2082.317 392.8028 611.7746 0.07593244 0.5755519
Moved 2082.347 392 639.5942 0.07407407 0.6471044
Moved 2082.378 392 664.2715 0.07407407 0.7105749
Moved 2082.409 392 689.1907 0.07407407 0.7746673
Moved 2082.44 392 709.3204 0.07407407 0.8264413
Moved 2082.47 400 719.6786 0.09259263 0.8530825
Moved 2082.501 401 726.5252 0.09490739 0.8706923
Moved 2082.532 401 729.5 0.09490739 0.8783434
Moved 2082.563 401 730 0.09490739 0.8796296
Moved 2082.593 392.9225 730 0.0762095 0.8796296
Moved 2082.624 383.2554 719.2554 0.05383203 0.8519944
Moved 2082.655 366.4597 699.6683 0.01495302 0.8016158
Moved 2082.685 340.6586 667.8875 -0.04477168 0.7198751
Moved 2082.716 318.6131 636.0931 -0.09580294 0.6380993
Moved 2082.747 298.8008 607.7211 -0.1416648 0.5651261
Moved 2082.778 283.8618 587.4823 -0.1762459 0.5130717
Moved 2082.808 271.1734 568.2602 -0.2056171 0.4636321
Moved 2082.839 261.0228 553.3713 -0.2291139 0.4253378
