the collapse of the Roman empire
the collapse of the Roman empire
Basic
Radial

0.6 0.6
432 388.8
Began 600.2795 284 577 -0.1759259 0.4861111
Stationary 600.3102 284 577 -0.1759259 0.4861111
Stationary 600.341 284 577 -0.1759259 0.4861111
Moved 600.3717 289.2068 564.2808 -0.163873 0.4533971
Moved 600.4024 299.7514 540.9942 -0.1394643 0.3935035
Moved 600.4332 305.6215 527.5142 -0.1258763 0.3588328
Moved 600.4639 310.4973 515.5082 -0.1145896 0.3279531
Moved 600.4946 314.0046 507.9861 -0.1064707 0.3086061
Moved 600.5253 316.8796 503.2408 -0.09981573 0.2964011
Moved 600.556 319.7522 497.4957 -0.09316628 0.2816245
Moved 600.5867 322.6262 493.3738 -0.08651336 0.2710231
Moved 600.6175 326.3353 487.497 -0.07792746 0.2559079
Moved 600.6482 334.1483 469.7034 -0.05984187 0.2101423
Moved 600.6789 345.661 452.4237 -0.03319209 0.1656987
Moved 600.7097 354.5 438.5 -0.0127315 0.1298867
Moved 600.7404 371.5616 412.5013 0.02676308 0.06301774
Moved 600.7711 386.9095 389.9085 0.06229063 0.004908714
Moved 600.8018 398.2206 374.7794 0.08847345 -0.03400355
Moved 600.8325 408.4977 363.8779 0.1122632 -0.06204259
Moved 600.8632 416.4676 354.0433 0.130712 -0.08733726
Moved 600.894 420.358 347.284 0.1397175 -0.1047222
Moved 600.9247 421 344.7572 0.1412037 -0.1112213
Moved 600.9554 421 341.2218 0.1412037 -0.1203143
Moved 600.9861 393.2086 348.1422 0.07687171 -0.102515
Moved 601.0168 338.6024 401.3976 -0.04953156 0.03445888
Moved 601.0475 301.8386 438.1614 -0.1346329 0.129016
Moved 601.0783 270.932 466.2751 -0.206176 0.2013249
Moved 601.109 247.9361 484.5479 -0.2594072 0.2483228
Moved 601.1397 230.1864 497.5424 -0.3004944 0.2817448
Moved 601.1704 215.7571 507.8878 -0.3338957 0.3083533
Moved 601.2012 203.8008 515.1494 -0.3615723 0.3270303
Moved 601.2319 194.2605 519.8264 -0.3836562 0.3390595
Moved 601.2626 186.5 524 -0.4016204 0.3497942
Ended 601.2933 182.3911 526.3044 -0.4111317 0.3557212
Candidates 601.3854 13 the there where enter tennessee she rubber else tender register edge these turner
Began 602.1227 547 344 0.4328704 -0.1131688
Moved 602.1534 566.1596 344 0.4772213 -0.1131688
Moved 602.1842 609.0872 355.1304 0.5765905 -0.08454114
Moved 602.2149 641.0476 356 0.6505732 -0.0823046
Moved 602.2457 669.2674 358 0.7158968 -0.07716057
Ended 602.2763 672 358 0.7222222 -0.07716057
Accept 602.3378 0 the
Began 603.1365 284 210 -0.1759259 -0.457819
Stationary 603.1673 284 210 -0.1759259 -0.457819
Moved 603.1979 312.1981 231.1584 -0.1106525 -0.4033991
Moved 603.2286 335.1668 247.9243 -0.05748416 -0.360277
Moved 603.2594 359.4638 266.5978 -0.001241267 -0.3122484
Moved 603.2901 379.829 284.829 0.04590045 -0.2653575
Moved 603.3209 391.5545 295.5545 0.0730428 -0.2377714
Moved 603.3516 403.4286 307.4285 0.1005291 -0.2072313
Moved 603.3823 418.2133 325.0986 0.1347529 -0.1617836
Moved 603.413 433.5407 341.8489 0.1702331 -0.1187015
Moved 603.4437 443.6834 353.5779 0.1937115 -0.08853425
Moved 603.4744 458.1707 371.6179 0.2272471 -0.04213506
Moved 603.5051 470.4038 387.0048 0.2555645 -0.002559772
Moved 603.5358 480.9151 401.3939 0.2798961 0.03444911
Moved 603.5666 487.9765 409.9686 0.2962418 0.05650367
Moved 603.5973 497.467 423.3338 0.3182107 0.09087908
Moved 603.628 505.4688 436.9377 0.3367334 0.1258684
Moved 603.6588 511 449.5 0.349537 0.158179
Moved 603.6895 515.3596 458.7191 0.3596286 0.1818905
Moved 603.7202 519.0467 468.1401 0.3681637 0.2061217
Moved 603.7509 521.9202 475.7605 0.3748152 0.2257214
Moved 603.7817 523 480.6861 0.3773148 0.2383901
Moved 603.8124 524.3297 485.6592 0.3803927 0.2511811
Moved 603.8431 524 490.1974 0.3796296 0.2628534
Moved 603.8738 524 493.069 0.3796296 0.2702392
Moved 603.9045 524 494.245 0.3796296 0.2732638
Moved 603.9352 524 495.0016 0.3796296 0.2752099
Moved 603.966 524 497.3223 0.3796296 0.2811787
Moved 603.9967 516.0974 497 0.3613366 0.2803498
Moved 604.0274 510.7569 491.7662 0.3489743 0.2668882
Moved 604.0582 501.7475 467.99 0.3281192 0.2057355
Moved 604.0888 492.0016 435.0116 0.3055593 0.1209145
Moved 604.1196 487.9758 403.7098 0.2962402 0.04040581
Moved 604.1503 487 374.0235 0.2939814 -0.03594779
Moved 604.181 487 356.1964 0.2939814 -0.08179943
Moved 604.2117 487 346 0.2939814 -0.1080248
Moved 604.2424 487 338.3926 0.2939814 -0.1275912
Moved 604.2731 496.069 333.8619 0.3149746 -0.139244
Moved 604.3039 498.9356 331.0644 0.3216102 -0.1464395
Moved 604.3347 500 328.6458 0.324074 -0.1526602
Moved 604.3654 501 327.5 0.3263889 -0.1556071
Moved 604.3961 501 325.8968 0.3263889 -0.1597306
Moved 604.4268 483.4759 326 0.2858239 -0.1594652
Moved 604.4575 456.8841 326 0.2242687 -0.1594652
Moved 604.4882 404.6584 343.3956 0.103376 -0.1147232
Moved 604.5187 361.9518 347.9465 0.004518131 -0.1030182
Moved 604.5496 317.9707 355.6058 -0.09729012 -0.0833184
Moved 604.5804 273.0663 362.489 -0.2012355 -0.06561491
Moved 604.6111 235.5947 369.8513 -0.2879754 -0.04667878
Moved 604.6418 205.083 374.9834 -0.3586042 -0.03347891
Moved 604.6725 182.9148 377.0095 -0.4099194 -0.02826785
Moved 604.7033 156.7843 382.3039 -0.4704067 -0.01465056
Moved 604.7339 152.5067 383.7466 -0.4803085 -0.01093978
Moved 604.7647 148.5 386.5 -0.4895833 -0.003858064
Moved 604.7954 149 393.3779 -0.4884259 0.01383193
Moved 604.8262 159.5421 401.1084 -0.4640231 0.03371494
Moved 604.8569 190.7874 414.5669 -0.3916959 0.06833037
Moved 604.8876 239.9773 426.3954 -0.2778303 0.09875368
Moved 604.9183 295.8513 434.3234 -0.1484923 0.1191445
Moved 604.949 338.9415 437.1961 -0.04874661 0.1265332
Moved 604.9797 379.8627 438 0.04597842 0.1286007
Moved 605.0105 413.9364 440.578 0.1248528 0.1352314
Moved 605.0412 448.417 447.3542 0.204669 0.15266
Moved 605.0719 474.9001 455.9667 0.2659723 0.1748114
Moved 605.1027 495.4355 463.8118 0.3135081 0.1949892
Moved 605.1334 517.1382 473.9362 0.3637459 0.2210291
Moved 605.1641 535.245 486.0322 0.4056596 0.2521403
Moved 605.1948 551.901 499.4175 0.4442152 0.2865675
Moved 605.2255 558.0037 507.0037 0.4583419 0.3060793
Moved 605.2562 560 511.739 0.462963 0.3182587
Moved 605.287 560 514.5 0.462963 0.32536
Moved 605.3177 560 516.1804 0.462963 0.3296821
Moved 605.3484 530.2977 518 0.3942077 0.3343621
Moved 605.3792 500.2336 508.4252 0.3246147 0.3097355
Moved 605.4099 465.8719 498.2682 0.2450738 0.2836117
Moved 605.4406 435.2617 488.5421 0.174217 0.2585958
Moved 605.4713 391.4573 474.6022 0.07281779 0.2227423
Moved 605.5019 344.123 454.8934 -0.03675242 0.1720509
Moved 605.5327 307.8943 439.5393 -0.1206149 0.1325599
Moved 605.5635 279.5837 425.991 -0.1861487 0.09771335
Moved 605.5942 257.288 415.608 -0.2377592 0.07100815
Moved 605.6249 241.9565 409.3188 -0.2732489 0.05483238
Moved 605.6556 231.3579 405.0895 -0.2977825 0.04395442
Moved 605.6863 219.7494 401.2498 -0.3246542 0.03407867
Moved 605.717 210.1307 399 -0.3469197 0.02829214
Moved 605.7478 201.504 398 -0.366889 0.02572008
Moved 605.7784 193.9468 398 -0.3843824 0.02572008
Moved 605.8091 188.1177 398 -0.3978757 0.02572008
Moved 605.8399 184.2386 412.2843 -0.4068552 0.06245958
Moved 605.8706 181.5 425.5 -0.4131944 0.09645053
Moved 605.9014 182 444.1234 -0.412037 0.1443501
Moved 605.9321 189.4445 467.635 -0.3948044 0.2048225
Moved 605.9628 201.7378 490.5411 -0.3663476 0.2637374
Moved 605.9935 212.7737 505.1284 -0.3408017 0.301256
Moved 606.0242 226.417 519.4169 -0.30922 0.3380064
Moved 606.0549 234.6089 529.8118 -0.2902573 0.3647423
Moved 606.0856 241.1687 538.1687 -0.2750724 0.3862363
Moved 606.1164 244.589 542.589 -0.2671551 0.3976054
Ended 606.1471 248.475 546.95 -0.2581598 0.4088218
Candidates 606.27 13 consider collapse consist clause constitute bookstore conclude somehow volatile consumer novelist chair chapter
Began 607.3452 449 364 0.2060185 -0.06172839
Moved 607.376 466.4592 381.4592 0.2464332 -0.01682321
Moved 607.4066 508.9377 428.0549 0.3447633 0.1030219
Moved 607.4374 537.276 464.0654 0.4103611 0.1956412
Moved 607.4681 562.8357 500.2535 0.469527 0.2887178
Moved 607.4988 574.4113 519.1169 0.4963223 0.3372348
Moved 607.5295 583.6644 534.8859 0.5177417 0.377793
Moved 607.5602 592.9334 549.6667 0.5391977 0.4158095
Moved 607.5909 603.8253 562.4337 0.5644105 0.4486463
Moved 607.6217 610.4899 569.9799 0.5798377 0.4680551
Ended 607.6524 611 571 0.5810185 0.4706789
Accept 607.7137 1 collapse
Began 608.2668 595 483 0.5439815 0.2443414
Moved 608.2975 585.0137 483 0.520865 0.2443414
Moved 608.3282 567.2952 483 0.4798499 0.2443414
Moved 608.3589 532.5186 483 0.3993486 0.2443414
Moved 608.3896 497.5069 471.0037 0.318303 0.2134867
Moved 608.4204 462.6061 467.9016 0.2375142 0.205508
Moved 608.451 432.6303 458.2891 0.1681256 0.1807846
Moved 608.4816 401.8798 447.752 0.09694406 0.153683
Moved 608.5126 371.8708 437.1613 0.02747863 0.1264435
Moved 608.5433 345.1298 428.5389 -0.03442183 0.1042667
Moved 608.574 326.8218 420.2739 -0.07680128 0.08300903
Moved 608.6047 312.4524 413.2714 -0.110064 0.0649984
Moved 608.6354 297.0833 407.4333 -0.1456404 0.04998285
Moved 608.6661 285.3906 403.3477 -0.1727069 0.03947442
Moved 608.6969 275.5 399.5 -0.1956018 0.02957815
Moved 608.7276 265.8655 394.9103 -0.2179039 0.01777351
Moved 608.7583 253.3259 389.0815 -0.2469308 0.002781589
Moved 608.7891 242.6317 383.2106 -0.2716858 -0.01231857
Moved 608.8198 232.9091 378.4546 -0.2941918 -0.02455103
Moved 608.8505 222.0833 371.3125 -0.3192515 -0.04292068
Ended 608.8812 219 370 -0.3263889 -0.04629637
Candidates 609.004 13 of ps pass loss pa los odds oops is psa pd kids off
Began 609.7722 462 373 0.2361111 -0.03858032
Stationary 609.8028 462 373 0.2361111 -0.03858032
Moved 609.8336 517.07 373 0.3635879 -0.03858032
Moved 609.8643 597.4832 355.1033 0.5497297 -0.08461084
Moved 609.895 636.9357 342.9495 0.6410549 -0.1158706
Ended 609.9257 663 341 0.7013888 -0.1208849
Accept 610.0179 0 of
Began 610.4479 331 538 -0.06712963 0.3858024
Stationary 610.4787 331 538 -0.06712963 0.3858024
Moved 610.5094 331 512.0067 -0.06712963 0.3189471
Moved 610.5401 341.9471 482.2117 -0.04178916 0.2423139
Moved 610.5708 348.477 457.41 -0.02667362 0.1785237
Moved 610.6015 356.0564 432.8121 -0.009128799 0.1152574
Moved 610.6323 362.8019 408.6934 0.006485879 0.05322358
Moved 610.663 369.5 388 0.02199074 -3.924585E-08
Moved 610.6937 376.6376 367.087 0.03851304 -0.05378856
Moved 610.7244 386.7391 347.8914 0.06189604 -0.1031602
Moved 610.7552 397.2367 332.7633 0.08619606 -0.1420698
Moved 610.7859 406.3005 323.2747 0.1071771 -0.1664747
Moved 610.8166 415.2965 313.2714 0.1280011 -0.1922034
Moved 610.8473 426.2537 307.0598 0.153365 -0.2081797
Moved 610.878 441.1719 300.4141 0.187898 -0.2252726
Moved 610.9088 453.2941 296.2353 0.2159587 -0.2360204
Moved 610.9395 461.2582 294 0.234394 -0.2417696
Moved 610.9702 465.4991 293 0.244211 -0.2443416
Moved 611.0009 467.0273 293 0.2477483 -0.2443416
Moved 611.0316 459.7164 331.7463 0.2308249 -0.1446854
Moved 611.0624 436.2256 376.6617 0.176448 -0.02916242
Moved 611.0931 408.9343 407.781 0.1132739 0.05087695
Moved 611.1238 382.2365 426.1757 0.05147348 0.09818834
