the union will go on strike
the union will go on strike
FixStart
Radial

0.6 0.6
432 388.8
Moved 2326.573 469.3962 389.7924 0.2532319 0.004609936
Moved 2326.604 455.7917 360.5833 0.2217399 -0.07051624
Moved 2326.635 442.0106 329.6915 0.1898394 -0.1499706
Moved 2326.666 429.9263 302.4231 0.1618664 -0.2201053
Moved 2326.697 419.6989 280.3978 0.1381919 -0.2767548
Moved 2326.727 411.1533 255.5111 0.1184105 -0.3407637
Moved 2326.758 406.5 239.5 0.1076389 -0.3819445
Moved 2326.789 401.6848 223.1088 0.09649257 -0.424103
Moved 2326.819 396.4513 205.9026 0.08437803 -0.4683575
Moved 2326.85 393.9428 192.7712 0.07857134 -0.5021316
Moved 2326.881 393 183.5822 0.07638891 -0.5257661
Moved 2326.912 392 176.0499 0.07407407 -0.5451391
Moved 2326.942 392 169.3138 0.07407407 -0.5624644
Moved 2326.973 391 166.7847 0.07175922 -0.5689694
Ended 2327.004 391 164.5701 0.07175922 -0.5746654
Candidates 2327.127 13 union running ongoing giving funding hunting dining function ignoring enough enjoying rubin timing
Began 2327.618 272 278 -0.2037037 -0.2829219
Stationary 2327.649 272 278 -0.2037037 -0.2829219
Moved 2327.68 282.1369 278 -0.1802386 -0.2829219
Moved 2327.71 301.5 278 -0.1354167 -0.2829219
Moved 2327.741 323.5006 290.4288 -0.08448923 -0.2509549
Moved 2327.772 338.4923 292.082 -0.04978632 -0.2467027
Moved 2327.803 346.9094 293 -0.03030231 -0.2443416
Moved 2327.833 353.4606 294 -0.01513754 -0.2417696
Moved 2327.864 358.3584 295.3584 -0.003800094 -0.2382758
Moved 2327.895 361.5 295 0.003472269 -0.2391976
Ended 2327.926 362 295 0.004629592 -0.2391976
Accept 2328.018 0 union
Began 2328.479 392 260 0.07407407 -0.3292181
Stationary 2328.509 392 260 0.07407407 -0.3292181
Stationary 2328.54 392 260 0.07407407 -0.3292181
Stationary 2328.571 392 260 0.07407407 -0.3292181
Moved 2328.602 367.1015 275.7487 0.01643876 -0.2887122
