I can still feel your presence
I can still feel your presence
Basic
List

0.6 0.6
432 388.8
Began 2122.271 459 468 0.2291666 0.2057612
Stationary 2122.302 459 468 0.2291666 0.2057612
Stationary 2122.332 459 468 0.2291666 0.2057612
Stationary 2122.363 459 468 0.2291666 0.2057612
Stationary 2122.394 459 468 0.2291666 0.2057612
Stationary 2122.424 459 468 0.2291666 0.2057612
Stationary 2122.455 459 468 0.2291666 0.2057612
Stationary 2122.486 459 468 0.2291666 0.2057612
Stationary 2122.516 459 468 0.2291666 0.2057612
Stationary 2122.547 459 468 0.2291666 0.2057612
Stationary 2122.578 459 468 0.2291666 0.2057612
Stationary 2122.608 459 468 0.2291666 0.2057612
Stationary 2122.639 459 468 0.2291666 0.2057612
Stationary 2122.67 459 468 0.2291666 0.2057612
Stationary 2122.701 459 468 0.2291666 0.2057612
Stationary 2122.731 459 468 0.2291666 0.2057612
Stationary 2122.762 459 468 0.2291666 0.2057612
Stationary 2122.793 459 468 0.2291666 0.2057612
Stationary 2122.823 459 468 0.2291666 0.2057612
Ended 2122.854 459 468 0.2291666 0.2057612
Candidates 2122.946 10 I u o j k y h p l g
Began 2123.991 341 248 -0.04398147 -0.3600824
Stationary 2124.021 341 248 -0.04398147 -0.3600824
Stationary 2124.052 341 248 -0.04398147 -0.3600824
Stationary 2124.083 341 248 -0.04398147 -0.3600824
Stationary 2124.114 341 248 -0.04398147 -0.3600824
Stationary 2124.144 341 248 -0.04398147 -0.3600824
Stationary 2124.175 341 248 -0.04398147 -0.3600824
Stationary 2124.206 341 248 -0.04398147 -0.3600824
Stationary 2124.236 341 248 -0.04398147 -0.3600824
Stationary 2124.267 341 248 -0.04398147 -0.3600824
Stationary 2124.298 341 248 -0.04398147 -0.3600824
Stationary 2124.328 341 248 -0.04398147 -0.3600824
Stationary 2124.359 341 248 -0.04398147 -0.3600824
Stationary 2124.39 341 248 -0.04398147 -0.3600824
Stationary 2124.421 341 248 -0.04398147 -0.3600824
Stationary 2124.451 341 248 -0.04398147 -0.3600824
Stationary 2124.482 341 248 -0.04398147 -0.3600824
Stationary 2124.513 341 248 -0.04398147 -0.3600824
Stationary 2124.543 341 248 -0.04398147 -0.3600824
Stationary 2124.574 341 248 -0.04398147 -0.3600824
Moved 2124.605 329.5379 257.6414 -0.07051414 -0.3352845
Moved 2124.635 319.7184 263.1408 -0.09324456 -0.32114
Moved 2124.666 307.4004 270.9598 -0.1217583 -0.3010294
Moved 2124.697 296.3495 282.3806 -0.1473391 -0.271655
