the back yard of our house
the back yard of our house
FixStart
Radial

0.6 0.6
432 388.8
Began 907.0278 330 361 -0.06944443 -0.06944452
Stationary 907.0585 330 361 -0.06944443 -0.06944452
Stationary 907.0892 330 361 -0.06944443 -0.06944452
Moved 907.1199 330 378.6588 -0.06944443 -0.02402576
Moved 907.1506 330 413.0762 -0.06944443 0.06449629
Moved 907.1813 330 473.36 -0.06944443 0.2195472
Moved 907.2121 330 504.1671 -0.06944443 0.2987835
Moved 907.2429 320.8894 519.4424 -0.09053379 0.3380719
Moved 907.2736 321 524.2589 -0.09027779 0.3504601
Moved 907.3042 321 526.5 -0.09027779 0.3562242
Moved 907.335 336.3136 498.157 -0.05482956 0.2833256
Moved 907.3657 357.7577 435.8307 -0.005190472 0.1230212
Moved 907.3964 374.2713 381.7325 0.03303538 -0.01612
Moved 907.4271 378 356.4503 0.04166663 -0.08114638
Moved 907.4579 378 346.2736 0.04166663 -0.107321
Moved 907.4886 356.7607 344 -0.007498513 -0.1131688
Moved 907.5193 317.3841 365.7805 -0.09864787 -0.05714887
Moved 907.55 274.9693 396.3337 -0.1968303 0.02143436
Moved 907.5807 240.5 427.5 -0.2766204 0.1015946
Moved 907.6115 215.3743 455.858 -0.3347818 0.1745317
Moved 907.6422 202.5392 472.4608 -0.3644926 0.2172346
Moved 907.6729 194.1014 487.7971 -0.3840244 0.2566798
Moved 907.7036 190.4819 497.5543 -0.392403 0.2817752
Moved 907.7343 189 507.199 -0.3958333 0.3065817
Ended 907.7651 189 513.5 -0.3958333 0.3227879
Candidates 907.8572 13 the there that tiger huge further these use user tube rubber guide trigger
Began 908.4717 137 454 -0.5162037 0.169753
Moved 908.5024 175.2703 454 -0.427615 0.169753
Moved 908.5331 282.4497 465.6298 -0.1795145 0.1996649
Moved 908.5637 413.5 473.5 0.1238426 0.2199073
Ended 908.5945 453 475 0.2152778 0.2237653
Accept 908.6559 0 the
Began 909.0861 336 548 -0.05555556 0.4115225
Moved 909.1168 336 531.6584 -0.05555556 0.3694917
Moved 909.1475 323.2982 482.9822 -0.08495783 0.2442958
Moved 909.1782 324 443.3429 -0.08333336 0.1423428
Moved 909.209 346.0404 407.1111 -0.03231386 0.04915398
Moved 909.2397 356.019 387.962 -0.009215325 -9.768293E-05
Moved 909.2704 361.5506 378.8987 0.003589392 -0.02340866
Moved 909.3011 363 374.9371 0.006944438 -0.03359814
Moved 909.3317 364 374 0.009259283 -0.03600823
Moved 909.3625 352.4483 381.4261 -0.01748085 -0.01690806
Moved 909.3932 318.2169 408.6867 -0.09672017 0.05320654
Moved 909.424 265.7255 448.7976 -0.218228 0.1563724
Moved 909.4547 216.0727 476.5409 -0.333165 0.2277286
Moved 909.4854 186.3464 494.8021 -0.4019758 0.2746966
Moved 909.5162 171.5 503 -0.4363426 0.2957818
Moved 909.5468 165.2631 506 -0.4507799 0.3034978
Moved 909.5776 163.5 508.5 -0.4548612 0.3099279
Moved 909.6083 164 509 -0.4537037 0.3112139
Moved 909.639 190.0942 510 -0.3933004 0.3137859
Moved 909.6697 251.6069 496.9814 -0.2509099 0.2803019
Moved 909.7005 318.6369 485.4979 -0.0957479 0.2507662
Moved 909.7312 375.8372 477.2363 0.03666013 0.229517
Moved 909.7619 406.2009 474.1799 0.1069464 0.2216561
Moved 909.7927 424.7785 470.3054 0.1499503 0.2116907
Moved 909.8234 434.1443 469 0.1716305 0.2083333
Moved 909.8541 438.0789 467.9211 0.1807382 0.2055584
Moved 909.8848 440.9829 468 0.1874605 0.2057612
Moved 909.9155 443.8548 467 0.1941083 0.2031892
Moved 909.9462 444.7274 467 0.1961283 0.2031892
Moved 909.9769 445 467 0.1967593 0.2031892
Moved 910.0077 446 465.5 0.199074 0.1993312
Moved 910.0384 447.2714 466 0.2020172 0.2006171
Stationary 910.0691 447.2714 466 0.2020172 0.2006171
Moved 910.0999 448.1403 466 0.2040285 0.2006171
Moved 910.1306 449.1871 466 0.2064516 0.2006171
Moved 910.1613 453.2884 474.0094 0.2159453 0.2212175
Moved 910.192 457.3265 482.3163 0.2252928 0.2425829
Moved 910.2227 466.1346 496.2018 0.2456818 0.2782969
Moved 910.2535 475.221 508.6281 0.2667154 0.3102572
Moved 910.2842 483.5536 518.8304 0.2860037 0.336498
Moved 910.3149 488.6932 524.6932 0.2979009 0.351577
Moved 910.3456 493.7192 529.7192 0.3095353 0.3645041
Moved 910.3763 496.5892 532.5892 0.3161786 0.3718857
Ended 910.407 501.1733 535.0866 0.32679 0.378309
Candidates 910.4684 13 bank back ball nacl call basal mall cash mask shall nah cl nfl
Began 911.513 308 368 -0.1203704 -0.05144041
Moved 911.5437 339.3314 439.2921 -0.04784396 0.131924
Moved 911.5744 423.3521 569.6041 0.1466485 0.4670886
Ended 911.6051 471.5493 625.6932 0.2582159 0.6113507
Accept 911.6666 1 back
Began 912.1888 329 367 -0.07175927 -0.05401234
Moved 912.2195 329 373.8058 -0.07175927 -0.0365079
Moved 912.2503 321.4442 401.6694 -0.08924951 0.03515793
Moved 912.281 320 439.0073 -0.09259259 0.1311914
Moved 912.3117 320 465.6851 -0.09259259 0.1998072
Moved 912.3424 320 491.7117 -0.09259259 0.266748
Moved 912.3732 330.4223 511.9781 -0.0684668 0.3188737
Moved 912.4039 335.3484 524.6967 -0.05706399 0.3515862
Moved 912.4346 340.2189 537.3283 -0.04578963 0.3840748
Moved 912.4653 341.9814 544.9628 -0.04170974 0.4037108
Moved 912.496 343 548.85 -0.03935183 0.4137088
Moved 912.5267 343 551.4259 -0.03935183 0.420334
Moved 912.5575 343 553.1464 -0.03935183 0.4247591
Moved 912.5881 327.8276 544.8303 -0.07447308 0.4033699
Moved 912.6189 266.2703 494.6115 -0.2169668 0.2742065
Moved 912.6497 207.6317 437.0528 -0.3527043 0.1261646
Moved 912.6804 177.1048 405.1047 -0.4233686 0.04399366
Moved 912.7111 154.6266 381.2875 -0.4754015 -0.01726464
Moved 912.7418 141.8407 368.8408 -0.5049983 -0.04927796
Moved 912.7725 131.5966 361.2983 -0.5287117 -0.06867727
Moved 912.8033 127.4249 358 -0.5383682 -0.07716057
Moved 912.834 124.5573 357 -0.5450065 -0.07973259
Stationary 912.8646 125 357 -0.5439815 -0.07973259
Moved 912.8954 133.4666 379.3133 -0.5243829 -0.02234243
Moved 912.9261 165.9085 423.7843 -0.4492859 0.09203773
Moved 912.9568 196.4688 460.8215 -0.3785444 0.1872979
Moved 912.9876 228.0041 495.0041 -0.3055461 0.2752162
Moved 913.0182 243.8879 511.8879 -0.268778 0.3186417
Moved 913.049 259.2676 523.4141 -0.2331769 0.3482871
Moved 913.0798 268.2795 528.853 -0.2123159 0.3622763
Moved 913.1104 274.5909 531.2955 -0.1977062 0.3685582
Moved 913.1412 277.1773 531 -0.1917191 0.3677982
Moved 913.1719 279.786 512.1401 -0.1856806 0.3192903
Moved 913.2025 280 474.257 -0.1851852 0.2218544
Moved 913.2333 280 439.4613 -0.1851852 0.1323592
Moved 913.264 271.6636 406.636 -0.2044824 0.04793198
Moved 913.2948 270.1619 386.4567 -0.2079587 -0.003969483
