this is a very good idea
this is a very good idea
Basic
Radial

0.6 0.6
432 388.8
Began 848.3472 309 596 -0.1180555 0.5349793
Stationary 848.3779 309 596 -0.1180555 0.5349793
Moved 848.4086 309 586.7607 -0.1180555 0.5112156
Moved 848.4393 309 568.6346 -0.1180555 0.464595
Moved 848.4702 309 547.1217 -0.1180555 0.4092635
Moved 848.5009 316.1769 522.8231 -0.1014423 0.3467671
Moved 848.5316 319.7913 509.0437 -0.09307577 0.3113263
Moved 848.5623 322.1645 499.3421 -0.08758228 0.2863737
Moved 848.593 327.9319 484.2042 -0.07423167 0.2474388
Moved 848.6237 336.901 469.3737 -0.05346983 0.2092944
Moved 848.6544 348.4589 454.0494 -0.0267156 0.16988
Moved 848.6852 359.3816 441.6184 -0.001431505 0.1379074
Moved 848.7159 376.2969 427.3625 0.03772428 0.1012409
Moved 848.7466 391.0749 415.3401 0.07193258 0.07031907
Moved 848.7773 401.7712 408.4216 0.09669254 0.05252473
Moved 848.808 408.9326 403.7116 0.1132699 0.04041051
Moved 848.8388 416.7993 398.2007 0.13148 0.02623628
Moved 848.8695 423.4701 393.6866 0.1469216 0.01462599
Moved 848.9003 430.045 389.6367 0.1621412 0.004209432
Moved 848.931 437.98 385.3466 0.1805094 -0.006824619
Moved 848.9617 446.2493 382.9169 0.1996511 -0.01307374
Moved 848.9924 456.0514 389.7352 0.2223412 0.004462842
Moved 849.0231 472.6408 418.2817 0.2607427 0.07788489
Moved 849.0538 488.2911 459.7568 0.2969701 0.1845595
Moved 849.0846 493.8224 481.7565 0.309774 0.2411432
Moved 849.1153 495 496.7664 0.3125 0.2797488
Moved 849.1461 495 505.0563 0.3125 0.3010706
Moved 849.1768 478.3926 513.3037 0.2740569 0.3222831
Moved 849.2075 455.2197 515 0.220416 0.326646
Moved 849.2382 402.551 500.8503 0.09849776 0.2902528
Moved 849.2689 376.0891 491.5903 0.03724336 0.266436
Moved 849.2996 342.4589 477.4426 -0.04060447 0.2300476
Moved 849.3304 315.4736 461.9824 -0.1030704 0.1902837
