this is too much to handle
this is too much to handle
FixStart
Radial

0.6 0.6
432 388.8
Began 4092.13 304 458 -0.1296296 0.180041
Moved 4092.161 315.0355 445.585 -0.1040845 0.1481096
Moved 4092.192 346.6051 416.3949 -0.03100663 0.07303202
Moved 4092.222 368.9118 395.2022 0.02062907 0.01852412
Moved 4092.253 387.7138 376.2861 0.06415237 -0.03012834
Moved 4092.284 405 358 0.1041667 -0.07716057
Ended 4092.315 420.429 343.9758 0.1398821 -0.113231
Accept 4092.376 3 too
Began 4093.421 335 487 -0.05787035 0.2546296
Moved 4093.451 354.51 467.49 -0.01270831 0.2044495
Moved 4093.482 383.6643 440.8685 0.05477845 0.1359787
Moved 4093.513 410.7559 415.4219 0.1174904 0.07052939
Moved 4093.544 440.0425 382.6968 0.1852836 -0.0136399
Moved 4093.574 459.9442 356.0698 0.2313523 -0.08212516
Moved 4093.605 474.7877 333.1397 0.2657123 -0.1411016
Moved 4093.636 480.8917 321.3248 0.2798419 -0.1714896
Moved 4093.667 483.77 315.23 0.2865046 -0.1871657
Moved 4093.697 484 313.3616 0.287037 -0.1919713
Moved 4093.728 484 312.5 0.287037 -0.1941873
Moved 4093.759 466.4033 345.9959 0.2463039 -0.1080353
Moved 4093.79 446.9669 404.0992 0.2013123 0.0414074
Moved 4093.82 430.2103 451.5665 0.1625238 0.1634941
Moved 4093.851 426.0267 465.1633 0.1528395 0.1984653
Moved 4093.882 417.6025 501.9874 0.1333392 0.2931773
Moved 4093.912 410.8759 536.7446 0.1177684 0.3825734
Moved 4093.943 404.2161 567.1357 0.102352 0.46074
Moved 4093.974 394.7086 595.5827 0.08034408 0.533906
Moved 4094.005 385.0237 617.278 0.05792528 0.5897065
Moved 4094.035 378.626 627.561 0.04311571 0.6161546
Moved 4094.066 374.2322 631 0.03294488 0.6249998
Moved 4094.097 369.8968 632 0.02290924 0.6275719
Moved 4094.128 363.772 632 0.008731484 0.6275719
Moved 4094.158 353.8834 632 -0.01415889 0.6275719
Moved 4094.189 341.8368 632 -0.04204437 0.6275719
Moved 4094.22 323.0667 617.7714 -0.08549377 0.5909758
Moved 4094.25 290.1879 581.1194 -0.1616022 0.4967061
Moved 4094.281 257.7351 517.5928 -0.2367242 0.3333148
Moved 4094.312 241.1434 458.6813 -0.2751309 0.1817935
Moved 4094.343 232.3387 414.0321 -0.2955123 0.06695492
Moved 4094.374 231 378.022 -0.2986111 -0.02566373
Moved 4094.404 231 355.7846 -0.2986111 -0.08285859
Moved 4094.435 238.8366 336.283 -0.2804709 -0.1330172
Moved 4094.466 243.9867 321.0332 -0.2685493 -0.1722397
Moved 4094.496 246.8551 313.4346 -0.2619094 -0.1917834
Moved 4094.527 248.3823 308.6177 -0.2583744 -0.2041726
Moved 4094.558 250.2497 305.7503 -0.2540517 -0.2115476
Moved 4094.589 251.3729 304.6271 -0.2514516 -0.2144364
Moved 4094.619 252.2718 305 -0.2493707 -0.2134774
Moved 4094.65 254.4758 305 -0.244269 -0.2134774
Moved 4094.681 264.731 335.1543 -0.2205302 -0.1359201
Moved 4094.711 284.4841 399.4522 -0.1748054 0.02945523
Moved 4094.742 311.4143 464.0603 -0.1124668 0.1956282
Moved 4094.773 336.2554 512.295 -0.05496428 0.3196887
Moved 4094.804 352.3539 536.8247 -0.0176992 0.3827795
Moved 4094.834 361.9838 551.3118 0.004592141 0.4200405
Moved 4094.865 367.7147 557.7147 0.01785805 0.4365089
Moved 4094.896 369.7241 561.7241 0.02250949 0.4468212
Ended 4094.927 370 563 0.02314816 0.4501028
Candidates 4095.019 13 much mutant next must bitch church busy many important miami black bush correct
Began 4095.541 309 469 -0.1180555 0.2083333
Stationary 4095.572 309 469 -0.1180555 0.2083333
Moved 4095.603 352.5604 469 -0.01722132 0.2083333
Moved 4095.633 420.1326 481.5166 0.1391959 0.2405262
Moved 4095.664 465.1015 489.144 0.2432906 0.2601441
Moved 4095.695 486.1908 490 0.2921084 0.2623456
Moved 4095.726 495.3029 490 0.3132012 0.2623456
Moved 4095.756 500 490 0.324074 0.2623456
Ended 4095.787 500 490 0.324074 0.2623456
Accept 4095.91 0 much
Began 4096.985 299 403 -0.1412037 0.03858017
Stationary 4097.016 299 403 -0.1412037 0.03858017
Moved 4097.047 283.4204 442.191 -0.1772676 0.1393802
Moved 4097.078 263.6694 511.4879 -0.2229876 0.3176127
Moved 4097.108 264 534.4744 -0.2222222 0.3767344
Moved 4097.139 264 545.2883 -0.2222222 0.404548
Moved 4097.17 264 551.9382 -0.2222222 0.4216516
Moved 4097.201 264 559.5 -0.2222222 0.4411007
Moved 4097.231 261.9666 567.1001 -0.2269291 0.4606483
Moved 4097.262 262 573.8076 -0.2268519 0.4779001
Moved 4097.293 292.7062 579.7804 -0.1557726 0.4932622
Moved 4097.324 337.6699 580 -0.05169014 0.4938271
Moved 4097.354 392.4615 563.5898 0.07514228 0.4516197
Moved 4097.385 420.7171 555.761 0.1405488 0.4314839
Moved 4097.416 435.7892 552.0527 0.1754378 0.4219462
Moved 4097.446 443.2008 550.5997 0.1925945 0.4182091
Moved 4097.477 446.3544 550 0.1998944 0.4166666
Ended 4097.508 447 549 0.2013889 0.4140946
Candidates 4097.6 13 to too top trip rio tip group trio ri grip rip you rp
Began 4098.092 283 477 -0.1782407 0.2289094
Moved 4098.123 305.1017 477 -0.1270793 0.2289094
Moved 4098.153 378.655 486.0468 0.04318287 0.252178
Moved 4098.184 433.8476 488 0.1709434 0.2572016
Moved 4098.215 481.5853 490.3992 0.2814474 0.2633725
Moved 4098.246 499.595 490 0.3231367 0.2623456
Moved 4098.276 506.2628 490 0.3385714 0.2623456
Ended 4098.307 506.2628 490 0.3385714 0.2623456
Accept 4098.368 0 to
Began 4099.29 317 461 -0.09953702 0.1877571
Stationary 4099.321 317 461 -0.09953702 0.1877571
Moved 4099.352 327.2728 461 -0.07575735 0.1877571
Moved 4099.382 340.4732 461 -0.04520093 0.1877571
Moved 4099.413 351.3157 461 -0.02010261 0.1877571
Moved 4099.444 364.2161 461 0.009759566 0.1877571
Moved 4099.475 373.5148 461 0.03128429 0.1877571
Moved 4099.505 383.1288 461 0.05353898 0.1877571
Moved 4099.536 391.6676 461 0.07330457 0.1877571
Moved 4099.567 398.857 461 0.08994668 0.1877571
Moved 4099.598 405.5904 461 0.1055332 0.1877571
Moved 4099.628 408.8922 461 0.1131763 0.1877571
Moved 4099.659 410.7271 461 0.1174238 0.1877571
Moved 4099.69 412.1615 461 0.1207443 0.1877571
Moved 4099.721 414.0257 461 0.1250595 0.1877571
Moved 4099.751 415.2239 461 0.1278331 0.1877571
Stationary 4099.782 415 461 0.1273148 0.1877571
Moved 4099.813 401.8645 461 0.09690861 0.1877571
Moved 4099.843 357.5 461 -0.005787015 0.1877571
Moved 4099.874 266.0762 439.4395 -0.2174162 0.1323031
Moved 4099.905 220.4086 432.0341 -0.3231282 0.1132563
Moved 4099.936 194.5128 428.1681 -0.3830721 0.1033129
Moved 4099.966 177.0142 426.7163 -0.4235783 0.09957889
Moved 4099.997 156.2829 426 -0.4715675 0.09773654
Moved 4100.028 144.6546 425 -0.4984847 0.09516452
Moved 4100.059 137.0355 425 -0.5161214 0.09516452
Moved 4100.089 133.5006 425 -0.5243041 0.09516452
Moved 4100.12 132 425 -0.5277778 0.09516452
Moved 4100.151 131 425 -0.5300926 0.09516452
Moved 4100.182 131 430.9358 -0.5300926 0.1104315
Moved 4100.212 131 436.332 -0.5300926 0.1243107
Moved 4100.243 135.7543 441.5283 -0.5190872 0.1376754
Moved 4100.273 153.788 446.7966 -0.4773425 0.1512257
Moved 4100.304 194.2388 448 -0.3837065 0.1543209
Moved 4100.335 253.1642 436.0094 -0.2473052 0.1234809
Moved 4100.366 290.3358 426.3325 -0.1612598 0.09859167
Moved 4100.396 320.5 411 -0.09143516 0.05915629
Moved 4100.427 345.3321 395.7786 -0.03395344 0.0200066
Moved 4100.458 365.3503 382.4641 0.01238495 -0.01423855
Moved 4100.489 386.4317 365.5683 0.06118457 -0.05769478
Moved 4100.52 402.6761 351.5633 0.09878735 -0.09371588
Moved 4100.55 426.2047 325.6232 0.1532516 -0.1604341
Moved 4100.581 438.1781 313.8665 0.1809677 -0.1906728
Moved 4100.612 447.7428 305.1715 0.2031083 -0.2130363
Moved 4100.643 454.3318 299.6683 0.2183605 -0.2271907
Moved 4100.673 458.3163 295.6837 0.2275839 -0.2374391
Moved 4100.704 461.1776 291.8223 0.2342075 -0.2473706
Moved 4100.734 464.5901 286.4099 0.2421067 -0.2612914
Moved 4100.765 466 283.3839 0.2453704 -0.2690744
Moved 4100.796 467 281.5136 0.2476852 -0.2738848
Stationary 4100.827 467 281.5136 0.2476852 -0.2738848
Stationary 4100.857 467 281.5136 0.2476852 -0.2738848
Stationary 4100.888 467 282 0.2476852 -0.2726338
Stationary 4100.919 467 282 0.2476852 -0.2726338
Moved 4100.95 458.3287 282 0.2276127 -0.2726338
