traveling requires a lot of fuel
traveling requires a lot of fuel
Basic
Radial

0.6 0.6
432 388.8
Began 2077.8 374 526 0.03240744 0.3549381
Stationary 2077.831 374 526 0.03240744 0.3549381
Stationary 2077.862 374 526 0.03240744 0.3549381
Stationary 2077.892 374 526 0.03240744 0.3549381
Stationary 2077.923 374 526 0.03240744 0.3549381
Stationary 2077.954 374 526 0.03240744 0.3549381
Stationary 2077.985 374 526 0.03240744 0.3549381
Stationary 2078.015 374 526 0.03240744 0.3549381
Moved 2078.046 361.9101 526 0.004421572 0.3549381
Moved 2078.077 355.1705 526 -0.01117945 0.3549381
Moved 2078.107 350.4177 526 -0.02218127 0.3549381
Moved 2078.138 344.3274 526 -0.03627916 0.3549381
Moved 2078.169 339.5869 526 -0.04725252 0.3549381
Moved 2078.2 334.8389 526 -0.05824323 0.3549381
Moved 2078.23 331.9307 526 -0.06497517 0.3549381
Moved 2078.261 328.0307 526 -0.07400299 0.3549381
Moved 2078.292 322.3146 526 -0.08723462 0.3549381
Moved 2078.323 316.5704 526 -0.1005315 0.3549381
Moved 2078.353 309.1525 526 -0.1177026 0.3549381
Moved 2078.384 296.3913 526 -0.1472423 0.3549381
Moved 2078.415 282.8822 526 -0.1785133 0.3549381
Moved 2078.445 271.32 526 -0.2052777 0.3549381
Moved 2078.476 258.2813 513.711 -0.2354599 0.3233307
Moved 2078.507 245.8225 507.4113 -0.2642997 0.3071277
Moved 2078.538 235.4892 497.4892 -0.2882195 0.281608
Moved 2078.568 227.285 486.9276 -0.3072106 0.2544433
Moved 2078.599 218.3671 476.3671 -0.3278539 0.2272816
Moved 2078.63 210.7376 466.7376 -0.3455149 0.2025143
Moved 2078.66 206.4332 457.1498 -0.3554786 0.1778545
Moved 2078.691 202.3399 449.6797 -0.364954 0.1586412
Moved 2078.722 197.5901 441.4752 -0.3759489 0.1375391
Moved 2078.753 192.8482 434.2723 -0.3869254 0.1190132
Moved 2078.783 187.8651 425.7977 -0.3984603 0.09721629
Moved 2078.814 181.0982 414.1965 -0.4141244 0.06737768
Moved 2078.845 176.3604 406.5405 -0.4250917 0.04768646
Moved 2078.875 173.3037 400.6074 -0.4321674 0.03242642
Moved 2078.906 170.7337 396.7337 -0.4381164 0.02246315
Moved 2078.937 166.8628 392.7255 -0.447077 0.01215405
Moved 2078.968 162.9919 388.9919 -0.4560372 0.002551216
Moved 2078.999 158.6858 385.6858 -0.466005 -0.005952183
Moved 2079.029 153.1662 381.5831 -0.478782 -0.01650453
Moved 2079.06 147.7143 377.7143 -0.4914021 -0.02645508
Moved 2079.091 143.8425 376 -0.5003645 -0.03086435
Moved 2079.121 142 375 -0.5046296 -0.03343629
Stationary 2079.152 142 375 -0.5046296 -0.03343629
Stationary 2079.183 142 375 -0.5046296 -0.03343629
Moved 2079.214 156.1126 386.8345 -0.4719615 -0.002997795
Moved 2079.244 167.2935 394.6467 -0.4460798 0.01709546
Moved 2079.275 178.4755 401.3902 -0.4201955 0.03443973
Moved 2079.306 192.8338 408.1335 -0.3869589 0.05178353
Moved 2079.336 204.2627 411.0657 -0.3605029 0.05932525
Moved 2079.367 215.8343 412 -0.3337169 0.06172835
Moved 2079.398 222.654 412 -0.3179306 0.06172835
Moved 2079.429 227.4022 412 -0.3069393 0.06172835
Moved 2079.459 230.2703 412 -0.3003001 0.06172835
Moved 2079.49 236.2803 412 -0.2863881 0.06172835
Moved 2079.521 240.0117 403.9883 -0.2777508 0.04112224
