I listen to the tape everyday
I listen to the tape everyday
FixStart
List

0.6 0.6
432 388.8
Began 2768.725 412 355 0.1203704 -0.08487654
Stationary 2768.756 412 355 0.1203704 -0.08487654
Moved 2768.786 438.9962 389.9962 0.1828616 0.0051343
Moved 2768.817 467.2532 416.7756 0.2482712 0.07401133
Moved 2768.848 495.4844 441.436 0.3136213 0.1374381
Moved 2768.879 518.4822 456.7041 0.3668571 0.176708
Moved 2768.91 532.976 465.3856 0.4004073 0.1990369
Moved 2768.94 542.5 471 0.4224537 0.2134772
Moved 2768.971 551.6 474.4 0.4435185 0.2222222
Moved 2769.002 558.2157 477.0719 0.4588327 0.2290944
Moved 2769.032 561.9377 479.9377 0.4674484 0.2364651
Moved 2769.063 564 481 0.4722223 0.2391974
Moved 2769.094 566 482 0.4768519 0.2417695
Ended 2769.125 567 483 0.4791667 0.2443414
Candidates 2769.217 13 I go o ii ip p iii up hi gi hip you pp
Began 2769.709 365 333 0.01157403 -0.141461
Moved 2769.74 386.9303 338.3902 0.06233861 -0.1275973
Moved 2769.77 438.4155 351.833 0.1815174 -0.09302218
Moved 2769.801 488.6725 361.422 0.2978532 -0.06835914
Moved 2769.832 529.634 365.0529 0.3926713 -0.05902043
Moved 2769.862 549.4518 367.9217 0.4385459 -0.05164181
Moved 2769.893 563.181 369 0.4703264 -0.04886839
Moved 2769.924 568.6276 370 0.4829344 -0.04629637
Moved 2769.955 571.1884 371 0.4888619 -0.04372435
Moved 2769.985 571 373.0542 0.4884259 -0.03844085
Moved 2770.016 562.4909 393.3818 0.4687289 0.01384209
Moved 2770.047 541.0842 427.3456 0.4191763 0.1011976
Moved 2770.077 523.8602 458.9229 0.3793061 0.1824148
Moved 2770.108 511.1257 488.7485 0.3498281 0.2591268
Moved 2770.139 502.9664 506.3088 0.3309407 0.3042921
Moved 2770.17 495.1387 519.4818 0.3128211 0.3381732
Moved 2770.2 490.0188 525.4906 0.3009694 0.353628
Moved 2770.231 484.2685 527 0.2876585 0.3575102
Moved 2770.262 472.109 518.3862 0.2595116 0.3353554
Moved 2770.292 440.4669 486.0002 0.1862659 0.2520581
Moved 2770.323 398.5658 443.5657 0.08927255 0.1429159
Moved 2770.354 360.1301 407.3379 0.0003012021 0.04973729
Moved 2770.385 305.7776 362.8253 -0.1255148 -0.06474993
Moved 2770.416 268.2039 330.9631 -0.212491 -0.1466998
Moved 2770.446 243.9795 313.4846 -0.268566 -0.1916549
Moved 2770.477 227.3683 298.3683 -0.3070179 -0.2305342
Moved 2770.508 216.5927 290.7285 -0.3319613 -0.250184
Moved 2770.538 214 287.9995 -0.3379629 -0.257203
Moved 2770.569 212.5608 288 -0.3412944 -0.2572017
Stationary 2770.6 213 288 -0.3402778 -0.2572017
Moved 2770.631 259.9456 320.091 -0.2316075 -0.1746631
Moved 2770.661 298.3034 350.5947 -0.1428162 -0.09620721
Moved 2770.692 325.0997 373.8096 -0.08078779 -0.03649794
Moved 2770.723 348.0663 401.8089 -0.02762442 0.0355166
Moved 2770.753 369.1236 430.4623 0.02111932 0.1092136
Moved 2770.784 383.5841 452.5345 0.05459289 0.1659839
Moved 2770.815 391.4154 465.0257 0.07272094 0.1981113
Moved 2770.846 399.0246 480.3743 0.09033471 0.2375882
Moved 2770.876 403.5434 492.1737 0.1007949 0.2679363
Moved 2770.907 405 501.2691 0.1041667 0.29133
Moved 2770.938 407 508.9214 0.1087963 0.3110117
Moved 2770.969 407 513.6707 0.1087963 0.3232269
Moved 2770.999 396.5457 517.6909 0.08459647 0.3335669
