traveling requires a lot of fuel
traveling requires a lot of fuel
FixStart
Radial

0.6 0.6
432 388.8
Began 233.6675 448 291 0.2037037 -0.2494857
Stationary 233.6982 448 291 0.2037037 -0.2494857
Stationary 233.7289 448 291 0.2037037 -0.2494857
Moved 233.7595 435.6125 319.7639 0.1750289 -0.1755044
Moved 233.7903 429.2682 347.1953 0.1603432 -0.1049506
Moved 233.821 423.4367 373.035 0.1468442 -0.03849037
Moved 233.8518 420.3358 392.649 0.1396663 0.01195731
Moved 233.8825 419.4719 407.6406 0.1376664 0.05051589
Moved 233.9132 419 417.0818 0.1365741 0.07479887
Moved 233.9439 418 423.7897 0.1342593 0.09205178
Moved 233.9746 418 428.7747 0.1342593 0.1048732
Moved 234.0054 418 431.5 0.1342593 0.1118827
Moved 234.036 418 433.1846 0.1342593 0.1162155
Moved 234.0668 418 435.0276 0.1342593 0.1209556
Moved 234.0975 417 435.9255 0.1319444 0.1232651
Moved 234.1282 417 436.5 0.1319444 0.1247428
Moved 234.159 417 437.2229 0.1319444 0.126602
Moved 234.1896 415.813 437 0.1291969 0.1260288
Moved 234.2204 414.9451 437 0.1271878 0.1260288
Moved 234.2511 414.3728 437 0.125863 0.1260288
Moved 234.2818 412.4986 437 0.1215245 0.1260288
Moved 234.3125 408.2973 437 0.1117992 0.1260288
Moved 234.3433 403.2326 437 0.1000755 0.1260288
Moved 234.374 395.6906 428.2302 0.08261721 0.1034727
Moved 234.4047 385.4423 424.3606 0.05889416 0.09351993
Moved 234.4354 374.9846 421.4962 0.03468673 0.08615261
Moved 234.4661 365.9926 419.9975 0.01387169 0.08229797
Moved 234.4968 353.4965 420 -0.01505435 0.08230445
Moved 234.5276 341.9914 420 -0.04168664 0.08230445
Moved 234.5583 334.5 420 -0.05902777 0.08230445
Moved 234.589 331.8487 419 -0.06516507 0.07973251
Moved 234.6197 329.5 419 -0.07060184 0.07973251
Moved 234.6504 327.5 419 -0.07523149 0.07973251
Stationary 234.6812 327.5 419 -0.07523149 0.07973251
Moved 234.7119 326.8284 419 -0.07678603 0.07973251
Moved 234.7426 325.813 419 -0.07913654 0.07973251
Stationary 234.7733 325.813 419 -0.07913654 0.07973251
Stationary 234.8038 325.813 419 -0.07913654 0.07973251
Stationary 234.8347 325.813 419 -0.07913654 0.07973251
Stationary 234.8654 325.813 419 -0.07913654 0.07973251
Stationary 234.8962 325.813 419 -0.07913654 0.07973251
Moved 234.9269 324.9597 419 -0.08111179 0.07973251
Stationary 234.9576 324.9597 419 -0.08111179 0.07973251
Moved 234.9883 323.7661 417.7661 -0.08387487 0.07655866
Moved 235.019 322.0257 411.077 -0.08790354 0.05935449
Moved 235.0497 318.2933 399.5867 -0.09654319 0.02980107
Moved 235.0805 314.2872 388.8617 -0.1058166 0.002216213
Moved 235.1112 310.5 378 -0.1145833 -0.02572024
Moved 235.142 305.7419 369.6129 -0.1255974 -0.04729196
Moved 235.1727 301.9951 358.9903 -0.1342705 -0.07461351
