I just cannot figure this out
I just cannot figure this out
FixStart
List

0.6 0.6
432 388.8
Began 2628.097 469 404 0.2523148 0.04115226
Stationary 2628.128 469 404 0.2523148 0.04115226
Stationary 2628.159 469 404 0.2523148 0.04115226
Stationary 2628.189 469 404 0.2523148 0.04115226
Stationary 2628.22 469 404 0.2523148 0.04115226
Moved 2628.251 477.2712 424.8136 0.2714611 0.09468517
Moved 2628.282 484.1917 442.3833 0.2874807 0.1398747
Moved 2628.312 491.3081 457.7703 0.303954 0.1794503
Moved 2628.343 498.7898 471.5797 0.3212727 0.2149682
Moved 2628.374 507.0866 485.811 0.3404784 0.2515715
Moved 2628.405 512.2524 496.5049 0.3524362 0.2790763
Moved 2628.435 517.3257 505.9885 0.3641798 0.3034684
Moved 2628.466 521.6059 513.9089 0.3740877 0.3238397
Moved 2628.497 525.0454 520.0908 0.3820496 0.3397397
Moved 2628.527 528.8145 525.4436 0.3907743 0.3535072
Moved 2628.558 531.2254 529.4507 0.3963551 0.3638136
Moved 2628.589 533.0546 532.0546 0.4005894 0.3705108
Moved 2628.619 534.8148 534.8148 0.404664 0.3776101
Moved 2628.65 536 537.5741 0.4074074 0.3847069
Moved 2628.681 537 539.0078 0.4097222 0.3883944
Moved 2628.712 538.7758 541 0.4138328 0.3935184
Moved 2628.742 540 542.5372 0.4166667 0.3974722
Moved 2628.773 541.5 544.5 0.4201389 0.4025204
Moved 2628.804 543.7034 545 0.4252394 0.4038065
Moved 2628.834 545 547.4685 0.4282407 0.4101555
Moved 2628.865 548.2318 548 0.4357218 0.4115225
Moved 2628.896 549.7636 549 0.4392676 0.4140946
Moved 2628.927 551 549 0.4421297 0.4140946
Moved 2628.957 553.1078 549 0.4470089 0.4140946
Moved 2628.988 554.5 549 0.4502314 0.4140946
Moved 2629.019 555.1843 549 0.4518155 0.4140946
Moved 2629.049 557.0733 549 0.4561882 0.4140946
Moved 2629.08 558.9041 539.1919 0.460426 0.3888679
Moved 2629.111 561.6673 530.998 0.4668225 0.3677932
Moved 2629.142 563 522.5944 0.4699074 0.3461789
Moved 2629.172 564.9073 513.2781 0.4743224 0.3222172
Moved 2629.203 565.6568 504.0296 0.4760574 0.29843
Moved 2629.234 566 495.7752 0.4768519 0.2771996
Moved 2629.264 566 487.6081 0.4768519 0.2561937
Moved 2629.295 566 476.1706 0.4768519 0.2267761
Moved 2629.326 566 465.5089 0.4768519 0.1993542
Moved 2629.356 566 457.4673 0.4768519 0.1786709
Moved 2629.387 566 449.3661 0.4768519 0.1578345
Moved 2629.418 566 442.1428 0.4768519 0.139256
Moved 2629.449 558.673 435.9066 0.4598913 0.1232164
Moved 2629.479 557.6273 431.2545 0.4574705 0.1112512
Moved 2629.51 555.7346 425.7346 0.4530893 0.09705382
Moved 2629.541 555 419.9749 0.4513889 0.08223989
Moved 2629.571 554 416.2077 0.4490741 0.07255056
Moved 2629.602 553 413.7792 0.4467593 0.06630442
Moved 2629.633 552 411.012 0.4444444 0.05918711
Moved 2629.664 552 409.628 0.4444444 0.05562751
Ended 2629.694 552 409.628 0.4444444 0.05562751
Candidates 2629.756 13 uk you oh I ul uh full if il ok fig ill high
Began 2630.523 539 393 0.4143518 0.01285996
Moved 2630.554 501.2279 409.386 0.3269164 0.05500526
Moved 2630.585 454.8096 436.4285 0.2194668 0.1245587
Moved 2630.615 426.8859 455.6448 0.1548284 0.1739835
Moved 2630.646 400.726 471.8494 0.09427309 0.2156619
Moved 2630.677 378.09 488.2733 0.04187504 0.2579045
Moved 2630.708 357.1898 505.8102 -0.006504953 0.3030096
Moved 2630.739 344.8228 517.1772 -0.03513252 0.3322459
Moved 2630.769 332.8558 530.9303 -0.06283387 0.367619
Moved 2630.8 323.3957 544.6738 -0.08473217 0.4029676
Moved 2630.831 316.3949 558.5126 -0.1009377 0.4385612
Moved 2630.861 310.5226 568.2161 -0.1145311 0.4635188
Moved 2630.892 306.0234 578.9532 -0.1249458 0.4911346
Moved 2630.923 301.5271 589.9458 -0.135354 0.5194078
Moved 2630.953 300 598.9525 -0.1388889 0.5425731
Moved 2630.984 297.6036 608.5854 -0.144436 0.5673491
Moved 2631.015 295.8451 618.4648 -0.1485068 0.5927593
Moved 2631.046 296 632.5226 -0.1481481 0.6289162
Moved 2631.076 296 644.4079 -0.1481481 0.6594851
Moved 2631.107 296 655.3344 -0.1481481 0.6875882
Moved 2631.138 296 661.7139 -0.1481481 0.7039967
Moved 2631.168 296 663.6132 -0.1481481 0.7088814
Ended 2631.199 296 664.5 -0.1481481 0.7111624
Accept 2631.26 3 I
Began 2631.568 491 387 0.3032407 -0.002572055
Stationary 2631.598 491 387 0.3032407 -0.002572055
Stationary 2631.629 491 387 0.3032407 -0.002572055
Stationary 2631.66 491 387 0.3032407 -0.002572055
Stationary 2631.69 491 387 0.3032407 -0.002572055
Stationary 2631.721 491 387 0.3032407 -0.002572055
Stationary 2631.752 491 387 0.3032407 -0.002572055
Stationary 2631.783 491 387 0.3032407 -0.002572055
Stationary 2631.813 491 387 0.3032407 -0.002572055
Stationary 2631.844 491 387 0.3032407 -0.002572055
Stationary 2631.875 491 387 0.3032407 -0.002572055
Stationary 2631.906 491 387 0.3032407 -0.002572055
Stationary 2631.936 491 387 0.3032407 -0.002572055
Stationary 2631.967 491 387 0.3032407 -0.002572055
Stationary 2631.998 491 387 0.3032407 -0.002572055
Moved 2632.028 509.2424 387 0.3454684 -0.002572055
Moved 2632.059 519.5997 387 0.3694437 -0.002572055
Moved 2632.09 531.4542 387 0.3968846 -0.002572055
Moved 2632.121 542.4816 387 0.4224112 -0.002572055
Moved 2632.151 552.2472 387 0.4450167 -0.002572055
Moved 2632.182 562.251 387 0.4681737 -0.002572055
Moved 2632.213 569.6349 387 0.4852659 -0.002572055
Moved 2632.243 577.2383 387 0.5028664 -0.002572055
Moved 2632.274 580.9328 387 0.5114185 -0.002572055
Moved 2632.305 585.4612 387 0.5219011 -0.002572055
Moved 2632.335 587.9769 387 0.5277242 -0.002572055
Moved 2632.366 590.5 387 0.5335647 -0.002572055
Moved 2632.397 593.1725 387 0.5397512 -0.002572055
Moved 2632.427 595.1043 387 0.5442229 -0.002572055
Stationary 2632.458 595.1043 387 0.5442229 -0.002572055
Moved 2632.489 596 397.2751 0.5462963 0.02385583
Moved 2632.52 596 419.4193 0.5462963 0.08081079
Moved 2632.551 583.1041 443.0559 0.5164446 0.1416046
Moved 2632.581 574.8938 463.9498 0.4974393 0.195344
Moved 2632.612 566.619 481.6072 0.4782847 0.2407593
Moved 2632.643 557.1668 499.6663 0.4564047 0.2872076
Moved 2632.673 548.8957 511.4724 0.4372586 0.317573
Moved 2632.704 543.7714 519.2286 0.4253967 0.3375221
Moved 2632.735 537.8962 526.6556 0.4117969 0.3566245
Moved 2632.765 532.3801 532.6199 0.3990279 0.3719648
Moved 2632.796 527.8489 539.2266 0.3885392 0.3889571
Moved 2632.827 525.3828 542.6172 0.3828304 0.397678
Moved 2632.858 522.7524 545.2476 0.3767416 0.4044434
Moved 2632.888 522 547.0082 0.375 0.4089717
Moved 2632.919 518.8448 549.1552 0.3676963 0.4144937
Moved 2632.95 517.8278 549 0.3653422 0.4140946
Moved 2632.98 514.0149 549 0.356516 0.4140946
Moved 2633.011 506.0088 549 0.3379834 0.4140946
Moved 2633.042 486.5071 526.0066 0.2928405 0.3549551
Moved 2633.073 454.2195 496.067 0.2181005 0.27795
Moved 2633.103 427.6419 470.6419 0.1565785 0.2125562
Moved 2633.134 408.5414 452.5414 0.1123645 0.1660015
Moved 2633.165 391.8256 439.1611 0.07367045 0.1315872
Moved 2633.195 377.8748 426.8748 0.04137685 0.09998646
Moved 2633.226 361.8111 413.1759 0.004192392 0.06475272
Moved 2633.257 347.3943 400.5154 -0.0291799 0.03218988
Moved 2633.288 337.9756 391.9756 -0.05098253 0.01022523
Moved 2633.318 327.7292 384.0469 -0.07470096 -0.01016758
Moved 2633.349 319.8364 374.8364 -0.09297122 -0.03385693
Moved 2633.38 313.3829 368.1915 -0.1079099 -0.05094795
Moved 2633.41 309.8533 363.7066 -0.1160804 -0.06248309
Moved 2633.441 306.0533 359.0533 -0.1248768 -0.07445151
Moved 2633.472 303.3119 355.312 -0.1312224 -0.08407419
Moved 2633.502 301.7848 353.7848 -0.1347574 -0.08800215
Stationary 2633.533 302 354 -0.1342593 -0.08744855
Stationary 2633.564 302 354 -0.1342593 -0.08744855
Stationary 2633.594 302 354 -0.1342593 -0.08744855
Moved 2633.625 309.2783 354 -0.1174114 -0.08744855
Moved 2633.656 319.1638 368.6365 -0.09452835 -0.04980338
Moved 2633.687 334.7227 383.7227 -0.05851214 -0.01100132
Moved 2633.718 349.1559 400.1819 -0.0251021 0.03133197
