a picture is worth many words
a picture is worth many words
FixStart
List

0.6 0.6
432 388.8
Stationary 1019.678 466 403 0.2453704 0.03858017
Stationary 1019.708 466 403 0.2453704 0.03858017
Stationary 1019.739 466 403 0.2453704 0.03858017
Moved 1019.77 466 431.5 0.2453704 0.1118827
Moved 1019.8 489.4523 462.1784 0.2996581 0.190788
Moved 1019.831 509.1278 492.5179 0.3452033 0.2688217
Moved 1019.862 522.4539 508.1962 0.3760507 0.3091466
Moved 1019.893 536.7494 522.7494 0.409142 0.3465776
Moved 1019.923 543.8814 530.8814 0.4256513 0.3674933
Moved 1019.954 547.6987 535.6987 0.4344878 0.3798835
Moved 1019.985 549.1064 538.1064 0.4377463 0.386076
Stationary 1020.016 549.1064 538.1064 0.4377463 0.386076
Moved 1020.046 521.9987 529.0901 0.3749969 0.3628859
Moved 1020.077 461.9564 496.4555 0.23601 0.2789493
Moved 1020.108 419.0288 474.0144 0.1366409 0.2212304
Moved 1020.138 384.9935 450.2816 0.05785535 0.1601891
Moved 1020.169 371.3633 442.6527 0.02630393 0.1405675
Moved 1020.2 334.8086 418.8724 -0.05831336 0.07940437
Moved 1020.231 319.4438 407.2032 -0.09388 0.04939087
Moved 1020.261 310.5085 400.5085 -0.1145637 0.03217203
Moved 1020.292 303.5 396 -0.130787 0.02057605
Moved 1020.323 303 396 -0.1319445 0.02057605
Ended 1020.353 303 396 -0.1319445 0.02057605
Accept 1020.476 0 picture
Candidates 1020.476 13 us is usa its guys his ya hits gus id fits guess irs
Began 1021.306 434 385 0.1712963 -0.007716127
Stationary 1021.336 434 385 0.1712963 -0.007716127
Stationary 1021.367 434 385 0.1712963 -0.007716127
Stationary 1021.398 434 385 0.1712963 -0.007716127
Moved 1021.429 434 404.7606 0.1712963 0.04310859
Moved 1021.459 434 431.8668 0.1712963 0.1128261
Moved 1021.49 434 466.5563 0.1712963 0.202048
Moved 1021.521 424.365 496.5399 0.1489931 0.2791664
Moved 1021.551 417.1562 519.0941 0.1323059 0.3371761
Moved 1021.582 412.3123 539.4385 0.1210933 0.3895021
Moved 1021.613 408.1559 560.9086 0.111472 0.4447237
Moved 1021.643 407 573.1951 0.1087963 0.4763248
Moved 1021.674 405.3465 580.3071 0.1049687 0.4946169
Moved 1021.705 404.1716 585.4853 0.102249 0.5079353
Moved 1021.736 404 588.1876 0.1018518 0.5148858
Moved 1021.766 404 591.5938 0.1018518 0.5236465
Moved 1021.797 402.5 593.5 0.09837966 0.5285493
Moved 1021.828 403 594.1013 0.09953707 0.5300958
Moved 1021.859 403 595 0.09953707 0.5324073
Moved 1021.889 401.5 596.5 0.0960648 0.5362654
Moved 1021.92 401 597 0.09490739 0.5375513
Stationary 1021.951 401 597 0.09490739 0.5375513
Moved 1021.981 399.6864 598.3135 0.09186676 0.5409297
Stationary 1022.012 400 598 0.09259263 0.5401233
Moved 1022.043 400 599 0.09259263 0.5426954
Ended 1022.074 400 599 0.09259263 0.5426954
Expand 1022.104
Accept 1022.196 1 is
Began 1022.719 451 412 0.2106482 0.06172835
Stationary 1022.749 451 412 0.2106482 0.06172835
Stationary 1022.78 451 412 0.2106482 0.06172835
Stationary 1022.811 451 412 0.2106482 0.06172835
Moved 1022.841 422.8087 438.1913 0.1453904 0.1290929
Moved 1022.872 405.8924 453.1076 0.1062324 0.1674578
Moved 1022.903 390.4949 469.5051 0.07059008 0.2096324
Moved 1022.934 372.0515 494.9227 0.02789706 0.2750069
Moved 1022.964 358.7781 511.155 -0.002828389 0.3167565
Moved 1022.995 344.6796 532.4806 -0.03546382 0.3716064
Moved 1023.025 335.1501 548.3124 -0.057523 0.4123262
Moved 1023.057 330.2537 560.4927 -0.06885727 0.4436539
Moved 1023.087 327.0002 565.9996 -0.07638846 0.4578179
Moved 1023.118 324.591 570.4089 -0.08196518 0.4691587
Moved 1023.149 324 573.8106 -0.08333336 0.4779078
Moved 1023.179 324 578.6617 -0.08333336 0.4903849
Moved 1023.21 354.1563 585.7284 -0.01352708 0.5085605
Moved 1023.241 409.9563 592.4506 0.1156395 0.5258501
Moved 1023.272 460.4863 595.1309 0.2326071 0.5327439
Moved 1023.302 499.5 596 0.3229167 0.5349793
Moved 1023.333 531.0677 597.7379 0.39599 0.5394491
Moved 1023.364 558.8088 598 0.4602055 0.5401233
Moved 1023.394 578.3546 598 0.5054504 0.5401233
Moved 1023.425 587.7673 598 0.5272393 0.5401233
Moved 1023.456 591.2958 598 0.535407 0.5401233
Stationary 1023.487 591.2958 598 0.535407 0.5401233
Moved 1023.517 545.5329 590.7665 0.4294743 0.5215186
Moved 1023.548 501.1883 582.5765 0.3268248 0.5004538
Moved 1023.579 458.6758 579.3784 0.2284161 0.4922282
Moved 1023.609 425.1026 578.2279 0.1507004 0.4892693
Moved 1023.64 389.4135 575.6305 0.06808678 0.4825886
Moved 1023.671 369.9338 573.4191 0.02299497 0.4769009
Moved 1023.702 358.9975 572 -0.002320608 0.4732509
Moved 1023.732 349.6227 570.9056 -0.02402166 0.4704362
Moved 1023.763 346.5 571 -0.03125002 0.4706789
Moved 1023.794 344.5 571 -0.03587961 0.4706789
Moved 1023.824 345 571 -0.03472224 0.4706789
Moved 1023.855 374 571 0.03240744 0.4706789
Moved 1023.886 402.6285 571 0.09867718 0.4706789
Moved 1023.917 421.7308 571 0.1428955 0.4706789
Moved 1023.947 432.6392 571 0.1681462 0.4706789
Moved 1023.978 440.2021 571 0.1856532 0.4706789
Moved 1024.009 445.6156 571 0.1981843 0.4706789
Moved 1024.039 455.4577 567.1567 0.2209668 0.460794
Moved 1024.07 468.1199 559.9401 0.2502775 0.4422326
