if you were not so stupid
if you were not so stupid
FixStart
Radial

0.6 0.6
432 388.8
Stationary 936.1207 210.097 621 -0.3469976 0.5992797
Moved 936.1515 211.1495 621 -0.3445615 0.5992797
Moved 936.1823 212.0067 621 -0.342577 0.5992797
Stationary 936.213 212.0067 621 -0.342577 0.5992797
Moved 936.2437 213.0757 621 -0.3401026 0.5992797
Moved 936.2744 214.0907 621 -0.3377531 0.5992797
Moved 936.3051 216.5 621 -0.3321759 0.5992797
Moved 936.3358 219.1455 621 -0.326052 0.5992797
Moved 936.3666 222.0198 621 -0.3193987 0.5992797
Moved 936.3972 225.3399 621 -0.3117132 0.5992797
Moved 936.428 228.4336 621 -0.3045519 0.5992797
Moved 936.4587 231.3093 621 -0.2978952 0.5992797
Moved 936.4894 234.1724 621 -0.2912676 0.5992797
Moved 936.5201 236.6796 621 -0.2854639 0.5992797
Moved 936.5508 238.5504 621 -0.2811334 0.5992797
Moved 936.5816 240.4207 621 -0.2768039 0.5992797
Moved 936.6123 242.149 621 -0.2728032 0.5992797
Moved 936.643 244.7071 621 -0.2668818 0.5992797
Ended 936.6738 245 621 -0.2662037 0.5992797
Candidates 936.7659 13 were get et are few fewer feet we wt wet street set er
Began 937.5646 209 463 -0.349537 0.1929011
Moved 937.5954 280.7096 463 -0.1835426 0.1929011
Moved 937.6261 432.2168 471.8094 0.1671685 0.215559
Ended 937.6568 505 480 0.3356481 0.2366254
Accept 937.749 0 were
Began 937.9333 301 402 -0.1365741 0.03600815
Stationary 937.9641 301 402 -0.1365741 0.03600815
Stationary 937.9948 301 402 -0.1365741 0.03600815
Stationary 938.0255 301 402 -0.1365741 0.03600815
Moved 938.056 314.7018 402 -0.1048569 0.03600815
Moved 938.0869 336.2477 380.7523 -0.05498205 -0.01864131
Moved 938.1177 357.1678 352.2483 -0.006555965 -0.09195398
Moved 938.1484 372.9656 329.855 0.03001303 -0.1495498
Moved 938.1791 382.7844 318.2875 0.05274166 -0.1793018
Moved 938.2098 387.6048 312.3952 0.06389995 -0.1944568
Moved 938.2405 391.3492 308.3254 0.07256746 -0.2049243
Moved 938.2711 394.1317 306.8683 0.07900845 -0.2086719
Moved 938.3019 400.107 307 0.09284019 -0.2083334
Moved 938.3326 411.511 319.8589 0.1192383 -0.1752601
Moved 938.3634 432.3082 365.9247 0.1673802 -0.05677816
Moved 938.3941 450.38 432.5201 0.209213 0.1145063
Moved 938.4249 460.6478 470.5914 0.2329811 0.2124262
Moved 938.4556 470.2793 503.8379 0.2552762 0.2979369
Moved 938.4863 477.3971 524.1912 0.2717525 0.350286
Moved 938.517 481.4735 540.3675 0.2811887 0.3918917
Moved 938.5477 482 551.3171 0.2824074 0.4200543
Moved 938.5784 482 559.5939 0.2824074 0.4413422
Moved 938.6092 470.3856 565.3073 0.2555221 0.4560371
Moved 938.6399 444.2315 571.6409 0.1949803 0.4723274
Moved 938.6706 409 572 0.113426 0.4732509
Moved 938.7013 377.7578 572 0.04110614 0.4732509
Moved 938.7321 348.7099 556.213 -0.0261345 0.4326464
Moved 938.7628 326.5901 548.5963 -0.07733782 0.4130561
Moved 938.7935 308.6409 542.6564 -0.1188868 0.3977787
Moved 938.8242 296.3497 538.8699 -0.1473386 0.3880399
Moved 938.8549 289.9442 538 -0.1621662 0.3858024
Ended 938.8856 290 538 -0.162037 0.3858024
Candidates 939.0085 13 not more lot note nor npr moore floor kit lit put mit boot
Began 939.6229 160 472 -0.462963 0.2160493
Moved 939.6537 187.7775 472 -0.3986632 0.2160493
Moved 939.6844 264.4649 458.0043 -0.221146 0.1800521
Moved 939.7151 381.4182 456 0.04957914 0.174897
Ended 939.7458 412 464 0.1203704 0.1954732
Accept 939.8073 0 not
Began 940.053 401 463 0.09490739 0.1929011
Moved 940.0837 372.55 463 0.02905081 0.1929011
Moved 940.1145 333.9799 476.0034 -0.06023173 0.226346
Moved 940.1452 288.7164 484.5236 -0.1650084 0.2482603
Moved 940.1759 257.0332 486 -0.238349 0.2520575
Moved 940.2067 232.0974 487 -0.2960708 0.2546296
Moved 940.2374 216.3126 487 -0.3326097 0.2546296
Moved 940.2681 205.1738 487 -0.3583939 0.2546296
Moved 940.2988 195.2635 487 -0.3813346 0.2546296
Moved 940.3296 189.0988 487 -0.3956046 0.2546296
Moved 940.3603 187 487 -0.4004629 0.2546296
Moved 940.391 186 487 -0.4027778 0.2546296
Moved 940.4217 207.9958 496.3662 -0.3518615 0.2787195
Moved 940.4524 277.7129 525.4391 -0.1904794 0.3534954
Moved 940.4832 338.6142 541.5446 -0.04950409 0.3949192
Moved 940.5139 382.6921 547.9763 0.05252808 0.4114617
Moved 940.5446 417.5463 550.8546 0.1332089 0.4188646
Moved 940.5753 438.5 552.5 0.181713 0.4230966
Moved 940.606 454.3509 554.2702 0.2184048 0.4276496
Moved 940.6367 470.8225 557.1371 0.2565336 0.4350232
Moved 940.6675 485.0735 561.0184 0.2895219 0.445006
Moved 940.6982 495.1326 565.0663 0.312807 0.4554174
Moved 940.7289 504.2263 568.4088 0.3338571 0.4640141
Moved 940.7596 511.8208 571.2736 0.3514369 0.4713826
Moved 940.7903 520.5898 574.1475 0.3717356 0.4787742
Ended 940.821 526.1043 575.2209 0.3845007 0.4815351
Candidates 940.9132 13 say so ai gap gao gay hawaii ago stop gary fatty atp sell
Began 941.6812 363 483 0.006944438 0.2443414
Moved 941.712 435.7856 554.6249 0.1754296 0.4285618
Moved 941.7427 501.5616 617.5128 0.3276888 0.5903105
Ended 941.7734 543.4963 660.9617 0.4247599 0.7020618
Accept 941.8348 1 so
Began 942.265 392 463 0.07407407 0.1929011
Stationary 942.2957 392 463 0.07407407 0.1929011
Stationary 942.3264 392 463 0.07407407 0.1929011
Moved 942.3571 378.841 463 0.04361351 0.1929011
Moved 942.3878 365.2791 463 0.01222014 0.1929011
Moved 942.4185 348.8984 463 -0.02569805 0.1929011
Moved 942.4493 334.5458 463 -0.05892182 0.1929011
