where can my little dog be
where can my little dog be
Basic
Radial

0.6 0.6
432 388.8
Stationary 1597.343 417 315 0.1319444 -0.1877573
Moved 1597.374 404.3401 315 0.102639 -0.1877573
Moved 1597.404 394.6312 315 0.08016478 -0.1877573
Moved 1597.435 382.5918 315 0.05229592 -0.1877573
Moved 1597.466 369.2413 324.1517 0.02139181 -0.1642189
Moved 1597.496 353.8625 329.055 -0.01420711 -0.1516076
Moved 1597.527 342.9734 333.3511 -0.03941352 -0.140558
Moved 1597.558 334.6178 336.4608 -0.05875508 -0.1325598
Moved 1597.589 328.3533 341.3234 -0.07325629 -0.1200531
Moved 1597.619 321.3741 351.8345 -0.08941179 -0.09301833
Moved 1597.65 316.5608 363.0373 -0.1005538 -0.06420449
Moved 1597.681 316 385.1635 -0.1018519 -0.007295725
Moved 1597.712 330.6716 406.7372 -0.06788988 0.04819246
Moved 1597.742 337.9956 425.9913 -0.05093604 0.09771413
Moved 1597.773 345.8221 439.7332 -0.03281916 0.1330585
Moved 1597.804 353.5672 451.3508 -0.01489068 0.1629393
Moved 1597.834 362.6033 460.9525 0.006026129 0.1876348
Moved 1597.865 371.4257 468.4257 0.02644827 0.2068561
Moved 1597.896 380.1795 474.1197 0.04671186 0.2215012
Moved 1597.926 383.9238 476.9238 0.05537928 0.2287135
Moved 1597.957 388.5896 478.7948 0.06617963 0.2335256
Moved 1597.988 392.606 480 0.07547696 0.2366254
Moved 1598.019 397.1736 482 0.08604993 0.2417695
Moved 1598.049 400.0463 483 0.09269973 0.2443414
Moved 1598.08 401.484 483 0.09602785 0.2443414
Moved 1598.111 404.4656 484 0.1029296 0.2469135
Moved 1598.141 405.1125 484 0.1044271 0.2469135
Moved 1598.172 406.0705 484 0.1066447 0.2469135
Stationary 1598.203 406 484 0.1064815 0.2469135
Moved 1598.234 407 484 0.1087963 0.2469135
Stationary 1598.264 407 484 0.1087963 0.2469135
Moved 1598.295 408.0882 484 0.1113153 0.2469135
Stationary 1598.326 408.0882 484 0.1113153 0.2469135
Stationary 1598.356 408.0882 484 0.1113153 0.2469135
Stationary 1598.387 408 484 0.1111111 0.2469135
Moved 1598.418 396.5235 484 0.08454511 0.2469135
Moved 1598.449 386.8349 484 0.06211787 0.2469135
