the union will go on strike
the union will go on strike
Basic
Radial

0.6 0.6
432 388.8
Began 2134.346 289 583 -0.1643519 0.5015431
Stationary 2134.377 289 583 -0.1643519 0.5015431
Stationary 2134.408 289 583 -0.1643519 0.5015431
Stationary 2134.438 289 583 -0.1643519 0.5015431
Stationary 2134.469 289 583 -0.1643519 0.5015431
Stationary 2134.5 289 583 -0.1643519 0.5015431
Moved 2134.531 289 571.9966 -0.1643519 0.4732421
Moved 2134.561 294.5407 566.8339 -0.1515261 0.4599636
Moved 2134.592 301.352 556.972 -0.1357593 0.4345986
Moved 2134.623 317.9249 533.4592 -0.09739602 0.3741233
Moved 2134.653 339.923 503.2419 -0.04647454 0.296404
Moved 2134.684 361.512 471.6711 0.003499886 0.2152033
Moved 2134.715 382.4949 442.0696 0.05207151 0.1390678
Moved 2134.746 400.1135 415.5153 0.09285539 0.07076977
Moved 2134.776 411.6748 398.0554 0.1196176 0.02586247
Moved 2134.807 425.229 374.5993 0.150993 -0.03446689
Moved 2134.838 433.7947 359.3421 0.1708211 -0.07370858
Moved 2134.868 438.8005 348.399 0.1824086 -0.1018545
Moved 2134.899 441.3565 342.287 0.1883252 -0.1175747
Moved 2134.93 430.0014 337.5558 0.1620403 -0.1297433
Moved 2134.961 398.7435 347.8699 0.08968403 -0.1032154
Moved 2134.991 370.4061 361.2969 0.02408822 -0.0686808
Moved 2135.022 344.6104 381.9018 -0.03562396 -0.01568476
Moved 2135.053 323.878 402.4756 -0.08361568 0.0372316
Moved 2135.083 305.6144 421.6166 -0.1258927 0.08646235
Moved 2135.114 293.0334 438.5533 -0.1550153 0.1300238
Moved 2135.145 281.3202 453.6798 -0.1821292 0.1689295
Moved 2135.176 273.3972 464.1371 -0.2004694 0.1958257
Moved 2135.206 266.1792 472.8208 -0.2171777 0.2181605
Moved 2135.237 262.1216 480.8176 -0.2265704 0.2387284
Ended 2135.268 260.6284 483.7431 -0.2300268 0.2462527
Candidates 2135.421 13 the wine time rubber else tune winner there terms tube winter weeks robert
Began 2135.851 169 420 -0.4421296 0.08230445
Stationary 2135.882 169 420 -0.4421296 0.08230445
Moved 2135.913 227.8634 420 -0.3058717 0.08230445
Moved 2135.943 359.3388 439.6735 -0.001530449 0.1329049
Moved 2135.974 479.5368 447 0.2767055 0.1517489
Moved 2136.005 589.16 447 0.5304629 0.1517489
Moved 2136.036 624.9617 447 0.6133374 0.1517489
Moved 2136.066 659.5 447 0.6932871 0.1517489
Ended 2136.097 660 447 0.6944445 0.1517489
Accept 2136.158 0 the
Began 2136.527 430 637 0.162037 0.6404321
Stationary 2136.558 430 637 0.162037 0.6404321
Stationary 2136.588 430 637 0.162037 0.6404321
Stationary 2136.619 430 637 0.162037 0.6404321
Stationary 2136.65 430 637 0.162037 0.6404321
Moved 2136.681 430 616.3309 0.162037 0.5872707
Moved 2136.711 430 591.9883 0.162037 0.5246612
Moved 2136.742 421.3607 545.1619 0.1420386 0.4042228
Moved 2136.773 418.699 500.6409 0.1358774 0.2897143
Moved 2136.803 412.9551 455.163 0.1225812 0.1727444
