just in time for the party
just in time for the party
FixStart
0.6 0.6
432 326.4
Began 1002.324 462 281 0.2361111 -0.2665441
Stationary 1002.373 462 281 0.2361111 -0.2665441
Stationary 1002.416 462 281 0.2361111 -0.2665441
Stationary 1002.469 462 281 0.2361111 -0.2665441
Moved 1002.514 484.6335 291.1584 0.2885035 -0.2354216
Moved 1002.558 492.0496 293.7624 0.3056703 -0.2274436
Moved 1002.603 503.9745 298 0.3332742 -0.2144608
Moved 1002.647 511.2881 300 0.3502038 -0.2083333
Moved 1002.69 514.5 301 0.3576389 -0.2052697
Moved 1002.733 517.1551 302 0.3637849 -0.2022059
Moved 1002.782 518.5505 303 0.3670151 -0.1991422
Moved 1002.823 520.2134 303 0.3708645 -0.1991422
Moved 1002.876 522.1584 303 0.3753668 -0.1991422
Moved 1002.919 523 306.0806 0.3773148 -0.189704
Moved 1002.961 526.3882 331.8824 0.3851579 -0.1106543
Moved 1003.01 526 367.1948 0.3842592 -0.002467025
Moved 1003.057 526 385.978 0.3842592 0.05507961
Moved 1003.105 526 393.7113 0.3842592 0.07877243
Moved 1003.15 526 398.9075 0.3842592 0.09469205
Moved 1003.192 526 401.1063 0.3842592 0.1014288
Stationary 1003.238 526 401 0.3842592 0.1011029
Stationary 1003.28 526 401 0.3842592 0.1011029
Moved 1003.347 452.6592 344.5273 0.2144889 -0.07191368
Moved 1003.393 408.9356 312.6237 0.1132768 -0.1696577
Moved 1003.436 387.4039 296.6423 0.06343503 -0.2186203
Moved 1003.478 375.8969 286.8969 0.03679822 -0.2484778
Moved 1003.52 364.3018 278.3018 0.009957851 -0.2748106
Moved 1003.565 356.3566 271.3566 -0.00843371 -0.2960888
Moved 1003.609 350.3755 267.3755 -0.02227897 -0.3082859
Moved 1003.653 347.6255 264.6255 -0.0286447 -0.3167112
Moved 1003.695 345.5556 264 -0.03343602 -0.3186274
Moved 1003.738 343.2501 261.2501 -0.03877302 -0.3270525
Moved 1003.804 339.9493 258.9493 -0.04641364 -0.3341012
Stationary 1003.846 339.9493 258.9493 -0.04641364 -0.3341012
Moved 1003.888 364.4925 295.2047 0.01039932 -0.2230249
Moved 1003.934 392.2958 332.8264 0.07475892 -0.1077624
Moved 1003.98 405.2272 351.3029 0.1046926 -0.05115528
Moved 1004.024 411.9977 361.9954 0.120365 -0.01839657
Moved 1004.064 415.8762 366.7524 0.1293431 -0.003822177
Moved 1004.108 418 370.8809 0.1342593 0.008826163
Moved 1004.154 420.5 373.5 0.1400463 0.01685049
Moved 1004.197 421 375.0106 0.1412037 0.02147852
Moved 1004.268 423.5 377 0.1469907 0.02757353
Moved 1004.313 423 377 0.1458333 0.02757353
Ended 1004.355 423 377 0.1458333 0.02757353
Candidates 1004.456 5 just usat use host user
Began 1004.922 440 217 0.1851852 -0.4626225
Stationary 1004.969 440 217 0.1851852 -0.4626225
Moved 1005.014 440 265.6885 0.1851852 -0.3134544
Moved 1005.06 440 297.333 0.1851852 -0.2165043
Moved 1005.106 440 311.439 0.1851852 -0.1732873
Moved 1005.15 440 317.0613 0.1851852 -0.156062
Ended 1005.194 450.5 318.5 0.2094908 -0.1516544
Accept 1005.236 just
Began 1005.517 425 288 0.150463 -0.2450981
Stationary 1005.57 425 288 0.150463 -0.2450981
Moved 1005.623 443 298.5 0.1921296 -0.2129289
Moved 1005.668 466.1004 308.5502 0.2456027 -0.1821379
Moved 1005.714 489.0633 319.5316 0.2987575 -0.1484937
Moved 1005.757 499.7448 327.431 0.3234832 -0.1242924
Moved 1005.8 513.9841 344.9681 0.3564446 -0.07056349
Moved 1005.845 522.5748 356.8622 0.3763306 -0.03412294
Moved 1005.892 526 364.559 0.3842592 -0.0105425
Moved 1005.937 529 368.5754 0.3912036 0.001762989
Moved 1005.979 531.2296 371.2296 0.3963648 0.009894745
Moved 1006.023 533 374.8323 0.4004629 0.02093222
Moved 1006.077 534 376.8262 0.4027778 0.02704116
Moved 1006.12 534 378.2482 0.4027778 0.03139776
Moved 1006.161 535 378 0.4050927 0.03063726
Moved 1006.202 520.7682 315.2922 0.3721485 -0.1614823
Moved 1006.251 501.7729 228.6372 0.328178 -0.4269693
Moved 1006.292 498.5101 200.5908 0.3206252 -0.5128958
Moved 1006.333 497 177.8068 0.3171296 -0.5826997
Moved 1006.374 495.2625 165.525 0.3131078 -0.6203278
Moved 1006.416 495 161.7662 0.3125 -0.6318437
Moved 1006.458 494 155.3864 0.3101851 -0.6513898
Ended 1006.525 494 151 0.3101851 -0.6648285
Candidates 1006.608 5 in on him inn jim
Began 1006.963 461 198 0.2337964 -0.5208334
Moved 1007.022 461 209.9454 0.2337964 -0.4842358
Moved 1007.065 450.418 241.2378 0.209301 -0.3883646
Moved 1007.108 449 271.5 0.2060185 -0.2956494
Moved 1007.153 449 289.5363 0.2060185 -0.2403914
Moved 1007.197 449 296.832 0.2060185 -0.2180391
Moved 1007.243 449 300.1349 0.2060185 -0.2079201
Ended 1007.288 449 301 0.2060185 -0.2052697
Accept 1007.334 in
Began 1007.689 437 243 0.1782407 -0.3829657
Stationary 1007.737 437 243 0.1782407 -0.3829657
Stationary 1007.78 437 243 0.1782407 -0.3829657
Moved 1007.826 421.9501 269.1122 0.1434031 -0.3029653
Moved 1007.874 411.3593 290.2815 0.1188871 -0.2381082
Moved 1007.92 405.5664 304.8672 0.1054778 -0.1934216
Moved 1007.971 402.4089 324.7733 0.09816875 -0.1324349
Moved 1008.02 402 338.7266 0.09722222 -0.08968578
Moved 1008.064 402 348.5262 0.09722222 -0.05966225
Moved 1008.108 402 354.137 0.09722222 -0.04247254
Moved 1008.151 402 357.0015 0.09722222 -0.03369631
Moved 1008.193 402 359 0.09722222 -0.02757344
Moved 1008.247 438 360 0.1805556 -0.0245098
Moved 1008.292 471.877 360 0.2589745 -0.0245098
Moved 1008.337 502.3378 360 0.3294857 -0.0245098
Moved 1008.381 522.8238 362 0.3769069 -0.01838226
Moved 1008.425 537.92 364 0.4118518 -0.01225481
Moved 1008.468 547.5535 365 0.4341515 -0.009191177
Moved 1008.519 552.6071 365 0.4458498 -0.009191177
Moved 1008.567 554.8307 365 0.4509969 -0.009191177
Moved 1008.611 549.5974 337.5638 0.4388827 -0.09324813
Moved 1008.657 524.7534 245.6847 0.3813735 -0.3747405
Moved 1008.728 518 168.5897 0.3657407 -0.6109383
Moved 1008.772 517.2123 151.0618 0.3639175 -0.6646391
Moved 1008.817 516.2612 140.5225 0.3617159 -0.6969287
Moved 1008.86 516 134.9569 0.3611111 -0.7139801
Moved 1008.904 516 130.6599 0.3611111 -0.7271448
Moved 1008.952 516 128.8274 0.3611111 -0.7327591
Moved 1008.999 515 127 0.3587963 -0.7383579
Moved 1009.045 495.9666 140.4042 0.3147376 -0.6972911
Moved 1009.089 440.955 199.8859 0.1873957 -0.5150556
Moved 1009.133 406.7291 238.1667 0.1081693 -0.3977735
Moved 1009.207 371.852 290.2221 0.02743513 -0.2382901
Moved 1009.251 359.9572 310.0642 -9.909272E-05 -0.1774994
Moved 1009.296 353.3672 324.3881 -0.01535381 -0.133615
Moved 1009.341 348.8206 338.5383 -0.02587835 -0.09026247
Moved 1009.391 346 345.5656 -0.03240739 -0.06873299
Ended 1009.437 345 347 -0.03472224 -0.06433815
Candidates 1009.573 5 time tone robert fine tune
Began 1009.905 437 206 0.1782407 -0.4963235
Stationary 1009.953 437 206 0.1782407 -0.4963235
Moved 1009.998 437 247.7258 0.1782407 -0.3684871
Moved 1010.043 437 288.311 0.1782407 -0.2441453
Moved 1010.089 437 310.6634 0.1782407 -0.1756637
Moved 1010.135 437 316.0716 0.1782407 -0.1590944
Moved 1010.187 437 320.4069 0.1782407 -0.1458121
Ended 1010.232 437 321 0.1782407 -0.1439951
Accept 1010.283 time
Began 1010.64 428 262 0.1574074 -0.3247548
