traveling requires a lot of fuel
traveling requires a lot of fuel
Basic
0.6 0.6
432 326.4
Began 663.2568 344 534 -0.03703703 0.5085785
Stationary 663.292 344 534 -0.03703703 0.5085785
Stationary 663.3159 344 534 -0.03703703 0.5085785
Stationary 663.3388 344 534 -0.03703703 0.5085785
Stationary 663.3605 344 534 -0.03703703 0.5085785
Stationary 663.3822 344 534 -0.03703703 0.5085785
Stationary 663.4033 344 534 -0.03703703 0.5085785
Moved 663.4249 339.3316 518.6661 -0.04784356 0.4615998
Moved 663.4481 334.7998 514.6997 -0.05833377 0.4494477
Moved 663.4708 329.8096 507.8096 -0.06988521 0.4283383
Moved 663.4941 325.781 503.781 -0.07921065 0.4159958
Moved 663.517 320.1008 499.0504 -0.09235919 0.4015025
Moved 663.5396 315.8523 497.6174 -0.1021937 0.3971122
Moved 663.5613 305.9977 492.4988 -0.1250053 0.3814304
Moved 663.5948 294.2073 488.4829 -0.152298 0.3691266
Moved 663.6175 288.2426 486.8106 -0.1661052 0.3640031
Moved 663.6401 275.7459 482.9365 -0.1950327 0.3521338
Moved 663.6652 271.5044 481.5015 -0.2048509 0.3477373
Moved 663.6892 264.2766 478.6383 -0.2215819 0.3389654
Moved 663.712 262.2756 479 -0.2262139 0.3400736
Moved 663.7361 258.6538 478 -0.2345976 0.3370098
Moved 663.7583 257.2195 477.2195 -0.2379178 0.3346188
Moved 663.7811 254.348 477 -0.2445648 0.3339461
Moved 663.8035 252.9265 477 -0.2478554 0.3339461
Moved 663.8416 250 477 -0.2546296 0.3339461
Moved 663.8658 248.5202 477 -0.2580552 0.3339461
Moved 663.8884 246.6745 477 -0.2623275 0.3339461
Stationary 663.9111 246.6745 477 -0.2623275 0.3339461
Moved 663.9332 243.7095 475.8547 -0.269191 0.3304373
Moved 663.9559 240.7049 473.4699 -0.2761461 0.3231309
Moved 663.9788 227.437 462.437 -0.3068588 0.2893289
Moved 664.0005 219.5595 455.6329 -0.3250938 0.268483
Moved 664.0228 204.4864 439.0809 -0.3599852 0.2177725
Moved 664.0441 198.8418 429.7231 -0.3730515 0.1891026
Moved 664.0788 188.267 409.534 -0.3975301 0.1272488
Moved 664.101 182.4305 392.0761 -0.4110406 0.07376265
Moved 664.1224 182 384.927 -0.412037 0.05185969
Moved 664.1438 180.5 380 -0.4155093 0.0367648
Moved 664.1655 181 368.5336 -0.4143519 0.00163471
Moved 664.1862 181 364.2361 -0.4143519 -0.01153161
Moved 664.2193 181 356.625 -0.4143519 -0.03484988
Moved 664.2413 181 351.3348 -0.4143519 -0.05105767
Moved 664.2643 190.3404 349.3313 -0.3927305 -0.05719578
Moved 664.2867 190.5 346.5 -0.3923611 -0.06587
Moved 664.3231 192 346 -0.3888888 -0.06740196
Moved 664.3467 195.0402 346 -0.3818514 -0.06740196
Stationary 664.3679 195 346 -0.3819444 -0.06740196
Moved 664.3886 198 346 -0.375 -0.06740196
Moved 664.4114 203.8626 346 -0.3614291 -0.06740196
Moved 664.4332 208.6151 356.6151 -0.3504281 -0.03488027
Moved 664.4553 217.9759 364.2319 -0.3287596 -0.01154451
Moved 664.4769 221.7186 366.8124 -0.3200958 -0.003638548
Moved 664.4984 225.9129 370.9129 -0.3103867 0.008924335
Moved 664.5201 233.5313 374.1771 -0.2927516 0.01892501
Moved 664.5556 238.0479 375 -0.2822964 0.02144608
Moved 664.5776 244.0609 375 -0.2683775 0.02144608
