this is a very good idea
this is a very good idea
FixStart
0.6 0.6
432 388.8
Began 1749.645 407 336 0.1087963 -0.1337449
Stationary 1749.663 407 336 0.1087963 -0.1337449
Stationary 1749.678 407 336 0.1087963 -0.1337449
Stationary 1749.695 407 336 0.1087963 -0.1337449
Stationary 1749.711 407 336 0.1087963 -0.1337449
Stationary 1749.725 407 336 0.1087963 -0.1337449
Moved 1749.74 401.0368 347.6503 0.09499252 -0.10378
Moved 1749.757 395.8242 354.4395 0.08292636 -0.08631819
Moved 1749.771 392.5628 362.0201 0.07537682 -0.0668207
Moved 1749.788 386.8496 381.6015 0.06215185 -0.0164572
Moved 1749.802 384.0688 396.5875 0.05571475 0.02208702
Moved 1749.817 382.6479 409.1689 0.05242566 0.05444679
Moved 1749.832 381 427.4109 0.04861106 0.1013654
Moved 1749.847 379.8725 440.1473 0.04600117 0.1341237
Moved 1749.863 380 451 0.04629632 0.162037
Moved 1749.878 380 459.0932 0.04629632 0.1828528
Moved 1749.893 380 465.8288 0.04629632 0.2001768
Moved 1749.909 380 472.7603 0.04629632 0.2180046
Moved 1749.925 380 476.9645 0.04629632 0.228818
Moved 1749.94 380 480.2548 0.04629632 0.2372808
Moved 1749.956 380 483 0.04629632 0.2443414
Moved 1749.971 380 483.9 0.04629632 0.2466562
Moved 1749.987 380 485.2415 0.04629632 0.2501066
Moved 1750.002 380 486.1983 0.04629632 0.2525676
Moved 1750.017 380 486.6543 0.04629632 0.2537404
Moved 1750.032 380 487.5 0.04629632 0.2559156
Stationary 1750.047 380 487.5 0.04629632 0.2559156
Stationary 1750.062 380 487.5 0.04629632 0.2559156
Moved 1750.078 380 487 0.04629632 0.2546296
Moved 1750.094 380 469 0.04629632 0.2083333
Moved 1750.109 391.1681 462.6638 0.07214844 0.1920364
Moved 1750.126 396.0786 450.8035 0.08351525 0.1615317
Moved 1750.142 398.7837 442.649 0.089777 0.1405582
Moved 1750.157 403.2779 429.4069 0.1001804 0.106499
Moved 1750.172 406.3057 418.9301 0.1071891 0.07955252
Moved 1750.188 408.064 410.808 0.1112592 0.05866254
Moved 1750.203 409.9156 403.4221 0.1155454 0.03966574
