effort is what it will take
effort is what it will take
FixStart
0.6 0.6
432 388.8
Began 386.8416 488 395 0.2962963 0.01800408
Stationary 386.8607 488 395 0.2962963 0.01800408
Stationary 386.8736 488 395 0.2962963 0.01800408
Stationary 386.8882 488 395 0.2962963 0.01800408
Stationary 386.905 488 395 0.2962963 0.01800408
Stationary 386.9192 488 395 0.2962963 0.01800408
Stationary 386.935 488 395 0.2962963 0.01800408
Stationary 386.9508 488 395 0.2962963 0.01800408
Stationary 386.9654 488 395 0.2962963 0.01800408
Moved 386.9807 482.1071 398.7501 0.2826553 0.02764929
Moved 386.9965 474.0841 404.9158 0.2640837 0.04350776
Moved 387.0121 469.7311 409.2689 0.2540073 0.05470385
Moved 387.0334 461.1533 416.8467 0.2341511 0.07419422
Stationary 387.0447 461.1533 416.8467 0.2341511 0.07419422
Moved 387.0575 456.1148 421.6065 0.2224879 0.08643644
Moved 387.0737 451.4282 425.6788 0.2116393 0.09691045
Moved 387.0891 444.5018 433.7978 0.195606 0.1177926
Moved 387.1046 439.0153 439.731 0.1829057 0.1330528
Moved 387.1199 434.4531 444.5469 0.172345 0.1454396
Moved 387.1355 429.1267 451.4977 0.1600156 0.163317
Moved 387.1514 423.6981 458.3774 0.1474494 0.1810117
Moved 387.1661 419.5112 462.4888 0.1377574 0.1915863
Moved 387.1827 415.8892 466.1108 0.1293731 0.2009023
Moved 387.1978 410.8158 472.2302 0.1176292 0.2166414
Moved 387.213 406.5414 476.4586 0.1077347 0.227517
Moved 387.2285 402.2287 481.6951 0.09775172 0.2409852
Moved 387.2436 397.9129 486.0872 0.08776128 0.2522817
Moved 387.2603 394.5952 490.4048 0.08008142 0.2633867
Moved 387.274 390.2911 495.9451 0.0701184 0.2776366
Moved 387.2895 386.5 499.5 0.06134262 0.2867798
Moved 387.3054 382.7356 504.2643 0.05262871 0.2990337
Moved 387.3205 378.4476 510.9207 0.04270276 0.316154
Moved 387.3358 375.0926 515.5432 0.03493657 0.3280431
Moved 387.3539 370.7672 522.3881 0.02492398 0.3456484
Moved 387.3674 367.4514 528.0648 0.01724869 0.3602488
Moved 387.3827 365.0478 532.8567 0.0116847 0.3725736
Moved 387.3991 362.2103 538.5793 0.005116463 0.3872924
Moved 387.4128 360.9934 541.5099 0.002299448 0.39483
Moved 387.4283 359.0566 545.8301 -0.002183716 0.4059415
Moved 387.4442 357.6178 550.1467 -0.005514374 0.4170439
Moved 387.4595 356.1813 551.8187 -0.008839667 0.4213443
Moved 387.4738 356 553.2604 -0.009259283 0.4250525
Moved 387.4899 355 554.7006 -0.01157408 0.4287564
Moved 387.5071 353.8567 556.1433 -0.01422062 0.4324673
Stationary 387.5225 353.8567 556.1433 -0.01422062 0.4324673
Moved 387.5358 353.3357 557 -0.01542673 0.4346707
Moved 387.5515 352.5 557 -0.0173611 0.4346707
Moved 387.5687 353 558.2727 -0.01620372 0.4379441
Stationary 387.5814 353 558.2727 -0.01620372 0.4379441
Stationary 387.5977 353 558 -0.01620372 0.4372427
Stationary 387.6122 353 558 -0.01620372 0.4372427
Stationary 387.6284 353 558 -0.01620372 0.4372427
Stationary 387.6424 353 558 -0.01620372 0.4372427
Stationary 387.6577 353 558 -0.01620372 0.4372427
Moved 387.6741 353 549.163 -0.01620372 0.4145139
Moved 387.6911 359.0959 544.7141 -0.002092769 0.403071
Moved 387.7067 363.4055 541.5945 0.007883012 0.3950476
Moved 387.7217 366.2888 537.0668 0.01455734 0.3834023
Moved 387.737 368.6247 534.3754 0.01996448 0.3764798
Moved 387.7532 372.5657 529.2457 0.02908737 0.3632862
Moved 387.7667 376.8872 523.4837 0.03909081 0.3484662
Moved 387.7827 382.2635 516.6707 0.05153587 0.330943
Moved 387.7986 385 512.5 0.05787035 0.3202159
Moved 387.8134 389.864 507.1813 0.06912977 0.3065361
Moved 387.8291 395.5746 500.0318 0.08234858 0.2881476
Moved 387.8448 400 494.5 0.09259263 0.2739197
Moved 387.8609 406.518 485.6747 0.1076807 0.251221
Moved 387.8753 413.6928 476.9686 0.1242889 0.2288286
Moved 387.8911 420.1555 466.4778 0.139249 0.201846
Moved 387.9069 425.9391 456.3566 0.1526368 0.1758142
Moved 387.9216 431.6574 446.6852 0.1658737 0.1509392
Moved 387.9368 436.3102 436.2762 0.1766439 0.1241672
Moved 387.9532 440.5 422 0.1863426 0.08744851
