a very traditional way to dress
a very traditional way to dress
Basic
0.6 0.6
432 388.8
Moved 1218.539 347.4582 498.5418 -0.02903203 0.2843153
Moved 1218.555 346.0195 499.9805 -0.03236234 0.2880157
Moved 1218.571 344.9355 500 -0.0348715 0.2880658
Moved 1218.585 343.5 501.5 -0.03819446 0.2919238
Moved 1218.601 342.0393 502.9607 -0.04157568 0.2956807
Moved 1218.616 340.6006 503 -0.04490604 0.2957818
Moved 1218.631 339.1615 504.8386 -0.04823735 0.3005106
Moved 1218.647 338.5 505.5 -0.04976853 0.3022119
Moved 1218.661 337.2852 506 -0.05258054 0.3034978
Moved 1218.683 334.7785 507.2215 -0.05838305 0.3066396
Stationary 1218.695 334.7785 507.2215 -0.05838305 0.3066396
Stationary 1218.708 334.7785 507.2215 -0.05838305 0.3066396
Moved 1218.732 329.3574 508 -0.07093191 0.3086419
Stationary 1218.743 329.3574 508 -0.07093191 0.3086419
Moved 1218.754 326.0387 508 -0.07861406 0.3086419
Moved 1218.77 323.1533 508 -0.0852933 0.3086419
Moved 1218.785 318 508 -0.09722222 0.3086419
Moved 1218.8 312.1454 508 -0.1107746 0.3086419
Moved 1218.817 304.9892 508 -0.1273398 0.3086419
Moved 1218.832 297.7853 499.157 -0.1440155 0.2858976
Moved 1218.848 288.0222 496.4349 -0.1666154 0.2788962
Moved 1218.863 281.1262 492.5631 -0.1825783 0.2689379
Moved 1218.878 274.2304 489.6921 -0.1985408 0.2615538
Moved 1218.893 266 485.5 -0.2175926 0.2507715
Moved 1218.909 257.5403 479.9052 -0.2371752 0.2363816
Moved 1218.924 246.0669 472.4168 -0.2637341 0.2171213
Moved 1218.94 234.5288 462.0877 -0.2904426 0.1905547
Moved 1218.956 224.0161 452.0161 -0.3147775 0.1646504
Moved 1218.972 212.9392 441.5019 -0.3404186 0.1376077
Moved 1218.985 200.2662 425.6461 -0.3697541 0.09682639
Moved 1219.002 191.134 410.89 -0.3908935 0.0588733
Moved 1219.017 181.4507 396.676 -0.4133086 0.0223148
Moved 1219.033 171.6998 382.0497 -0.43588 -0.01530416
Moved 1219.048 165.695 367.7376 -0.44978 -0.05211528
Moved 1219.063 159.7164 357.6716 -0.4636194 -0.07800514
Moved 1219.079 155.3898 349.9831 -0.4736346 -0.09778011
Moved 1219.094 153.3585 345.0755 -0.4783368 -0.1104026
Moved 1219.113 150.8456 341.8456 -0.4841536 -0.1187098
Moved 1219.124 151 340.8629 -0.4837963 -0.1212376
Moved 1219.14 149.3813 340 -0.4875434 -0.1234569
Moved 1219.158 149 338.9395 -0.4884259 -0.1261844
Stationary 1219.172 149 338.9395 -0.4884259 -0.1261844
Moved 1219.186 147.6276 337.6276 -0.4916027 -0.1295586
Moved 1219.201 148 336.8146 -0.4907407 -0.1316497
Moved 1219.216 146.5 337 -0.4942129 -0.1311728
Stationary 1219.232 146.5 337 -0.4942129 -0.1311728
Stationary 1219.246 146.5 337 -0.4942129 -0.1311728
Stationary 1219.266 146.5 337 -0.4942129 -0.1311728
Stationary 1219.282 146.5 337 -0.4942129 -0.1311728
Stationary 1219.297 146.5 337 -0.4942129 -0.1311728
Moved 1219.309 147 337 -0.4930556 -0.1311728
Stationary 1219.329 147 337 -0.4930556 -0.1311728
Stationary 1219.339 147 337 -0.4930556 -0.1311728
Stationary 1219.354 147 337 -0.4930556 -0.1311728
Stationary 1219.37 147 337 -0.4930556 -0.1311728
Stationary 1219.386 147 337 -0.4930556 -0.1311728
Stationary 1219.401 147 337 -0.4930556 -0.1311728
Stationary 1219.417 147 337 -0.4930556 -0.1311728
Moved 1219.432 147 347.0262 -0.4930556 -0.1053852
Moved 1219.448 162 348 -0.4583334 -0.1028807
Moved 1219.464 163.9057 353.1246 -0.4539221 -0.08970025
Moved 1219.479 171.0823 357.6494 -0.4373095 -0.07806244
Moved 1219.495 178.9294 362.9647 -0.419145 -0.06439138
Moved 1219.518 201 373 -0.3680556 -0.03858032
Stationary 1219.528 201 373 -0.3680556 -0.03858032
Moved 1219.54 211.8433 375.9553 -0.3429553 -0.03097926
Moved 1219.557 226.1645 380.2493 -0.3098043 -0.01993493
Moved 1219.572 234.9645 382.1032 -0.289434 -0.01516672
Moved 1219.587 245.9241 383.9891 -0.2640647 -0.01031601
Moved 1219.604 253.1593 385.4319 -0.2473164 -0.006605274
Moved 1219.618 260.3332 386 -0.2307102 -0.005144111
Moved 1219.634 266.2361 387.309 -0.2170462 -0.001777248
Moved 1219.65 269.9794 387.7449 -0.208381 -0.0006563084
Moved 1219.664 274.5486 389.1829 -0.1978043 0.00304226
Moved 1219.679 277.7704 390.2568 -0.1903462 0.005804541
Moved 1219.696 284.1157 395.3368 -0.1756581 0.01887035
Moved 1219.712 292.1999 401.9999 -0.1569446 0.03600803
Moved 1219.725 301.1471 410.5037 -0.1362336 0.05787987
Moved 1219.742 312.6901 420.6038 -0.1095136 0.08385752
Moved 1219.757 326.7093 433.186 -0.0770619 0.1162191
Moved 1219.773 338.7072 443.7438 -0.04928877 0.1433739
Moved 1219.787 350.2322 452.1689 -0.02261063 0.1650433
Moved 1219.806 369.08 466.6769 0.02101848 0.2023581
Moved 1219.819 383.0312 474.3835 0.05331298 0.2221796
Moved 1219.834 397.4323 483.0594 0.08664896 0.2444942
Moved 1219.85 413.4351 495.0764 0.1236925 0.2754021
Moved 1219.865 427.0612 505.6031 0.1552342 0.3024772
Moved 1219.879 438.6438 512.9804 0.1820458 0.3214516
Moved 1219.895 447.6583 519.1614 0.2029127 0.3373493
Moved 1219.911 459.9225 526.0681 0.231302 0.3551132
Moved 1219.927 471.5108 534.2554 0.2581269 0.3761713
Moved 1219.942 483.7357 543.6438 0.2864253 0.4003183
Moved 1219.959 493.5 552 0.3090277 0.4218106
Moved 1219.973 495.9076 553.9384 0.3146009 0.4267963
Moved 1219.988 498.8077 556.8077 0.321314 0.434176
Moved 1220.006 501 557.5 0.3263889 0.4359567
Moved 1220.019 501.9262 558.9263 0.328533 0.4396251
Moved 1220.034 502.5 559.5 0.3298611 0.4411007
Moved 1220.05 503 559.804 0.3310186 0.4418825
Stationary 1220.066 503 560 0.3310186 0.4423867
Stationary 1220.081 503 560 0.3310186 0.4423867
Stationary 1220.096 503 560 0.3310186 0.4423867
Stationary 1220.111 503 560 0.3310186 0.4423867
Stationary 1220.127 503 560 0.3310186 0.4423867
Moved 1220.142 475.4561 549.842 0.2672594 0.4162603
Moved 1220.167 434.8646 540.9729 0.1732976 0.3934487
Stationary 1220.179 434.8646 540.9729 0.1732976 0.3934487
Moved 1220.189 410.2831 535.6566 0.116396 0.3797751
Moved 1220.205 390.4749 532.2269 0.07054368 0.370954
Moved 1220.22 373.187 528.0468 0.03052553 0.3602025
Moved 1220.235 359.8562 525.0437 -0.0003329416 0.3524786
Moved 1220.251 344.2701 522.2822 -0.03641183 0.345376
Moved 1220.266 335.2192 520.7032 -0.05736286 0.3413148
Moved 1220.282 330.0607 518.5303 -0.06930386 0.3357261
Moved 1220.298 326.6514 518 -0.07719576 0.3343621
Moved 1220.313 324.3904 518 -0.0824296 0.3343621
Moved 1220.328 322.9539 518 -0.08575484 0.3343621
Stationary 1220.344 323 518 -0.08564815 0.3343621
Stationary 1220.359 323 518 -0.08564815 0.3343621
Moved 1220.373 330.0019 518 -0.06944001 0.3343621
