the union will go on strike
the union will go on strike
FixStart
0.6 0.6
432 388.8
Began 1932.948 413 350 0.1226852 -0.09773669
Stationary 1932.969 413 350 0.1226852 -0.09773669
Stationary 1932.982 413 350 0.1226852 -0.09773669
Moved 1932.998 413 366.9076 0.1226852 -0.0542501
Moved 1933.014 403.7985 383.8023 0.1013853 -0.01079661
Moved 1933.035 402.8195 401.0832 0.09911914 0.0336501
Moved 1933.047 399.9303 421.5229 0.0924312 0.08622137
Moved 1933.06 398.8732 432.2677 0.08998434 0.1138571
Moved 1933.075 398 447.8409 0.08796295 0.1539117
Moved 1933.091 396.9539 461.4606 0.08554151 0.188942
Moved 1933.108 397 465.4547 0.0856481 0.1992147
Moved 1933.123 396 472.7707 0.08333336 0.2180315
Moved 1933.138 396 477.0872 0.08333336 0.2291336
Moved 1933.152 396 478.7994 0.08333336 0.2335374
Moved 1933.168 396 479.9297 0.08333336 0.2364446
Stationary 1933.183 396 480 0.08333336 0.2366254
Stationary 1933.199 396 480 0.08333336 0.2366254
Stationary 1933.215 396 480 0.08333336 0.2366254
Stationary 1933.23 396 480 0.08333336 0.2366254
Moved 1933.244 396 466.5025 0.08333336 0.2019096
Moved 1933.261 408.886 451.2281 0.1131619 0.1626237
Moved 1933.276 416.3772 436.9751 0.1305028 0.1259647
Moved 1933.291 427.565 418.0583 0.1564005 0.07731033
Moved 1933.309 434.5 407 0.1724537 0.04886827
Moved 1933.322 442.7272 393.4092 0.1914981 0.01391262
Moved 1933.338 451.3617 380.4574 0.2114854 -0.01939978
Moved 1933.355 458.1385 368.3784 0.2271725 -0.05046719
Moved 1933.369 465.3633 358.0913 0.2438966 -0.07692572
Moved 1933.383 473 345 0.2615741 -0.1105968
Moved 1933.399 478.9743 336.3676 0.2754036 -0.1327996
Moved 1933.414 485.0588 326.1472 0.289488 -0.1590865
Moved 1933.431 489.4084 318.8873 0.2995566 -0.177759
Moved 1933.447 492.299 314.5516 0.3062476 -0.1889106
Moved 1933.461 494.5862 310.8276 0.3115421 -0.1984888
Moved 1933.476 495 308.9709 0.3125 -0.2032642
Moved 1933.491 496.4677 307.5323 0.3158975 -0.2069644
Stationary 1933.506 496.4677 307.5323 0.3158975 -0.2069644
Stationary 1933.521 496.4677 307.5323 0.3158975 -0.2069644
Stationary 1933.537 496.4677 307.5323 0.3158975 -0.2069644
Moved 1933.553 478.8412 319.4377 0.2750954 -0.1763433
Moved 1933.569 466.224 332.776 0.2458889 -0.1420371
Moved 1933.584 455.9961 345.5049 0.2222132 -0.1092982
Moved 1933.601 443.2727 358.7272 0.1927609 -0.07529011
Moved 1933.615 434.9395 369.5756 0.1734711 -0.04738788
Moved 1933.63 419.8264 387.7169 0.1384871 -0.0007282068
Moved 1933.646 408.3043 402.1196 0.1118155 0.03631588
Moved 1933.661 394.724 420.595 0.08037955 0.08383483
Moved 1933.677 383.198 433.9022 0.05369912 0.1180611
Moved 1933.691 374.2459 446.2904 0.03297667 0.1499238
Moved 1933.708 365.1836 455.8165 0.01199901 0.1744249
Moved 1933.723 360.7489 461.3139 0.001733502 0.1885645
Moved 1933.737 354.4344 469.0875 -0.01288335 0.2085582
Moved 1933.753 351.0622 473.9067 -0.02068927 0.2209533
Moved 1933.77 348.208 476.792 -0.02729629 0.2283744
Moved 1933.785 346.1619 479.8381 -0.03203258 0.2362089
Moved 1933.8 346 481.2805 -0.03240739 0.2399187
Moved 1933.815 345 482 -0.03472224 0.2417695
Moved 1933.831 345 482.8483 -0.03472224 0.2439513
Moved 1933.846 345 486.7362 -0.03472224 0.2539511
Ended 1933.861 345 486.7362 -0.03472224 0.2539511
Candidates 1933.985 12 the there threw they time tune turkey right tyler tight fighter higher
Began 1934.335 426 311 0.1527777 -0.1980453
Stationary 1934.355 426 311 0.1527777 -0.1980453
Moved 1934.37 426 325.8953 0.1527777 -0.1597345
Moved 1934.386 415.2278 344.6797 0.127842 -0.1114204
Moved 1934.401 410.8957 373.7999 0.117814 -0.0365229
Moved 1934.416 409.539 394.9146 0.1146737 0.0177843
Moved 1934.432 410 412.6189 0.1157407 0.06332017
Moved 1934.448 410 421.1391 0.1157407 0.08523426
Moved 1934.462 410 426.8428 0.1157407 0.09990437
Moved 1934.484 410 436.4157 0.1157407 0.1245259
Ended 1934.497 410 436.4157 0.1157407 0.1245259
Accept 1934.534 0 the
Began 1934.751 399 274 0.09027779 -0.2932099
Stationary 1934.771 399 274 0.09027779 -0.2932099
Stationary 1934.785 399 274 0.09027779 -0.2932099
Moved 1934.801 399 288.5941 0.09027779 -0.2556738
Moved 1934.817 399 304.5578 0.09027779 -0.2146148
Moved 1934.833 399 325.7933 0.09027779 -0.1599968
Moved 1934.851 399 342.1182 0.09027779 -0.1180088
Moved 1934.864 405.207 360.9608 0.1046458 -0.06954531
Moved 1934.879 408.5562 386.0061 0.1123987 -0.005128413
Moved 1934.896 410.4312 400.8716 0.1167389 0.03310608
Moved 1934.909 413.3086 416.6973 0.1233995 0.07380988
Moved 1934.925 417.4134 426.4301 0.1329013 0.09884264
