this is a very good idea
this is a very good idea
Basic
0.6 0.6
432 388.8
Moved 657.9548 262.3293 383.6647 -0.2260896 -0.01115061
Moved 657.9706 254 381 -0.2453704 -0.01800419
Moved 657.9873 250.4861 380.3715 -0.2535045 -0.01962065
Moved 658.0026 246.858 378.929 -0.2619027 -0.02333072
Moved 658.0166 241.9837 377.4919 -0.2731858 -0.02702713
Moved 658.0318 239.0981 376.049 -0.2798656 -0.03073822
Moved 658.0483 236.1127 376 -0.286776 -0.03086435
Moved 658.0634 234.1179 375 -0.2913936 -0.03343629
Moved 658.0784 232.6814 375 -0.2947189 -0.03343629
Moved 658.0935 231.6756 375 -0.2970473 -0.03343629
Stationary 658.1094 231.6756 375 -0.2970473 -0.03343629
Moved 658.1246 230.6255 375 -0.299478 -0.03343629
Stationary 658.1395 230.6255 375 -0.299478 -0.03343629
Ended 658.1556 231 375 -0.2986111 -0.03343629
Candidates 658.2919 12 is of odds odd ps pass psa pa if off pigs id
Began 658.645 399 325 0.09027779 -0.1620371
Stationary 658.6638 399 325 0.09027779 -0.1620371
Stationary 658.6783 399 325 0.09027779 -0.1620371
Moved 658.6944 399 338.9456 0.09027779 -0.126169
Moved 658.7102 399 355.6994 0.09027779 -0.08307774
Moved 658.7265 399 376.2767 0.09027779 -0.03015267
Moved 658.7402 399 398.2775 0.09027779 0.02643377
Moved 658.756 399 416.2826 0.09027779 0.07274317
Moved 658.771 399 436.6796 0.09027779 0.1252046
Moved 658.7877 399 447.323 0.09027779 0.1525797
Moved 658.8022 399 456.8776 0.09027779 0.1771541
Moved 658.8192 399 462.6942 0.09027779 0.1921147
Moved 658.8415 399 468.3173 0.09027779 0.2065772
Stationary 658.8522 399 468.3173 0.09027779 0.2065772
Moved 658.8632 399 471 0.09027779 0.2134772
Ended 658.8787 399 471 0.09027779 0.2134772
Accept 658.9077 0 is
Began 659.2762 293 390 -0.1550926 0.005143954
Stationary 659.2977 293 390 -0.1550926 0.005143954
Stationary 659.3095 293 390 -0.1550926 0.005143954
Stationary 659.3243 293 390 -0.1550926 0.005143954
Stationary 659.3411 293 390 -0.1550926 0.005143954
Stationary 659.3566 293 390 -0.1550926 0.005143954
Moved 659.3718 282.3838 390 -0.1796672 0.005143954
Moved 659.389 281.2058 390 -0.182394 0.005143954
Moved 659.4027 279.8557 390 -0.1855193 0.005143954
Moved 659.4184 278.3955 390 -0.1888993 0.005143954
Moved 659.4336 275.9124 390 -0.1946473 0.005143954
Moved 659.4489 273.021 390 -0.2013404 0.005143954
