a very traditional way to dress
a very traditional way to dress
Basic
0.6 0.6
432 388.8
Began 1245.621 154 355 -0.4768519 -0.08487654
Stationary 1245.639 154 355 -0.4768519 -0.08487654
Stationary 1245.654 154 355 -0.4768519 -0.08487654
Stationary 1245.669 154 355 -0.4768519 -0.08487654
Ended 1245.685 154 355 -0.4768519 -0.08487654
Candidates 1245.716 4 a s z d
Began 1246.192 413 274 0.1226852 -0.2932099
Stationary 1246.211 413 274 0.1226852 -0.2932099
Stationary 1246.224 413 274 0.1226852 -0.2932099
Stationary 1246.239 413 274 0.1226852 -0.2932099
Stationary 1246.257 413 274 0.1226852 -0.2932099
Stationary 1246.269 413 274 0.1226852 -0.2932099
Moved 1246.285 413 292.3668 0.1226852 -0.2459703
Moved 1246.302 413 305.5 0.1226852 -0.2121914
Moved 1246.318 413 315.9028 0.1226852 -0.1854353
Moved 1246.333 413 329.1878 0.1226852 -0.151266
Moved 1246.349 413 339.0054 0.1226852 -0.1260149
Moved 1246.364 413 347.0476 0.1226852 -0.1053302
Moved 1246.379 413 354.234 0.1226852 -0.08684668
Moved 1246.394 413 357.6108 0.1226852 -0.07816157
Moved 1246.411 413 361.9783 0.1226852 -0.06692816
Moved 1246.425 413 363.6158 0.1226852 -0.06271653
Moved 1246.441 413 368.5726 0.1226852 -0.04996774
Moved 1246.455 413 372.9169 0.1226852 -0.03879406
Moved 1246.471 413 379.9611 0.1226852 -0.02067613
Moved 1246.487 413 386.9221 0.1226852 -0.002772484
Moved 1246.504 413 392.7538 0.1226852 0.01222685
Moved 1246.52 425.8398 405.6998 0.1524069 0.04552425
Ended 1246.534 425.8398 405.6998 0.1524069 0.04552425
Accept 1246.559 0 a
Began 1246.854 376 206 0.03703703 -0.4681071
Stationary 1246.872 376 206 0.03703703 -0.4681071
Stationary 1246.887 376 206 0.03703703 -0.4681071
Stationary 1246.901 376 206 0.03703703 -0.4681071
Moved 1246.917 369.1771 212.8229 0.02124329 -0.4505585
Moved 1246.933 362.2018 220.9978 0.005096793 -0.4295324
Moved 1246.948 351.5148 232.4852 -0.01964172 -0.3999866
Moved 1246.965 342.4649 243.1688 -0.04059052 -0.3725081
Moved 1246.981 331.4964 256.8795 -0.0659805 -0.3372443
Moved 1246.995 320.565 272.6028 -0.09128466 -0.2968034
Moved 1247.01 309.3996 288.8256 -0.1171306 -0.2550783
Moved 1247.026 295.976 310.5455 -0.1482036 -0.1992142
Moved 1247.042 283.6795 332.8109 -0.1766677 -0.1419474
Moved 1247.058 272.8095 353.1072 -0.2018298 -0.0897449
Moved 1247.073 261.5 379 -0.2280093 -0.02314815
Moved 1247.088 254.9426 395.7377 -0.2431884 0.01990153
Moved 1247.103 249.0328 412.9016 -0.2568685 0.06404727
Moved 1247.119 243.9644 429.1068 -0.2686009 0.1057274
Moved 1247.134 239.6167 443.2775 -0.2786649 0.1421746
Moved 1247.15 235.8638 451.4087 -0.2873524 0.1630881
Moved 1247.165 231.9885 459.0192 -0.2963229 0.1826624
Moved 1247.18 229.1094 466.2265 -0.3029875 0.2011998
Moved 1247.195 226.8552 472.862 -0.3082056 0.2182665
Moved 1247.212 222.9586 481.0829 -0.3172255 0.2394106
Moved 1247.226 220.0976 489.7071 -0.323848 0.2615923
Moved 1247.242 217.2174 496.3478 -0.3305153 0.2786724
Moved 1247.257 215.6676 500.9973 -0.3341029 0.2906309
Moved 1247.272 214.2262 504.5476 -0.3374394 0.2997623
Moved 1247.289 214 507.4237 -0.3379629 0.3071597
Moved 1247.303 214 508.2395 -0.3379629 0.309258
Moved 1247.318 214 511.5134 -0.3379629 0.3176783
Moved 1247.334 214 514.4002 -0.3379629 0.3251033
Moved 1247.348 214 516.2648 -0.3379629 0.329899
Moved 1247.365 214 518.0707 -0.3379629 0.3345441
Moved 1247.381 217.6179 520.5505 -0.3295882 0.3409221
Moved 1247.396 223.0162 523.0081 -0.3170921 0.347243
Moved 1247.412 226.145 525.0967 -0.3098496 0.3526148
Moved 1247.429 233.5473 527.0189 -0.2927145 0.3575589
Moved 1247.443 241.6469 528.9412 -0.2739656 0.3625029
Moved 1247.458 251.629 531.7512 -0.2508588 0.3697303
Moved 1247.473 264.5453 532.8182 -0.22096 0.3724746
Moved 1247.488 277.3746 534.2639 -0.1912624 0.3761929
Moved 1247.503 286.9067 534 -0.1691974 0.3755144
Moved 1247.518 294.1023 534 -0.152541 0.3755144
Moved 1247.533 304.9048 534 -0.1275352 0.3755144
Moved 1247.55 314.7297 534 -0.1047924 0.3755144
Moved 1247.565 328.2205 534 -0.07356375 0.3755144
Moved 1247.581 343.4398 534 -0.03833383 0.3755144
Moved 1247.596 356.829 534 -0.007340163 0.3755144
Moved 1247.611 368.3563 524.0632 0.0193433 0.3499568
Moved 1247.635 383.7147 525 0.05489508 0.3523662
Stationary 1247.646 383.7147 525 0.05489508 0.3523662
Moved 1247.656 393.6115 522.2538 0.07780443 0.345303
Moved 1247.672 404.3176 519.2275 0.1025869 0.3375192
Moved 1247.689 412.9518 516.3494 0.1225735 0.3301167
Ended 1247.705 416 515 0.1296297 0.326646
Candidates 1247.825 12 very vary barry cry battery betty carry bay carey veto mary nato
Began 1248.178 435 224 0.1736111 -0.4218107
Stationary 1248.196 435 224 0.1736111 -0.4218107
Stationary 1248.212 435 224 0.1736111 -0.4218107
Stationary 1248.227 435 224 0.1736111 -0.4218107
Stationary 1248.242 435 224 0.1736111 -0.4218107
Moved 1248.258 435 247.3285 0.1736111 -0.3618095
Moved 1248.274 435 273.239 0.1736111 -0.2951671
