that is a very odd question
that is a very odd question
FixStart
0.6 0.6
432 388.8
Began 1283.787 398 308 0.08796295 -0.2057614
Stationary 1283.806 398 308 0.08796295 -0.2057614
Stationary 1283.821 398 308 0.08796295 -0.2057614
Moved 1283.836 390.3607 327.0982 0.07027944 -0.1566405
Moved 1283.851 385.8192 346.1169 0.05976657 -0.107724
Moved 1283.866 379.6704 372.8157 0.04553328 -0.03905426
Moved 1283.883 376.4578 398.8799 0.0380967 0.02798332
Moved 1283.898 374 416.5 0.03240744 0.07330243
Moved 1283.912 375 436.4653 0.03472219 0.1246536
Moved 1283.928 375 450.179 0.03472219 0.1599252
Moved 1283.944 375 462.8161 0.03472219 0.1924281
Moved 1283.959 375 471.7747 0.03472219 0.2154697
Moved 1283.974 375 476.6938 0.03472219 0.2281218
Moved 1283.99 375 479.0034 0.03472219 0.2340621
Moved 1284.005 375 480.442 0.03472219 0.2377623
Stationary 1284.019 375 480.442 0.03472219 0.2377623
Stationary 1284.037 375 480.442 0.03472219 0.2377623
Moved 1284.051 390.3448 470.2644 0.07024258 0.2115853
Moved 1284.067 400.8172 454.6897 0.09448428 0.171527
Moved 1284.082 415.911 427.7072 0.1294236 0.1021275
Moved 1284.097 428.4181 407.3032 0.1583753 0.04964801
Moved 1284.112 440.1565 385.8315 0.1855475 -0.005577503
Moved 1284.128 446.2231 374.7576 0.1995905 -0.03405967
Moved 1284.143 455.5252 355.6547 0.2211231 -0.08319281
Moved 1284.159 462.6502 342.8296 0.2376162 -0.116179
Moved 1284.175 469.2943 327.4113 0.2529962 -0.1558352
Moved 1284.191 475.0475 313.8812 0.2663137 -0.1906349
Moved 1284.207 479.3518 305.2963 0.2762774 -0.2127153
Moved 1284.221 482.7737 297.4526 0.2841983 -0.2328894
Moved 1284.239 484.9586 291.1243 0.2892559 -0.249166
Moved 1284.252 486.4148 285.3409 0.2926268 -0.2640408
Moved 1284.267 487.8552 282.2897 0.295961 -0.2718889
Moved 1284.286 488 279.412 0.2962963 -0.2792901
Moved 1284.299 488 277.5384 0.2962963 -0.2841091
Moved 1284.314 488 274.6685 0.2962963 -0.2914907
Moved 1284.329 472.2896 270.1699 0.2599297 -0.303061
Moved 1284.345 457.4917 267.3834 0.2256752 -0.3102281
Moved 1284.36 427.754 267 0.156838 -0.311214
Moved 1284.375 397.5327 267 0.08688132 -0.311214
Moved 1284.392 366.6106 277.6315 0.0153022 -0.2838696
Moved 1284.406 331.4884 287.0031 -0.06599914 -0.2597658
