the facts get in the way
the facts get in the way
Basic
0.6 0.6
432 388.8
Moved 487.8247 260.6167 493.4791 -0.230054 0.271294
Moved 487.8418 250.6685 500.3796 -0.2530822 0.2890422
Moved 487.8557 245.5742 507.2823 -0.2648746 0.306796
Moved 487.8706 241.2525 511.7474 -0.2748784 0.3182803
Moved 487.8859 237.5 514 -0.2835648 0.324074
Moved 487.9014 234.6638 518.0043 -0.29013 0.3343731
Moved 487.917 231.8949 520.0526 -0.2965396 0.3396413
Moved 487.9326 230.56 521.44 -0.2996296 0.3432098
Moved 487.9482 229.1726 522.8274 -0.3028412 0.3467781
Moved 487.9637 227.7885 524.2115 -0.3060451 0.3503381
Moved 487.9795 226.4006 525 -0.3092579 0.3523662
Ended 487.9967 226 526 -0.3101852 0.3549381
Candidates 488.1146 12 the there threw where turner urge she tune other gene emmett huge
Began 488.6708 365 402 0.01157403 0.03600815
Stationary 488.6884 365 402 0.01157403 0.03600815
Stationary 488.7079 365 402 0.01157403 0.03600815
Stationary 488.7185 365 402 0.01157403 0.03600815
Stationary 488.7345 365 402 0.01157403 0.03600815
Moved 488.75 340.0199 468.6136 -0.04625022 0.2073396
Ended 488.7662 328 563 -0.07407407 0.4501028
Accept 488.8112 0 the
Began 489.3315 332 367 -0.06481484 -0.05401234
Stationary 489.3516 332 367 -0.06481484 -0.05401234
Stationary 489.3655 332 367 -0.06481484 -0.05401234
Stationary 489.3811 332 367 -0.06481484 -0.05401234
Stationary 489.3971 332 367 -0.06481484 -0.05401234
Stationary 489.4126 332 367 -0.06481484 -0.05401234
Stationary 489.4275 332 367 -0.06481484 -0.05401234
Stationary 489.4421 332 367 -0.06481484 -0.05401234
Stationary 489.4578 332 367 -0.06481484 -0.05401234
Stationary 489.4732 332 367 -0.06481484 -0.05401234
Stationary 489.489 332 367 -0.06481484 -0.05401234
Moved 489.5052 332 355.3942 -0.06481484 -0.08386274
Moved 489.5205 332 352.4741 -0.06481484 -0.09137314
Moved 489.5351 332 349.7223 -0.06481484 -0.09845097
Moved 489.5513 332 346.9552 -0.06481484 -0.105568
Moved 489.5667 332 343.8257 -0.06481484 -0.1136171
Moved 489.5829 332 339.6295 -0.06481484 -0.1244098
Moved 489.5982 332 336.4809 -0.06481484 -0.132508
Moved 489.6124 332 334.7776 -0.06481484 -0.1368888
