this is a very good idea
this is a very good idea
FixStart
0.6 0.6
432 388.8
Began 1444.14 383 251 0.05324075 -0.3523664
Stationary 1444.16 383 251 0.05324075 -0.3523664
Stationary 1444.172 383 251 0.05324075 -0.3523664
Stationary 1444.186 383 251 0.05324075 -0.3523664
Stationary 1444.202 383 251 0.05324075 -0.3523664
Stationary 1444.218 383 251 0.05324075 -0.3523664
Stationary 1444.233 383 251 0.05324075 -0.3523664
Stationary 1444.248 383 251 0.05324075 -0.3523664
Stationary 1444.263 383 251 0.05324075 -0.3523664
Stationary 1444.279 383 251 0.05324075 -0.3523664
Stationary 1444.295 383 251 0.05324075 -0.3523664
Stationary 1444.311 383 251 0.05324075 -0.3523664
Stationary 1444.326 383 251 0.05324075 -0.3523664
Stationary 1444.341 383 251 0.05324075 -0.3523664
Moved 1444.357 383 262.8491 0.05324075 -0.3218904
Moved 1444.373 383 265.0942 0.05324075 -0.3161158
Moved 1444.389 383 269.0001 0.05324075 -0.3060696
Moved 1444.403 383 274.7552 0.05324075 -0.2912674
Moved 1444.419 371.9489 280.5256 0.02765943 -0.276426
Moved 1444.434 372.3607 284.4589 0.02861281 -0.2663096
Moved 1444.449 370.7493 290.0028 0.02488265 -0.2520504
Moved 1444.464 369.3091 295.7637 0.02154877 -0.2372334
Moved 1444.48 367.3019 300.3962 0.01690258 -0.2253185
Moved 1444.496 367 304.7244 0.01620372 -0.2141864
Moved 1444.511 366 309.0385 0.01388888 -0.2030903
Moved 1444.526 364.8785 314.486 0.01129289 -0.1890794
Moved 1444.542 365 318.2394 0.01157403 -0.1794256
Moved 1444.558 365 321.9973 0.01157403 -0.1697602
Moved 1444.572 365 329.2076 0.01157403 -0.1512151
Moved 1444.589 365 331.5 0.01157403 -0.145319
Moved 1444.605 365 336.812 0.01157403 -0.1316563
Moved 1444.619 365 341.1755 0.01157403 -0.1204335
Moved 1444.634 365 345.4987 0.01157403 -0.109314
Moved 1444.651 365 348.5228 0.01157403 -0.1015362
Moved 1444.666 365 352.4046 0.01157403 -0.09155203
Moved 1444.681 365 355.3018 0.01157403 -0.08410049
Moved 1444.699 365 358 0.01157403 -0.07716057
