the union will go on strike
the union will go on strike
FixStart
0.6 0.6
432 388.8
Began 2006.505 385 363 0.05787035 -0.06430049
Stationary 2006.525 385 363 0.05787035 -0.06430049
Stationary 2006.541 385 363 0.05787035 -0.06430049
Stationary 2006.554 385 363 0.05787035 -0.06430049
Stationary 2006.57 385 363 0.05787035 -0.06430049
Moved 2006.586 371.9737 384.0527 0.02771685 -0.01015267
Moved 2006.602 367.5688 397.4373 0.01752039 0.02427289
Moved 2006.617 365 414 0.01157403 0.06687239
Moved 2006.632 363.1374 423.7446 0.007262429 0.09193558
Moved 2006.648 364 442.5583 0.009259283 0.1403249
Moved 2006.664 364 458.7999 0.009259283 0.1820985
Moved 2006.68 364 467.9319 0.009259283 0.2055862
Moved 2006.695 364 479.7667 0.009259283 0.2360255
Moved 2006.71 364 487.8138 0.009259283 0.2567228
Moved 2006.725 373.6912 496.0737 0.03169268 0.2779672
Moved 2006.747 378.5024 506.0048 0.04282961 0.3035101
Stationary 2006.759 378.5024 506.0048 0.04282961 0.3035101
Moved 2006.772 380.2722 509.2722 0.04692634 0.3119139
Moved 2006.797 384.406 514.812 0.05649527 0.3261623
Moved 2006.811 385 515.7944 0.05787035 0.3286894
Moved 2006.826 386.1819 517.1818 0.0606061 0.3322577
Stationary 2006.837 386.1819 517.1818 0.0606061 0.3322577
Stationary 2006.85 386.1819 517.1818 0.0606061 0.3322577
Moved 2006.864 387 517.6388 0.06250004 0.333433
Moved 2006.88 387 518.5 0.06250004 0.335648
Moved 2006.896 388.2079 518 0.0652962 0.3343621
Stationary 2006.912 388 518 0.06481478 0.3343621
Stationary 2006.927 388 518 0.06481478 0.3343621
Moved 2006.942 390.7216 505.8352 0.0711149 0.3030739
Moved 2006.958 394.8384 489.7004 0.08064438 0.261575
Moved 2006.973 397.9765 474.1173 0.08790861 0.2214951
Moved 2006.989 402.0858 453.5708 0.0974209 0.1686491
Moved 2007.004 404.4738 435.9466 0.1029485 0.1233193
Moved 2007.02 406.1183 418.5807 0.1067553 0.07865411
Moved 2007.036 406 406.5 0.1064815 0.04758226
Moved 2007.05 407.8769 396.862 0.1108261 0.02279309
Moved 2007.068 409.2643 387.1501 0.1140377 -0.002186033
Moved 2007.08 409 381.5 0.113426 -0.01671818
Moved 2007.097 410 373.3661 0.1157407 -0.03763874
Moved 2007.114 411.1103 366.4484 0.118311 -0.05543124
Moved 2007.132 411 357.3704 0.1180555 -0.07877993
Moved 2007.148 411 354.5126 0.1180555 -0.08613013
Moved 2007.165 411 351.7278 0.1180555 -0.09329274
Stationary 2007.177 411 351.7278 0.1180555 -0.09329274
Moved 2007.191 411 350 0.1180555 -0.09773669
Stationary 2007.206 411 350 0.1180555 -0.09773669
Moved 2007.218 411 351 0.1180555 -0.09516476
Moved 2007.234 392.6867 369.0066 0.07566372 -0.04885143
Moved 2007.249 379.8943 385.8076 0.04605174 -0.005639041
Moved 2007.264 365.3162 412.9753 0.01230597 0.06423675
Moved 2007.28 350.9947 439.009 -0.02084553 0.1311959
Moved 2007.296 340.0474 459.5362 -0.04618664 0.1839922
Moved 2007.311 331 479.5 -0.06712963 0.2353394
Moved 2007.327 327.0603 489.4553 -0.07624938 0.2609447
Moved 2007.343 321.2929 501.4142 -0.08959983 0.2917033
Moved 2007.36 316.8695 510.3914 -0.09983902 0.3147927
Moved 2007.373 312.2265 519.6036 -0.1105869 0.3384867
Moved 2007.395 303.8769 533.8307 -0.1299145 0.375079
Stationary 2007.404 303.8769 533.8307 -0.1299145 0.375079
Moved 2007.417 299.7459 539.3388 -0.139477 0.3892458
Moved 2007.434 297.7706 542.3441 -0.1440495 0.3969753
Moved 2007.45 293.5 546.5 -0.1539352 0.4076646
Moved 2007.464 292.2104 549.7896 -0.1569204 0.4161255
Moved 2007.479 290.7158 551.2842 -0.1603802 0.4199697
Moved 2007.495 290 553.659 -0.162037 0.4260775
Ended 2007.51 290 554 -0.162037 0.4269547
Candidates 2007.631 12 the there threw tiger further trigger huge regret fighter higher tougher where
Began 2008.081 393 376 0.07638891 -0.03086435
Stationary 2008.097 393 376 0.07638891 -0.03086435
Stationary 2008.112 393 376 0.07638891 -0.03086435
Stationary 2008.128 393 376 0.07638891 -0.03086435
Moved 2008.142 393 390.478 0.07638891 0.006373487
Moved 2008.159 385.7661 403.3007 0.05964388 0.0393535
Moved 2008.174 384.5792 420.0494 0.05689631 0.08243141
Moved 2008.189 385 439.725 0.05787035 0.1330376
Moved 2008.205 385 455.2714 0.05787035 0.1730231
Moved 2008.221 385 470.5069 0.05787035 0.212209
Moved 2008.237 385 480.5031 0.05787035 0.2379193
Moved 2008.252 385 488.975 0.05787035 0.2597094
Moved 2008.267 385 494.5296 0.05787035 0.2739958
Moved 2008.283 392 496.5339 0.07407407 0.279151
Ended 2008.299 392 498.1511 0.07407407 0.2833104
Accept 2008.342 0 the
Began 2008.703 306 388 -0.125 -3.924585E-08
Stationary 2008.715 306 388 -0.125 -3.924585E-08
Stationary 2008.729 306 388 -0.125 -3.924585E-08
