travel at the speed of light
travel at the speed of light
FixStart
0.6 0.6
432 388.8
Moved 553.7111 385.9444 299.4583 0.06005645 -0.2277309
Moved 553.727 371.876 291.938 0.02749085 -0.247073
Moved 553.742 355.1083 287.2217 -0.01132329 -0.2592036
Moved 553.7579 336.9181 283.7346 -0.0534304 -0.2681723
Moved 553.7792 285.0727 281 -0.1734429 -0.2752058
Stationary 553.789 285.0727 281 -0.1734429 -0.2752058
Moved 553.8043 270.6834 281 -0.2067514 -0.2752058
Moved 553.8184 260.6119 281 -0.2300649 -0.2752058
Moved 553.8356 255.243 281 -0.242493 -0.2752058
Moved 553.8499 252.0432 281 -0.2499 -0.2752058
Moved 553.8668 249.2906 291.8377 -0.2562718 -0.2473311
Moved 553.8799 250 292.9128 -0.2546296 -0.2445659
Moved 553.8961 257.8906 308.6796 -0.2363645 -0.2040134
Moved 553.9119 271.7685 325.1221 -0.2042397 -0.1617229
Moved 553.9277 288.0796 341.5269 -0.1664824 -0.1195296
Moved 553.9427 306.1603 356.3402 -0.124629 -0.0814295
Moved 553.9583 320.2743 366.292 -0.09195775 -0.05583335
Moved 553.9731 334.8413 375.9899 -0.05823766 -0.03089018
Moved 553.9885 345.2907 382.8605 -0.0340492 -0.01321895
Moved 554.0052 358.2651 390.759 -0.004015962 0.007096239
Moved 554.0198 366 396 0.01388888 0.02057605
Moved 554.0355 370.6808 399.6808 0.02472421 0.03004329
Moved 554.0499 373.5543 401.2772 0.03137578 0.03414904
Moved 554.0657 376.327 402.6635 0.03779401 0.03771472
Moved 554.0815 379.0885 405.0885 0.04418631 0.04395186
Moved 554.0968 381.8716 406.4358 0.05062858 0.04741708
Moved 554.1122 383.769 407.3845 0.05502095 0.04985727
Ended 554.1281 390 410 0.06944448 0.05658428
Candidates 554.2785 12 at say day st fast gay assay ay fat sat are art
Began 554.6169 359 252 -0.002314796 -0.3497943
Stationary 554.6353 359 252 -0.002314796 -0.3497943
Stationary 554.6521 359 252 -0.002314796 -0.3497943
Stationary 554.6669 359 252 -0.002314796 -0.3497943
Moved 554.6816 359 262.1775 -0.002314796 -0.3236175
Moved 554.6976 359 282.3709 -0.002314796 -0.2716798
Moved 554.7131 359 323.191 -0.002314796 -0.1666898
Moved 554.7281 359 366.6821 -0.002314796 -0.05483015
Ended 554.7499 359 414 -0.002314796 0.06687239
Accept 554.787 0 at
Began 554.8778 355 258 -0.01157408 -0.3343622
Stationary 554.8972 355 258 -0.01157408 -0.3343622
Stationary 554.9133 355 258 -0.01157408 -0.3343622
Stationary 554.9293 355 258 -0.01157408 -0.3343622
Stationary 554.9439 355 258 -0.01157408 -0.3343622
Moved 554.959 355 270.3989 -0.01157408 -0.3024719
Moved 554.9751 355 291.7465 -0.01157408 -0.2475656
Moved 554.9906 350.4401 313.9827 -0.02212946 -0.1903739
Moved 555.0074 348 335.907 -0.0277778 -0.1339842
Moved 555.0251 348 350.0295 -0.0277778 -0.09766079
Moved 555.0368 348 358.1567 -0.0277778 -0.07675744
Moved 555.0519 348 363.2229 -0.0277778 -0.06372719
Moved 555.0676 358.2339 367.386 -0.004088134 -0.05301966
Moved 555.0831 357.6886 368.8443 -0.005350461 -0.04926877
Moved 555.0986 359.2381 370.2381 -0.001763751 -0.0456839
Moved 555.1139 363.8655 370 0.008947949 -0.04629637
Moved 555.1296 376.3817 347.5603 0.03792057 -0.1040116
Moved 555.145 384.3819 323.7906 0.05643954 -0.1651475
Moved 555.16 386.9021 303.2339 0.06227344 -0.2180198
Moved 555.1758 387 282.6959 0.06250004 -0.2708439
Moved 555.1902 387 261.9356 0.06250004 -0.3242397
Moved 555.2068 381.137 249.137 0.04892816 -0.3571581
Moved 555.2219 374.8681 239.3151 0.03441701 -0.3824202
Moved 555.2365 368.1115 228.1672 0.01877656 -0.4110925
Moved 555.2524 361.1569 221.1569 0.002677938 -0.4291235
Moved 555.2682 351.7705 216.7588 -0.01904984 -0.4404352
Moved 555.2878 339.8674 216 -0.04660334 -0.4423869
Moved 555.2996 326.4795 219.5131 -0.07759368 -0.4333512
Moved 555.3146 309.5876 232.6566 -0.1166954 -0.3995458
Moved 555.33 295.4611 246.5389 -0.1493957 -0.3638402
Moved 555.3455 283.0461 262.6924 -0.1781341 -0.3222933
Moved 555.36 267.0811 287.4323 -0.2150899 -0.2586617
Moved 555.3756 259.6024 302.8748 -0.232402 -0.2189434
Moved 555.3911 252.7223 320.9221 -0.2483281 -0.1725255
Moved 555.4088 250.3369 332.4841 -0.2538498 -0.1427879
Moved 555.4224 248.7924 343.6606 -0.257425 -0.1140415
Moved 555.4373 247.4137 353.1039 -0.2606164 -0.08975346
Moved 555.4527 247 360.3157 -0.2615741 -0.07120462
Moved 555.4684 247 366.9889 -0.2615741 -0.05404099
Moved 555.4832 245.6262 373.8689 -0.2647541 -0.03634551
Moved 555.4995 246 378.0075 -0.2638889 -0.02570093
Moved 555.5146 246 381.2571 -0.2638889 -0.01734282
Moved 555.5302 246 385.5 -0.2638889 -0.006430119
Moved 555.5452 246 387.7721 -0.2638889 -0.0005862153
Moved 555.5599 246 389.269 -0.2638889 0.003263803
Ended 555.5762 246 389.269 -0.2638889 0.003263803
Candidates 555.6911 12 the that there tube under give river these rice rubber ice threw
Began 556.001 332 237 -0.06481484 -0.3883744
Stationary 556.0156 332 237 -0.06481484 -0.3883744
Stationary 556.0269 332 237 -0.06481484 -0.3883744
Stationary 556.0386 332 237 -0.06481484 -0.3883744
Stationary 556.0573 332 237 -0.06481484 -0.3883744
Moved 556.0682 332 263.2141 -0.06481484 -0.3209516
Moved 556.0851 332 300.1849 -0.06481484 -0.2258618
Moved 556.1013 340.99 343.96 -0.04400457 -0.1132715
Moved 556.1179 344.5 383.5 -0.03587961 -0.01157415
Moved 556.1319 345.1517 403.1234 -0.03437112 0.03889751
Ended 556.1465 347 433 -0.0300926 0.1157406
Accept 556.1887 0 the
Began 556.3267 334 290 -0.06018519 -0.2520577
Stationary 556.3467 334 290 -0.06018519 -0.2520577
Stationary 556.3629 334 290 -0.06018519 -0.2520577
Stationary 556.3774 334 290 -0.06018519 -0.2520577
Moved 556.3913 324.3531 283.8611 -0.08251593 -0.2678471
Moved 556.4084 313.0303 279.2614 -0.1087262 -0.2796777
Moved 556.4233 297.3781 274.0945 -0.144958 -0.2929668
Moved 556.4383 279.3686 270.7281 -0.1866468 -0.3016254
Moved 556.4545 254.9695 267.8915 -0.2431262 -0.308921
Moved 556.47 234.6077 265.1477 -0.29026 -0.3159782
Moved 556.4857 221.6425 266 -0.320272 -0.3137861
Moved 556.5003 214.0022 266 -0.3379579 -0.3137861
Moved 556.5162 208.2376 266 -0.351302 -0.3137861
Moved 556.5325 205.0557 266 -0.3586673 -0.3137861
Moved 556.5513 203.633 266 -0.3619606 -0.3137861
Moved 556.5641 202.6739 266 -0.3641807 -0.3137861
Moved 556.5776 220.5667 288.9773 -0.3227623 -0.2546881
Moved 556.5933 255.7753 309.755 -0.2412608 -0.2012474
Moved 556.6094 311 338.5 -0.113426 -0.127315
Moved 556.6242 345.0772 350.5806 -0.03454357 -0.09624347
Moved 556.6396 363.4469 357.7103 0.007978977 -0.07790554
Moved 556.6539 387.2683 364.6083 0.06312112 -0.06016381
Moved 556.6702 411.6508 371.7315 0.1195621 -0.04184291
Moved 556.6859 453.4952 387.7709 0.2164242 -0.000589355
Moved 556.701 475.8276 396.6489 0.2681194 0.02224514
Moved 556.7164 486.4879 401.7439 0.292796 0.03534945
Moved 556.7318 493.5091 405.9055 0.3090488 0.04605309
Moved 556.7466 496.6889 408.3779 0.3164096 0.05241217
Moved 556.7622 497 410.0649 0.3171296 0.05675127
Moved 556.7772 497 411.4332 0.3171296 0.06027048
Moved 556.7934 497 413.8353 0.3171296 0.06644864
Moved 556.8083 483.559 415 0.2860163 0.06944436
Moved 556.8239 467.3991 416.3 0.2486091 0.0727881
Moved 556.8393 448.7348 416 0.2054047 0.07201634
Moved 556.8559 424.8243 416 0.1500562 0.07201634
Moved 556.8705 398.3947 405.8296 0.08887648 0.04585788
Moved 556.89 372.8269 407 0.02969195 0.04886827
Moved 556.903 356.0629 407 -0.0091136 0.04886827
Moved 556.9161 331.9068 405.717 -0.0650305 0.04556844
Moved 556.9326 317.0381 405 -0.09944871 0.04372424
Moved 556.9484 303.5343 405 -0.1307076 0.04372424
Moved 556.9634 295.3416 405 -0.1496721 0.04372424
Moved 556.9785 286.9174 405 -0.1691726 0.04372424
Moved 556.9935 281.2279 403.8069 -0.1823429 0.04065572
Moved 557.0091 277.5 404 -0.1909722 0.04115226
Moved 557.0249 274.4065 404 -0.1981332 0.04115226
Moved 557.0402 272.0609 404 -0.2035628 0.04115226
Moved 557.0552 269.3088 402.6544 -0.2099332 0.03769133
Moved 557.0706 268.2764 402.2764 -0.2123232 0.03671901
Moved 557.0859 266.9056 400.9056 -0.2154963 0.03319324
Moved 557.1014 267 396.5749 -0.2152778 0.02205472
Moved 557.1159 267 386.2054 -0.2152778 -0.004615862
Moved 557.1318 267 373.6515 -0.2152778 -0.03690461
Moved 557.1476 278.7424 357.3435 -0.1880964 -0.078849
Moved 557.163 282.0394 337.4829 -0.1804644 -0.1299308
Moved 557.1823 285.1313 322.3433 -0.1733071 -0.16887
Moved 557.1938 287.9058 309.9238 -0.1668847 -0.2008133
Moved 557.209 289.6439 298.2463 -0.1628613 -0.230848
Moved 557.225 290 290.9247 -0.162037 -0.2496791
Moved 557.2401 291.5 284.5 -0.1585648 -0.2662037
Moved 557.2547 292 282.0997 -0.1574074 -0.2723773
Moved 557.2709 293.0077 279.9922 -0.1550747 -0.2777978
Ended 557.287 294.3952 278.6048 -0.1518629 -0.2813663
Candidates 557.426 12 does south sports spots speed afford did sorts adopted spotted doors supports
Began 558.4548 340 314 -0.04629632 -0.1903292
Stationary 558.4738 340 314 -0.04629632 -0.1903292
Stationary 558.4892 340 314 -0.04629632 -0.1903292
Ended 558.5029 340 314 -0.04629632 -0.1903292
NextCandidatePanel 558.5485
Began 559.0386 346 256 -0.03240739 -0.3395062
Stationary 559.0587 346 256 -0.03240739 -0.3395062
Stationary 559.0726 346 256 -0.03240739 -0.3395062
Stationary 559.0874 346 256 -0.03240739 -0.3395062
Moved 559.1134 346 281.7145 -0.03240739 -0.2733679
Stationary 559.1243 346 281.7145 -0.03240739 -0.2733679
Moved 559.1367 334.322 319.3316 -0.05943984 -0.1766163
Moved 559.152 335.5 354.5 -0.05671298 -0.08616254
Ended 559.1655 336 375 -0.05555556 -0.03343629
Accept 559.1942 4 speed
Began 559.3619 308 270 -0.1203704 -0.303498
Stationary 559.3818 308 270 -0.1203704 -0.303498
Stationary 559.3981 308 270 -0.1203704 -0.303498
Stationary 559.4149 308 270 -0.1203704 -0.303498
Stationary 559.4286 308 270 -0.1203704 -0.303498
