players must know all the rules
players must know all the rules
Basic
0.6 0.6
432 388.8
Moved 286.2633 209.9948 401.9948 -0.3472342 0.03599485
Moved 286.2795 216.9375 407.55 -0.3311632 0.05028281
Moved 286.295 221.311 411.311 -0.3210393 0.05995632
Moved 286.3101 224.3242 414.3242 -0.3140643 0.06770629
Moved 286.3257 227.0919 416.0919 -0.3076576 0.0722528
Moved 286.3418 229.8767 418.8767 -0.3012112 0.07941536
Moved 286.3567 232.6421 420.321 -0.2948099 0.08313022
Moved 286.3715 233.5 423 -0.2928241 0.09002049
Moved 286.3876 235.7436 423.7436 -0.2876306 0.09193306
Moved 286.4027 238.2682 426.2682 -0.2817866 0.09842633
Moved 286.4187 239.5211 427.5211 -0.2788862 0.1016489
Moved 286.4398 242.298 430.298 -0.2724584 0.108791
Stationary 286.4512 242.298 430.298 -0.2724584 0.108791
Moved 286.4639 243.6851 431.6851 -0.2692475 0.1123586
Moved 286.4807 245.0808 433.0808 -0.2660166 0.1159486
Moved 286.4965 246.1165 434.1165 -0.2636192 0.1186124
Moved 286.5086 247.5 435.5 -0.2604167 0.1221707
Moved 286.5253 248.9303 436.9302 -0.2571059 0.1258493
Moved 286.5396 250.3128 437 -0.2539054 0.1260288
Moved 286.5543 251 438.7043 -0.2523148 0.1304123
Moved 286.5708 252.0912 439 -0.2497889 0.1311728
Moved 286.5863 253.4771 440.4771 -0.2465808 0.1349719
Stationary 286.6016 253.4771 440.4771 -0.2465808 0.1349719
Moved 286.617 254 441.9109 -0.2453704 0.1386597
Moved 286.6336 255.2972 442 -0.2423676 0.1388888
Moved 286.648 256.5 443.5 -0.2395834 0.1427468
Moved 286.6629 257.036 444.036 -0.2383426 0.1441255
Stationary 286.6784 257.036 444.036 -0.2383426 0.1441255
Moved 286.6931 258.3591 445.3591 -0.2352798 0.1475284
Moved 286.7092 259.1076 445 -0.2335471 0.1466049
Moved 286.7247 259 446.2408 -0.2337963 0.1497963
Stationary 286.7413 259 446.2408 -0.2337963 0.1497963
Moved 286.7555 260.3611 447.3611 -0.2306456 0.1526776
Moved 286.7714 261.2372 448.2372 -0.2286176 0.154931
Stationary 286.7869 261.2372 448.2372 -0.2286176 0.154931
Moved 286.8027 262 449.2464 -0.2268519 0.1575267
Moved 286.8167 263.5 449 -0.2233796 0.156893
Stationary 286.8333 263.5 449 -0.2233796 0.156893
Moved 286.8496 265.0829 450.0829 -0.2197155 0.1596783
Moved 286.866 265 451.473 -0.2199074 0.1632535
Moved 286.88 266.5 451 -0.2164352 0.162037
Moved 286.8948 267.1232 452.1232 -0.2149927 0.1649258
Moved 286.9096 268.6265 452.6265 -0.2115128 0.1662202
Moved 286.9256 269.5 453.5 -0.2094908 0.168467
Moved 286.9413 270.2033 454.2033 -0.2078627 0.1702759
Moved 286.9565 271.3192 454 -0.2052797 0.169753
Moved 286.9719 273.6493 455.8246 -0.1998859 0.1744461
Moved 286.9938 277.2021 457.601 -0.1916619 0.1790149
Stationary 287.0038 277.2021 457.601 -0.1916619 0.1790149
Moved 287.0169 278.9908 458.9908 -0.1875213 0.1825896
Moved 287.0328 280.3769 459 -0.1843128 0.1826131
Moved 287.0479 282.5273 460.7637 -0.1793348 0.1871493
Moved 287.0647 283.8788 461.8788 -0.1762064 0.1900173
Moved 287.0803 285.2271 463.2271 -0.1730855 0.1934853
Moved 287.0951 287.6186 464 -0.1675496 0.1954732
Moved 287.1107 289.0019 465.0019 -0.1643475 0.1980501
Moved 287.1264 290.3878 466.3878 -0.1611393 0.2016147
Moved 287.1414 291.7766 467.7766 -0.1579246 0.2051867
Moved 287.1565 293.1658 468 -0.1547089 0.2057612
Moved 287.1721 294.5 469.5 -0.1516204 0.2096193
Moved 287.1885 295.5999 469.6 -0.1490742 0.2098764
Moved 287.2036 296.9881 470.9881 -0.1458609 0.2134466
Moved 287.2173 298.3741 471 -0.1426525 0.2134772
Moved 287.2335 299.7601 472.7601 -0.1394443 0.2180043
Moved 287.2491 302.2985 474.1492 -0.1335684 0.2215772
Moved 287.2649 306.5 477 -0.1238426 0.2289094
Moved 287.2799 311.7242 479.8621 -0.1117497 0.2362707
Moved 287.295 317.103 482.0412 -0.0992986 0.2418755
Moved 287.3103 325.4751 487.65 -0.0799188 0.2563015
Moved 287.3271 332.8012 492.2008 -0.06296009 0.2680061
Moved 287.3407 339.9201 496.5521 -0.04648124 0.2791976
Moved 287.3559 348.8526 502.1411 -0.02580414 0.2935725
Moved 287.3715 356.7391 506.8261 -0.007548282 0.3056226
Moved 287.3881 362.3261 509.6631 0.005384584 0.3129194
Moved 287.4038 368.5 513.5 0.01967589 0.3227879
Moved 287.4191 374.9379 516.3627 0.03457844 0.330151
Moved 287.4345 381.884 520.5304 0.05065739 0.3408703
Moved 287.4491 386.6998 523.1332 0.06180505 0.3475647
Moved 287.471 395.022 527.6813 0.08106948 0.3592627
Stationary 287.4821 395.022 527.6813 0.08106948 0.3592627
Moved 287.4942 397.7245 529.7245 0.08732527 0.3645178
Moved 287.5106 399.1276 530 0.09057313 0.3652262
Stationary 287.5271 399.1276 530 0.09057313 0.3652262
Moved 287.54 399 531.2278 0.09027779 0.3683842
Stationary 287.5557 399 531.2278 0.09027779 0.3683842
Stationary 287.5735 399 531 0.09027779 0.3677982
Stationary 287.5863 399 531 0.09027779 0.3677982
Moved 287.6023 389.1626 531 0.06750603 0.3677982
Moved 287.6187 384.0369 531 0.05564094 0.3677982
Moved 287.6345 379.336 531 0.04475921 0.3677982
Moved 287.6492 372.3105 524.3622 0.02849638 0.3507257
Moved 287.6646 365.3105 522.6621 0.01229276 0.3463531
Moved 287.6804 356.3751 520.275 -0.008391042 0.3402135
Moved 287.6964 347.1965 518.8852 -0.02963766 0.3366388
Moved 287.7107 337.5827 517.5118 -0.0518918 0.3331065
Moved 287.7268 326.988 514.247 -0.07641657 0.3247093
Moved 287.7419 317.2654 511.5044 -0.0989228 0.3176553
Moved 287.7574 308.0142 510.7794 -0.1203375 0.3157904
Moved 287.773 298.1816 508.6233 -0.1430981 0.310245
Moved 287.788 287.392 506.924 -0.168074 0.3058745
Moved 287.8035 277.7657 504.0759 -0.1903571 0.2985491
Moved 287.8188 268.064 502.304 -0.2128149 0.2939917
Moved 287.8347 260.8299 500.766 -0.2295605 0.2900359
Moved 287.8496 254.8948 499.379 -0.243299 0.2864684
Moved 287.8651 249.8702 498.2175 -0.25493 0.2834813
Moved 287.8845 243.4689 495.7876 -0.2697479 0.2772314
Moved 287.8977 239.5232 496 -0.2788814 0.2777777
Moved 287.9107 237.1245 495 -0.2844341 0.2752057
Moved 287.9267 234.4909 495 -0.2905303 0.2752057
Moved 287.9436 234.3471 495 -0.2908633 0.2752057
Stationary 287.9575 234 495 -0.2916667 0.2752057
Stationary 287.9718 234 495 -0.2916667 0.2752057
Stationary 287.9872 234 495 -0.2916667 0.2752057
Stationary 288.0029 234 495 -0.2916667 0.2752057
Moved 288.0191 242.9317 495 -0.2709915 0.2752057
Moved 288.0349 250.3187 500.3187 -0.2538919 0.2888855
Moved 288.0497 260.3888 505.1111 -0.2305816 0.3012116
Moved 288.0645 272.902 506.4335 -0.2016158 0.3046129
Moved 288.0799 283.3232 508.8137 -0.1774925 0.3107347
Moved 288.0959 291.2129 509.8876 -0.1592295 0.3134968
Moved 288.1114 306.8085 511.2341 -0.1231285 0.31696
Moved 288.1257 315.3517 511 -0.1033526 0.3163579
Moved 288.1414 323.0436 511 -0.08554713 0.3163579
Moved 288.1579 328.5942 511 -0.07269865 0.3163579
Moved 288.1728 332.5607 511 -0.0635169 0.3163579
