want to join us for lunch
want to join us for lunch
FixStart
0.6 0.6
432 388.8
Began 172.7783 366 242 0.01388888 -0.3755144
Stationary 172.7952 366 242 0.01388888 -0.3755144
Stationary 172.8102 366 242 0.01388888 -0.3755144
Stationary 172.826 366 242 0.01388888 -0.3755144
Stationary 172.8416 366 242 0.01388888 -0.3755144
Moved 172.8581 354.2881 242 -0.013222 -0.3755144
Moved 172.8737 346.7985 249.5796 -0.03055895 -0.3560196
Moved 172.889 334.3979 264.7359 -0.05926406 -0.3170373
Moved 172.9045 323.9792 277.2249 -0.08338138 -0.2849153
Moved 172.9188 302.5031 304.496 -0.1330946 -0.2147737
Moved 172.9343 286.0991 326.6011 -0.1710669 -0.1579189
Moved 172.95 272.2057 342.0738 -0.2032276 -0.118123
Moved 172.9654 263.1035 349.2471 -0.2242974 -0.09967325
Moved 172.9808 252.7336 354.0999 -0.2483019 -0.08719157
Moved 172.9954 243.0391 355.423 -0.2707428 -0.08378872
Moved 173.0116 237 356.5 -0.2847222 -0.0810186
Moved 173.0275 231.823 356 -0.2967061 -0.0823046
Moved 173.0422 226.1649 356 -0.3098034 -0.0823046
Moved 173.0593 215.5833 343.5834 -0.3342978 -0.1142403
Moved 173.0732 199.2234 319.3609 -0.372168 -0.176541
Moved 173.0889 185.3896 293.1403 -0.4041907 -0.2439809
Moved 173.104 177.2903 258.1936 -0.4229391 -0.3338642
Moved 173.1194 174.8798 230.7166 -0.4285189 -0.4045357
Moved 173.1345 175 214.7202 -0.4282407 -0.4456784
Moved 173.1501 180.6741 197.7584 -0.4151061 -0.4893045
Moved 173.1653 194.5158 180.6295 -0.3830653 -0.5333604
Moved 173.1802 212.2865 160.0541 -0.3419294 -0.5862807
Moved 173.1965 231.9116 145.2123 -0.296501 -0.624454
Moved 173.2118 251.2906 132.1704 -0.2516422 -0.6579978
Moved 173.2278 267.687 122.6826 -0.2136876 -0.6824007
Moved 173.2421 281.013 116.8123 -0.1828403 -0.6974994
Moved 173.2602 294.7965 108.7659 -0.150934 -0.7181948
Moved 173.2728 312.3568 97.93433 -0.1102853 -0.7460536
Moved 173.2874 326.8997 84.10022 -0.07662103 -0.7816353
Moved 173.3048 338.0987 73.91541 -0.05069748 -0.8078306
Moved 173.3265 356.953 51.67517 -0.007053216 -0.8650329
Stationary 173.3369 356.953 51.67517 -0.007053216 -0.8650329
Moved 173.3492 360.3539 47.64612 0.0008190672 -0.8753958
Moved 173.3647 362.4103 46.7948 0.005579492 -0.8775852
Stationary 173.3798 362.4103 46.7948 0.005579492 -0.8775852
Stationary 173.3944 362 47 0.004629592 -0.8770577
Stationary 173.4109 362 47 0.004629592 -0.8770577
Moved 173.4268 362 64.60413 0.004629592 -0.8317796
Moved 173.4436 362 81.39075 0.004629592 -0.7886039
Moved 173.4585 362 123.0869 0.004629592 -0.6813607
Moved 173.4731 362 154.2644 0.004629592 -0.6011719
Moved 173.4898 350.9412 204.2351 -0.02096941 -0.4726464
Moved 173.5078 346.5032 240.4526 -0.03124267 -0.3794942
Moved 173.5203 344.2563 258.462 -0.03644372 -0.3331738
Moved 173.5356 340.2265 277.6096 -0.045772 -0.2839259
Moved 173.5514 337.061 289.4634 -0.05309954 -0.2534379
Moved 173.5661 332.9107 303.2977 -0.06270677 -0.2178557
Moved 173.5814 327.3313 317.1719 -0.07562205 -0.1821712
Moved 173.5977 324.9866 326.3779 -0.08104945 -0.158493
Moved 173.6121 319.6776 341.4755 -0.09333899 -0.1196618
Moved 173.6271 315.3898 352.6273 -0.1032643 -0.09097927
Moved 173.6424 312.2194 361.1547 -0.1106033 -0.06904665
Moved 173.6604 309.0661 369.8018 -0.1179026 -0.04680625
Moved 173.674 306.3068 376.7331 -0.1242899 -0.02897867
Moved 173.689 306 382.173 -0.125 -0.01498705
Moved 173.7046 306 384.6827 -0.125 -0.008532245
Ended 173.7213 306 386 -0.125 -0.005144111
Candidates 173.8553 12 wave want weaver teacher react range grave wander fact heavy act randy
Began 174.44 353 267 -0.01620372 -0.311214
Stationary 174.4604 353 267 -0.01620372 -0.311214
Stationary 174.4745 353 267 -0.01620372 -0.311214
Stationary 174.49 353 267 -0.01620372 -0.311214
Moved 174.5053 339.8816 267 -0.0465703 -0.311214
Moved 174.5204 312.7469 255.525 -0.1093821 -0.3407279
Moved 174.5372 270.5957 256.1929 -0.2069544 -0.33901
Moved 174.5524 225.7899 256 -0.3106716 -0.3395062
Moved 174.5675 200.417 256 -0.3694052 -0.3395062
Moved 174.5811 176.4637 256 -0.4248525 -0.3395062
Moved 174.5972 165.0182 256 -0.4513468 -0.3395062
Ended 174.6131 161 256 -0.4606481 -0.3395062
Accept 174.6719 1 want
Began 174.7473 315 189 -0.1041667 -0.5118313
Stationary 174.7675 315 189 -0.1041667 -0.5118313
Stationary 174.7813 315 189 -0.1041667 -0.5118313
Moved 174.7981 315 207.864 -0.1041667 -0.4633128
Moved 174.8156 315 224.2615 -0.1041667 -0.4211383
Moved 174.8293 315 259.8269 -0.1041667 -0.3296634
Moved 174.8439 315 286.2953 -0.1041667 -0.2615861
Moved 174.86 315 311.5 -0.1041667 -0.1967593
Moved 174.8828 315 330.2053 -0.1041667 -0.148649
