experience is hard to come by
experience is hard to come by
FixStart
0.6 0.6
432 388.8
Began 273.5389 380 399 0.04629632 0.02829214
Stationary 273.5696 380 399 0.04629632 0.02829214
Stationary 273.5809 380 399 0.04629632 0.02829214
Stationary 273.5895 380 399 0.04629632 0.02829214
Stationary 273.6021 380 399 0.04629632 0.02829214
Stationary 273.6178 380 399 0.04629632 0.02829214
Stationary 273.635 380 399 0.04629632 0.02829214
Moved 273.6493 366.5 399 0.0150463 0.02829214
Moved 273.6655 363.1344 411.8656 0.007255575 0.06138268
Moved 273.6807 352.3297 421.5865 -0.01775543 0.08638503
Moved 273.6969 344 431.5 -0.03703703 0.1118827
Moved 273.7118 335.2661 446.5565 -0.05725444 0.1506082
Moved 273.7269 326.5888 459.6168 -0.0773408 0.1841996
Moved 273.7426 318.9884 470.6821 -0.09493425 0.2126597
Moved 273.7587 312.9046 480.917 -0.1090172 0.2389839
Moved 273.7731 308.8773 487.9648 -0.1183396 0.257111
Moved 273.7881 304.5586 495.2552 -0.1283366 0.2758622
Moved 273.8037 301.5022 499.7466 -0.1354115 0.2874141
Moved 273.8194 297.6256 505.0616 -0.1443852 0.3010844
Moved 273.8368 294.7466 509.3801 -0.1510495 0.3121915
Moved 273.8494 291.8872 512.1128 -0.1576684 0.3192201
Moved 273.8649 288.8577 514.0712 -0.1646813 0.324257
Moved 273.8818 287.8939 516.2123 -0.1669124 0.329764
Moved 273.896 286.413 517.587 -0.1703402 0.3332998
Moved 273.9114 284.969 518 -0.1736829 0.3343621
Moved 273.9278 283.5261 519.4739 -0.1770229 0.3381529
Stationary 273.9425 283.5261 519.4739 -0.1770229 0.3381529
Moved 273.9581 283 520 -0.1782407 0.3395061
Moved 273.9727 282 521 -0.1805555 0.3420781
Stationary 273.9884 282 521 -0.1805555 0.3420781
Stationary 274.0037 282 521 -0.1805555 0.3420781
Stationary 274.0192 282 521 -0.1805555 0.3420781
Moved 274.0377 282 522.0584 -0.1805555 0.3448004
Stationary 274.0529 282 522.0584 -0.1805555 0.3448004
Stationary 274.0656 282 522 -0.1805555 0.3446501
Moved 274.0811 280.5 522 -0.1840278 0.3446501
Stationary 274.0963 280.5 522 -0.1840278 0.3446501
Moved 274.1116 278.909 512.181 -0.1877107 0.3193954
Moved 274.1274 277 494.5436 -0.1921296 0.2740319
Moved 274.1424 276.0288 473.4608 -0.1943778 0.2198064
Moved 274.1583 276 447.3299 -0.1944444 0.1525974
Moved 274.1734 276 412.1175 -0.1944444 0.06203055
Moved 274.1899 285.1568 385.454 -0.1732482 -0.006548367
Moved 274.2045 287.144 371.1357 -0.1686481 -0.04337538
Moved 274.2219 290.6482 357.1729 -0.1605367 -0.07928793
Moved 274.236 293.6735 343.9691 -0.1535335 -0.1132484
Moved 274.2505 295.7738 336.1308 -0.1486717 -0.1334085
