the postal service is very slow
the postal service is very slow
Basic
0.6 0.6
432 388.8
Moved 1573.41 201.5655 398.5219 -0.3667465 0.02706229
Moved 1573.425 200.0859 398 -0.3701714 0.02572008
Moved 1573.44 198.6471 398 -0.3735021 0.02572008
Moved 1573.455 197.5 398 -0.3761574 0.02572008
Stationary 1573.471 197.5 398 -0.3761574 0.02572008
Moved 1573.487 208.891 419.7819 -0.3497894 0.08174355
Moved 1573.502 225.7455 436.7455 -0.3107743 0.1253742
Moved 1573.517 246.5496 458.7862 -0.2626168 0.1820632
Moved 1573.533 263.772 475.772 -0.22275 0.225751
Moved 1573.548 279.1985 492.3184 -0.1870405 0.2683084
Moved 1573.563 293.3954 502.7471 -0.1541774 0.2951314
Moved 1573.58 303.6416 509.4277 -0.1304592 0.312314
Moved 1573.594 315.8187 516.4548 -0.1022715 0.3303879
Moved 1573.611 324 522 -0.08333336 0.3446501
Moved 1573.627 330.8616 524.9308 -0.06745 0.3521882
Moved 1573.641 335.2002 527.8001 -0.05740702 0.3595681
Moved 1573.657 337.6858 528 -0.05165333 0.3600822
Moved 1573.672 339.2744 529.2744 -0.04797602 0.3633599
Stationary 1573.689 339 529 -0.04861111 0.3626543
Moved 1573.702 340.5 529 -0.0451389 0.3626543
Moved 1573.717 340 529 -0.04629632 0.3626543
Moved 1573.733 324.6854 522.3568 -0.08174668 0.3455677
Moved 1573.751 309.8454 512.3702 -0.1160987 0.3198821
Moved 1573.767 289.7567 502.5628 -0.1626001 0.2946573
Moved 1573.781 263.387 487.2241 -0.2236411 0.2552058
Moved 1573.795 237.1012 469.7341 -0.2844881 0.2102214
Moved 1573.811 217.9281 455.5963 -0.3288702 0.1738588
Moved 1573.827 196.444 439.3489 -0.3786018 0.1320701
Moved 1573.841 181.9297 426.3367 -0.4121997 0.09860266
Moved 1573.856 171.9233 415.9233 -0.4353628 0.07181905
Moved 1573.872 165.6147 410.9611 -0.4499659 0.05905622
Moved 1573.887 163.2213 407.4425 -0.4555064 0.0500064
Moved 1573.902 160.562 405.781 -0.461662 0.045733
Moved 1573.917 161 404.774 -0.4606481 0.04314293
Moved 1573.936 161 404.2484 -0.4606481 0.04179099
Stationary 1573.952 161 404 -0.4606481 0.04115226
Moved 1573.963 190.043 404 -0.393419 0.04115226
Moved 1573.98 227.0167 404 -0.3078316 0.04115226
Moved 1573.995 276 404 -0.1944444 0.04115226
Moved 1574.012 320.4638 404 -0.09151891 0.04115226
Moved 1574.026 353.9587 401.8694 -0.01398439 0.03567232
Moved 1574.042 394.477 398.9523 0.07980793 0.0281693
Moved 1574.057 414.6497 397.0319 0.126504 0.02323005
Moved 1574.076 431.9005 394.1832 0.1664363 0.01590336
Moved 1574.088 447.0854 393.1595 0.2015867 0.01327044
Moved 1574.103 464.4947 393 0.2418859 0.01285996
Moved 1574.118 482.466 392 0.2834861 0.01028803
Moved 1574.134 498.2227 392 0.31996 0.01028803
Moved 1574.149 524.2026 392 0.3800987 0.01028803
Ended 1574.165 567 406 0.4791667 0.04629618
Candidates 1574.224 12 postal ideal lateral partial israel usual literal legal leadership oak portal distal
Began 1574.98 408 350 0.1111111 -0.09773669
Stationary 1574.998 408 350 0.1111111 -0.09773669
Stationary 1575.013 408 350 0.1111111 -0.09773669
Moved 1575.03 408 387.9608 0.1111111 -0.0001008226
Moved 1575.044 421.4428 434.7727 0.1422288 0.1203001
Moved 1575.059 443.4608 487.9215 0.1931962 0.2569997
Moved 1575.074 486.7574 561.1484 0.2934199 0.4453406
Ended 1575.09 486.7574 561.1484 0.2934199 0.4453406
Accept 1575.133 0 postal
Began 1575.503 251 373 -0.2523148 -0.03858032
Stationary 1575.522 251 373 -0.2523148 -0.03858032
Stationary 1575.536 251 373 -0.2523148 -0.03858032
Stationary 1575.551 251 373 -0.2523148 -0.03858032
Stationary 1575.566 251 373 -0.2523148 -0.03858032
Stationary 1575.586 251 373 -0.2523148 -0.03858032
Stationary 1575.599 251 373 -0.2523148 -0.03858032
Stationary 1575.614 251 373 -0.2523148 -0.03858032
Stationary 1575.629 251 373 -0.2523148 -0.03858032
Moved 1575.645 272.1482 394.1482 -0.2033607 0.01581318
Moved 1575.662 283.3748 405.3748 -0.1773731 0.04468831
Moved 1575.676 293.1289 416.1289 -0.1547942 0.07234797
Moved 1575.691 304.3714 427.3714 -0.1287698 0.1012638
Moved 1575.707 313.0532 437.0532 -0.1086732 0.1261654
Moved 1575.723 322.2808 445.2407 -0.08731306 0.1472239
Moved 1575.737 327.4651 451.5582 -0.07531216 0.1634725
Moved 1575.752 334.829 459.3948 -0.05826617 0.1836286
Moved 1575.769 341.0135 468.0203 -0.04395018 0.2058133
Moved 1575.784 343.8759 473.7517 -0.03732443 0.2205548
Moved 1575.798 347.7718 480.4296 -0.02830595 0.2377303
Moved 1575.814 350.6505 484.9758 -0.02164225 0.2494233
Moved 1575.829 351.7647 489.2942 -0.0190631 0.2605303
Moved 1575.845 353.8476 492.7714 -0.01424169 0.2694736
Moved 1575.861 355.3395 494.3395 -0.01078824 0.2735069
Moved 1575.878 356 498.3367 -0.009259283 0.2837877
Moved 1575.891 356 500.2136 -0.009259283 0.288615
Moved 1575.907 356 502.653 -0.009259283 0.2948892
Moved 1575.923 356 504.0917 -0.009259283 0.2985896
Moved 1575.938 356 505.5 -0.009259283 0.3022119
Moved 1575.953 356 507.4409 -0.009259283 0.3072039
Moved 1575.968 356 509 -0.009259283 0.3112139
Moved 1575.985 356 510.5047 -0.009259283 0.315084
Moved 1576 356 512.9434 -0.009259283 0.3213563
Moved 1576.014 356 515.7644 -0.009259283 0.328612
Moved 1576.04 347.2169 518.2547 -0.02959048 0.3350171
Stationary 1576.05 347.2169 518.2547 -0.02959048 0.3350171
Moved 1576.06 349 519.5 -0.02546296 0.3382201
Moved 1576.076 349 520.7618 -0.02546296 0.3414656
Moved 1576.092 349 522.1999 -0.02546296 0.3451643
Moved 1576.107 348 523.6415 -0.0277778 0.3488722
Stationary 1576.123 348 524 -0.0277778 0.3497942
Moved 1576.137 348 525.5133 -0.0277778 0.3536864
Moved 1576.153 348 526.9521 -0.0277778 0.357387
Stationary 1576.168 348 527 -0.0277778 0.3575102
Moved 1576.183 348 528 -0.0277778 0.3600822
Moved 1576.199 348 528.9919 -0.0277778 0.3626335
Stationary 1576.215 348 529 -0.0277778 0.3626543
Stationary 1576.23 348 529 -0.0277778 0.3626543
Moved 1576.246 348 530.2987 -0.0277778 0.3659945
Stationary 1576.261 348 530 -0.0277778 0.3652262
Moved 1576.278 346.9086 530 -0.03030414 0.3652262
Moved 1576.292 347 531.1933 -0.0300926 0.3682955
Stationary 1576.308 347 531 -0.0300926 0.3677982
Stationary 1576.325 347 531 -0.0300926 0.3677982
Stationary 1576.338 347 531 -0.0300926 0.3677982
Moved 1576.353 346 532.0176 -0.03240739 0.3704156
Stationary 1576.368 346 532 -0.03240739 0.3703703
Moved 1576.384 345.1075 532 -0.03447349 0.3703703
Stationary 1576.399 345 532 -0.03472224 0.3703703
Stationary 1576.415 345 532 -0.03472224 0.3703703
Moved 1576.431 344 532 -0.03703703 0.3703703
Stationary 1576.447 344 532 -0.03703703 0.3703703
Moved 1576.462 343.2217 532 -0.03883859 0.3703703
Stationary 1576.477 343 532 -0.03935183 0.3703703
Stationary 1576.492 343 532 -0.03935183 0.3703703
Moved 1576.508 342.1847 532 -0.04123906 0.3703703
Stationary 1576.523 342 532 -0.04166668 0.3703703
Stationary 1576.538 342 532 -0.04166668 0.3703703
Stationary 1576.554 342 532 -0.04166668 0.3703703
Moved 1576.569 340.5 532 -0.0451389 0.3703703
Stationary 1576.584 340.5 532 -0.0451389 0.3703703
Stationary 1576.6 340.5 532 -0.0451389 0.3703703
Moved 1576.623 341 533 -0.04398147 0.3729423
Stationary 1576.634 341 533 -0.04398147 0.3729423
Stationary 1576.647 341 533 -0.04398147 0.3729423
Stationary 1576.662 341 533 -0.04398147 0.3729423
Moved 1576.677 339.9043 533 -0.04651775 0.3729423
Stationary 1576.692 339.9043 533 -0.04651775 0.3729423
Stationary 1576.708 340 533 -0.04629632 0.3729423
Stationary 1576.724 340 533 -0.04629632 0.3729423
Stationary 1576.739 340 533 -0.04629632 0.3729423
Stationary 1576.754 340 533 -0.04629632 0.3729423
Stationary 1576.77 340 533 -0.04629632 0.3729423
Stationary 1576.787 340 533 -0.04629632 0.3729423
Stationary 1576.8 340 533 -0.04629632 0.3729423
Stationary 1576.816 340 533 -0.04629632 0.3729423
Stationary 1576.832 340 533 -0.04629632 0.3729423
Stationary 1576.847 340 533 -0.04629632 0.3729423
Moved 1576.862 339.2417 533 -0.04805167 0.3729423
Stationary 1576.879 339 533 -0.04861111 0.3729423
Stationary 1576.896 339 533 -0.04861111 0.3729423
Stationary 1576.909 339 533 -0.04861111 0.3729423
Stationary 1576.925 339 533 -0.04861111 0.3729423
Stationary 1576.941 339 533 -0.04861111 0.3729423
Stationary 1576.955 339 533 -0.04861111 0.3729423
Stationary 1576.971 339 533 -0.04861111 0.3729423
Stationary 1576.985 339 533 -0.04861111 0.3729423
Moved 1577 337.5988 533 -0.05185451 0.3729423
Moved 1577.02 336.1723 517.7228 -0.05515679 0.3336492
Moved 1577.033 334.7236 496.8538 -0.05851026 0.2799736
Moved 1577.048 335 457.7667 -0.05787035 0.1794409
Moved 1577.064 335 423.9733 -0.05787035 0.09252375
Moved 1577.078 348.8111 376.0555 -0.02590016 -0.03072142
Moved 1577.094 351.0672 349.9747 -0.0206777 -0.09780161
Moved 1577.11 356.5147 328.0698 -0.008067787 -0.1541416
