my watch fell in the water
my watch fell in the water
FixStart
0.6 0.6
432 388.8
Began 1318.111 406 490 0.1064815 0.2623456
Stationary 1318.13 406 490 0.1064815 0.2623456
Stationary 1318.147 406 490 0.1064815 0.2623456
Stationary 1318.159 406 490 0.1064815 0.2623456
Stationary 1318.175 406 490 0.1064815 0.2623456
Moved 1318.192 416.5 469 0.130787 0.2083333
Moved 1318.207 425.5394 456.5922 0.1517116 0.1764201
Moved 1318.222 441.7063 429.8228 0.189135 0.1075689
Moved 1318.24 449.5128 416.8121 0.2072054 0.074105
Moved 1318.253 463.7216 392.7974 0.2400961 0.01233886
Moved 1318.269 473.8765 372.1219 0.2636029 -0.04083876
Moved 1318.285 480.4983 360.5031 0.2789313 -0.07072268
Moved 1318.3 486.5175 349.8443 0.2928646 -0.09813716
Moved 1318.314 489.5087 342.7281 0.2997887 -0.1164399
Moved 1318.33 492.2614 338.1078 0.3061607 -0.1283236
Moved 1318.346 493.7447 334.766 0.3095941 -0.1369187
Moved 1318.361 495.0296 331.9409 0.3125684 -0.1441851
Moved 1318.376 495 329.184 0.3125 -0.1512759
Moved 1318.392 495 328.5 0.3125 -0.1530351
Moved 1318.407 495 327.9146 0.3125 -0.1545406
Stationary 1318.423 495 328 0.3125 -0.1543211
Moved 1318.438 480.5372 343.3956 0.2790214 -0.1147232
Moved 1318.453 470.8971 359.605 0.2567062 -0.07303238
Moved 1318.469 460.0996 377.9307 0.231712 -0.02589842
Moved 1318.483 442.8252 407.5269 0.1917249 0.05022335
Moved 1318.5 429.6842 432.6316 0.1613061 0.1147931
Moved 1318.514 422 451 0.1435185 0.162037
Moved 1318.531 414.5145 468.6623 0.126191 0.2074647
Moved 1318.547 406.2191 488.1553 0.1069888 0.257601
Moved 1318.56 400.3369 502.9895 0.09337237 0.2957548
Moved 1318.577 395.0878 517.1718 0.08122166 0.332232
Moved 1318.592 390.7169 536.4153 0.07110407 0.3817265
Moved 1318.616 386.1384 557.0313 0.06050557 0.4347511
Moved 1318.628 384.76 566.6797 0.05731493 0.4595672
Stationary 1318.639 384.76 566.6797 0.05731493 0.4595672
Stationary 1318.653 384.76 566.6797 0.05731493 0.4595672
Moved 1318.668 385 577.3689 0.05787035 0.4870598
Stationary 1318.683 385 577.3689 0.05787035 0.4870598
Moved 1318.7 385 583.8971 0.05787035 0.5038505
Moved 1318.716 385 592.7413 0.05787035 0.5265978
Moved 1318.731 385 596.8942 0.05787035 0.5372791
Moved 1318.746 385 599.6846 0.05787035 0.5444563
Ended 1318.761 385 601.073 0.05787035 0.5480272
Candidates 1318.927 12 me mr nt nr by nyt nmt ny mt my ne ng
Began 1319.326 435 349 0.1736111 -0.1003086
Stationary 1319.35 435 349 0.1736111 -0.1003086
Stationary 1319.364 435 349 0.1736111 -0.1003086
Stationary 1319.376 435 349 0.1736111 -0.1003086
Stationary 1319.394 435 349 0.1736111 -0.1003086
Stationary 1319.407 435 349 0.1736111 -0.1003086
Stationary 1319.423 435 349 0.1736111 -0.1003086
Stationary 1319.438 435 349 0.1736111 -0.1003086
Stationary 1319.453 435 349 0.1736111 -0.1003086
Stationary 1319.468 435 349 0.1736111 -0.1003086
Stationary 1319.484 435 349 0.1736111 -0.1003086
Stationary 1319.5 435 349 0.1736111 -0.1003086
Moved 1319.516 435 358 0.1736111 -0.07716057
Moved 1319.531 435 359.0808 0.1736111 -0.07438071
Stationary 1319.548 435 359 0.1736111 -0.07458848
Stationary 1319.561 435 359 0.1736111 -0.07458848
Moved 1319.577 425.4862 360.3591 0.1515884 -0.07109284
Moved 1319.592 427 360.6151 0.1550926 -0.07043446
Moved 1319.609 426.0006 361 0.1527792 -0.06944452
Stationary 1319.623 426 361 0.1527777 -0.06944452
Moved 1319.639 424.5466 361 0.1494135 -0.06944452
Moved 1319.655 425 362.5 0.150463 -0.06558649
Stationary 1319.669 425 362.5 0.150463 -0.06558649
Stationary 1319.684 425 362.5 0.150463 -0.06558649
Stationary 1319.7 425 362.5 0.150463 -0.06558649
Moved 1319.716 425 363.1436 0.150463 -0.06393103
Stationary 1319.731 425 363.1436 0.150463 -0.06393103
Ended 1319.747 425 363.1436 0.150463 -0.06393103
NextCandidatePanel 1319.791
Began 1321.192 455 392 0.2199073 0.01028803
Stationary 1321.211 455 392 0.2199073 0.01028803
Stationary 1321.226 455 392 0.2199073 0.01028803
Stationary 1321.243 455 392 0.2199073 0.01028803
Ended 1321.258 455 392 0.2199073 0.01028803
NextCandidatePanel 1321.316
Began 1321.872 466 392 0.2453704 0.01028803
Stationary 1321.893 466 392 0.2453704 0.01028803
Stationary 1321.904 466 392 0.2453704 0.01028803
Stationary 1321.919 466 392 0.2453704 0.01028803
Stationary 1321.934 466 392 0.2453704 0.01028803
Moved 1321.951 443.4368 392 0.1931407 0.01028803
Moved 1321.965 431.0103 392 0.1643757 0.01028803
Moved 1321.981 414.0594 392 0.1251376 0.01028803
Moved 1322.008 392.0309 400.3784 0.07414549 0.03183746
Moved 1322.019 381.9582 400 0.05082915 0.03086416
Stationary 1322.029 381.9582 400 0.05082915 0.03086416
Ended 1322.043 373 401 0.0300926 0.03343609
Accept 1322.085 9 my
Began 1322.409 441 373 0.1875 -0.03858032
Stationary 1322.428 441 373 0.1875 -0.03858032
Stationary 1322.444 441 373 0.1875 -0.03858032
Stationary 1322.458 441 373 0.1875 -0.03858032
Stationary 1322.474 441 373 0.1875 -0.03858032
Moved 1322.49 425.9714 381.2894 0.1527115 -0.01725986
Moved 1322.505 413.713 394.287 0.1243358 0.01617023
Moved 1322.521 400 405 0.09259263 0.04372424
Moved 1322.537 387.0614 418.5168 0.0626421 0.07848975
Moved 1322.551 372.5016 434.4482 0.02893885 0.1194656
Moved 1322.567 359.8752 449.8193 -0.0002889832 0.1590001
Moved 1322.582 351.6288 458.3712 -0.01937767 0.1809957
Moved 1322.598 344.483 466.6204 -0.035919 0.2022129
Moved 1322.612 338.5297 473.9406 -0.04969969 0.2210404
Moved 1322.628 334.3645 480.514 -0.05934134 0.2379474
Moved 1322.643 331.197 484.7374 -0.0666737 0.24881
Moved 1322.659 328.404 488.8939 -0.07313882 0.2595008
Moved 1322.675 326.315 492.3699 -0.07797445 0.2684411
Moved 1322.691 324.925 494.075 -0.08119201 0.2728264
Moved 1322.706 323.5384 495.4616 -0.08440197 0.276393
Moved 1322.721 323 496.8486 -0.08564815 0.2799604
Stationary 1322.736 323 497 -0.08564815 0.2803498
Moved 1322.751 321.5 497 -0.08912037 0.2803498
Stationary 1322.766 321.5 497 -0.08912037 0.2803498
Moved 1322.781 320.923 497 -0.09045596 0.2803498
Stationary 1322.798 320.923 497 -0.09045596 0.2803498
Moved 1322.812 319.1556 497 -0.09454727 0.2803498
Moved 1322.828 315.3385 479.9131 -0.103383 0.236402
Moved 1322.844 308.6091 464.0228 -0.1189603 0.1955319
Moved 1322.859 301.1535 446.3582 -0.1362188 0.150098
Moved 1322.875 295.9645 432.9078 -0.1482302 0.1155035
Moved 1322.89 284.8281 410.6563 -0.174009 0.0582722
Moved 1322.906 278.8614 398.1535 -0.1878208 0.0261149
Moved 1322.921 273.3437 383.1952 -0.2005933 -0.01235805
Moved 1322.938 270.3823 375.2253 -0.2074485 -0.03285679
Moved 1322.953 267.1703 366.5107 -0.2148837 -0.0552708
Moved 1322.968 264.4118 360.8237 -0.2212689 -0.06989805
Moved 1322.991 263.241 355.241 -0.2239792 -0.08425685
Moved 1323.005 263 353.8597 -0.2245371 -0.08780954
Stationary 1323.016 263 353.8597 -0.2245371 -0.08780954
Moved 1323.027 263 352.5 -0.2245371 -0.09130666
Stationary 1323.044 263 352.5 -0.2245371 -0.09130666
Moved 1323.059 263 353 -0.2245371 -0.09002065
Stationary 1323.073 263 353 -0.2245371 -0.09002065
Moved 1323.092 274.6186 360.3937 -0.1976421 -0.071004
Moved 1323.106 283.7484 367.5821 -0.1765084 -0.05251527
Moved 1323.121 311.3794 396.873 -0.1125477 0.02282154
Moved 1323.137 325.4644 409.4644 -0.07994339 0.05520675
Moved 1323.153 345.6649 430.9093 -0.033183 0.1103634
Moved 1323.167 363.2677 447.6317 0.007564029 0.1533737
Moved 1323.183 380.2175 463.1993 0.04679968 0.1934139
Moved 1323.2 395.3301 478.3301 0.08178274 0.2323306
Moved 1323.213 403 486 0.09953707 0.2520575
Moved 1323.229 410.7477 494.7477 0.1174715 0.2745568
Moved 1323.245 417.8636 501.8636 0.1339435 0.292859
Moved 1323.261 421.5 505.5 0.1423611 0.3022119
Moved 1323.275 422.9444 507.8887 0.1457045 0.3083557
Moved 1323.291 424.3278 509.3278 0.1489069 0.3120571
Moved 1323.307 425 510 0.150463 0.3137859
Stationary 1323.321 425 510 0.150463 0.3137859
Stationary 1323.337 425 510 0.150463 0.3137859
Stationary 1323.353 425 510 0.150463 0.3137859
Stationary 1323.368 425 510 0.150463 0.3137859
Moved 1323.384 414.4328 478.5447 0.1260018 0.2328824
Moved 1323.4 406.7721 453.2023 0.1082688 0.1677014
Moved 1323.414 397.3333 424 0.08641969 0.09259254
Moved 1323.43 392.057 402.228 0.07420599 0.0365946
Moved 1323.445 385.7706 377.7282 0.05965411 -0.02641929
Moved 1323.46 382.1905 360.1431 0.05136698 -0.07164864
Moved 1323.476 379.4461 347.5074 0.04501412 -0.1041476
