learn to walk before you run
learn to walk before you run
Basic
0.6 0.6
432 388.8
Began 1138.915 509 371 0.3449074 -0.04372435
Stationary 1138.936 509 371 0.3449074 -0.04372435
Moved 1138.95 500.9397 371 0.3262493 -0.04372435
Moved 1138.966 490.2755 371 0.3015636 -0.04372435
Moved 1138.982 479.0623 371 0.2756073 -0.04372435
Moved 1138.997 462.2792 390.9767 0.2367574 0.007655963
Moved 1139.014 449.6719 399.5521 0.2075739 0.02971209
Moved 1139.027 437 408.5 0.1782407 0.05272626
Moved 1139.042 422.9827 419.2427 0.1457933 0.08035679
Moved 1139.058 403.9599 433.8173 0.1017589 0.1178427
Moved 1139.074 390.8305 443.2429 0.07136692 0.1420856
Moved 1139.089 377.5944 452.0433 0.04072775 0.1647204
Moved 1139.107 362.5164 462.8062 0.005825162 0.1924027
Moved 1139.121 346.2674 469.0602 -0.03178835 0.2084882
Moved 1139.136 332.1036 475.9482 -0.06457508 0.2262041
Moved 1139.152 323.8838 480.0581 -0.08360241 0.2367748
Moved 1139.167 301.5485 487.0161 -0.1353043 0.2546709
Moved 1139.182 292.8549 489.5878 -0.1554285 0.2612854
Moved 1139.198 285.1554 491.1689 -0.1732515 0.2653521
Moved 1139.214 278.5 491 -0.1886574 0.2649176
Moved 1139.232 272.2507 492 -0.2031234 0.2674896
Moved 1139.243 265.5047 492 -0.2187392 0.2674896
Moved 1139.258 258 492 -0.2361111 0.2674896
Moved 1139.273 246.0021 468.2529 -0.2638841 0.2064118
Moved 1139.29 233.9933 449.364 -0.2916823 0.1578292
Moved 1139.304 224.5 428.5 -0.3136574 0.1041665
Moved 1139.32 220.2292 415.917 -0.3235434 0.07180288
Moved 1139.336 217.4896 406.2137 -0.3298851 0.04684605
Moved 1139.351 218 403.037 -0.3287037 0.03867534
Moved 1139.367 218 399.9337 -0.3287037 0.03069363
Stationary 1139.382 218 400 -0.3287037 0.03086416
Moved 1139.397 218 398.5554 -0.3287037 0.02714856
Moved 1139.413 230.3701 404.7727 -0.3000693 0.04313963
Moved 1139.429 246.1869 417.9881 -0.2634562 0.0771298
