if you were not so stupid
if you were not so stupid
Basic
0.6 0.6
432 388.8
Moved 417.7325 362 422.0884 0.004629592 0.08767591
Moved 417.7487 363.5 422 0.008101861 0.08744851
Ended 417.763 364.049 422 0.009372531 0.08744851
Accept 417.8097 1 p
Backspace 419.5949
Began 421.382 555 554 0.4513889 0.4269547
Stationary 421.4028 555 554 0.4513889 0.4269547
Stationary 421.4161 555 554 0.4513889 0.4269547
Stationary 421.4308 555 554 0.4513889 0.4269547
Stationary 421.4461 555 554 0.4513889 0.4269547
Moved 421.4613 543.4962 554 0.4247596 0.4269547
Moved 421.4771 538.0355 548.8121 0.4121192 0.4136114
Moved 421.4929 533.5367 546.1342 0.4017054 0.4067237
Moved 421.5085 526.7418 543.4967 0.3859763 0.39994
Moved 421.5246 519.5622 540.6249 0.369357 0.3925536
Moved 421.5404 509.6733 537.6209 0.3464659 0.3848274
Moved 421.5543 502.1794 534.7265 0.3291191 0.3773828
Moved 421.5701 493.5482 531.8494 0.3091394 0.369983
Moved 421.5861 487.9375 528.4844 0.2961517 0.361328
Moved 421.5998 482.3923 525.8354 0.2833155 0.3545148
Moved 421.6249 466 518.5 0.2453704 0.335648
Stationary 421.6376 466 518.5 0.2453704 0.335648
Moved 421.6483 458.2072 514.1243 0.2273315 0.3243938
Moved 421.6625 450.3781 510.1891 0.2092086 0.3142723
Moved 421.6772 443.7718 506.4631 0.1939162 0.3046889
Moved 421.6933 439.1411 503.4274 0.1831969 0.296881
Moved 421.7085 434 501 0.1712963 0.2906378
Moved 421.724 428.8928 497.5357 0.1594741 0.2817276
Moved 421.7409 424.3491 493.3491 0.1489562 0.2709595
Moved 421.7546 418.0186 489.0186 0.1343022 0.2598213
Moved 421.77 412.5865 485.7933 0.1217281 0.2515258
Moved 421.7873 407.839 481.3793 0.1107384 0.240173
Moved 421.802 403.0585 477.0585 0.09967247 0.2290598
Moved 421.8169 397.323 472.7422 0.08639573 0.2179584
Moved 421.8336 394.7187 469.7187 0.08036722 0.2101818
Moved 421.8472 387.9978 462.9978 0.06480972 0.1928955
Moved 421.863 380.8037 457.243 0.04815678 0.178094
Moved 421.8782 375.4994 450.6243 0.03587822 0.1610706
Moved 421.8945 368.4307 443.4307 0.01951556 0.1425686
Moved 421.9094 362.9666 436.2083 0.00686715 0.1239924
Moved 421.925 357.2118 427.8177 -0.00645409 0.1024119
Moved 421.9398 351.8657 422.8657 -0.0188295 0.08967501
Moved 421.9551 345.755 414.2583 -0.03297453 0.06753674
Moved 421.9709 341.4544 408.2726 -0.04292955 0.05214137
Moved 421.9873 336.1353 401.5137 -0.05524238 0.03475754
Moved 422.0021 331.8369 395.7825 -0.06519233 0.0200168
Moved 422.0163 327.5 391.5 -0.07523149 0.009002057
Moved 422.0346 326.0593 388.1187 -0.07856638 0.0003051758
Moved 422.0489 323.9741 384.9612 -0.08339326 -0.007816008
Moved 422.0638 322.5395 383.5394 -0.08671422 -0.01147274
Moved 422.0809 320.1835 380.2752 -0.09216791 -0.01986837
Ended 422.0954 319 378.5 -0.09490739 -0.02443423
Candidates 422.2462 12 of off if pig odd opioid pd pigs oops kid ps igg
Began 423.1533 419 413 0.1365741 0.06430033
Moved 423.1822 429.6609 413 0.1612522 0.06430033
Moved 423.1949 452.5897 413 0.214328 0.06430033
Stationary 423.2067 452.5897 413 0.214328 0.06430033
