that is a very odd question
that is a very odd question
FixStart
0.6 0.6
432 388.8
Moved 3208.657 372.4501 346.2505 0.02881964 -0.1073804
Moved 3208.674 373.5797 347.7393 0.0314346 -0.1035514
Moved 3208.689 375.0262 351.0524 0.03478289 -0.09502983
Moved 3208.705 375 353.9297 0.03472219 -0.08762956
Moved 3208.719 376 354.8953 0.03703703 -0.08514584
Ended 3208.735 376 355.5 0.03703703 -0.08359061
Accept 3208.78 0 that
Began 3208.994 332 222 -0.06481484 -0.4269547
Stationary 3209.013 332 222 -0.06481484 -0.4269547
Stationary 3209.026 332 222 -0.06481484 -0.4269547
Stationary 3209.042 332 222 -0.06481484 -0.4269547
Moved 3209.058 343.7327 235.2659 -0.03765588 -0.3928348
Moved 3209.073 358.533 252.4552 -0.003395776 -0.3486234
Moved 3209.09 376.0355 272.8747 0.03711909 -0.2961043
Moved 3209.105 387.5 288 0.06365737 -0.2572017
Moved 3209.121 402.6346 305.5615 0.09869119 -0.2120333
Moved 3209.136 418.1647 325.3005 0.1346404 -0.1612642
Moved 3209.151 427.8975 337.74 0.1571701 -0.1292696
Moved 3209.166 439.2604 351.8255 0.1834731 -0.09304156
Moved 3209.181 447.2715 362.9835 0.2020174 -0.06434303
Moved 3209.197 455.9483 375.4225 0.2221026 -0.03234965
Moved 3209.213 462.5 387.5 0.2372685 -0.001286047
Moved 3209.228 466.0357 392.0714 0.245453 0.01047174
Moved 3209.243 469.2346 397.3519 0.2528579 0.02405323
Moved 3209.26 471.5605 401.6816 0.2582419 0.03518924
Moved 3209.274 473.0005 405.001 0.2615752 0.04372679
Moved 3209.29 474.4434 407.8868 0.2649152 0.05114908
Moved 3209.305 474 408.8784 0.2638889 0.05369943
Moved 3209.321 474 409.5 0.2638889 0.05529835
Moved 3209.336 474 410.1882 0.2638889 0.05706834
Stationary 3209.351 474 410 0.2638889 0.05658428
Moved 3209.367 465.9212 410 0.245188 0.05658428
Moved 3209.383 447.5808 397.8195 0.2027332 0.02525592
Moved 3209.398 421.4039 380.918 0.1421387 -0.01821494
Moved 3209.414 389.9717 357.7976 0.06937901 -0.07768104
Moved 3209.428 364.7616 340.1486 0.01102229 -0.1230745
Moved 3209.443 347.9988 328.6241 -0.02778058 -0.1527157
Moved 3209.459 320.6752 308.9266 -0.0910296 -0.2033781
Moved 3209.475 301.5532 295.6649 -0.1352934 -0.2374874
Moved 3209.491 286.0523 285.5366 -0.1711752 -0.2635376
Moved 3209.507 274.4738 278.2708 -0.1979774 -0.2822255
Moved 3209.522 264.4585 271.1846 -0.2211609 -0.3004511
Moved 3209.537 256.9401 266.5641 -0.2385645 -0.3123352
Moved 3209.552 248.312 262.156 -0.2585371 -0.3236729
Moved 3209.567 239.6724 257.8362 -0.278536 -0.3347834
Moved 3209.583 232.6415 254.3208 -0.2948114 -0.3438252
Moved 3209.598 228.172 251.448 -0.3051575 -0.3512141
Moved 3209.614 222.8508 249.2836 -0.3174751 -0.356781
Moved 3209.629 219.6914 247.8457 -0.3247885 -0.3604792
Moved 3209.645 215.8196 244.8196 -0.333751 -0.3682625
Moved 3209.66 212.6798 242.4532 -0.341019 -0.3743487
Moved 3209.675 210.8562 240.8562 -0.3452402 -0.3784563
Moved 3209.69 208.4212 239.4211 -0.3508769 -0.3821473
Moved 3209.708 206.9824 237.9824 -0.3542075 -0.3858477
Moved 3209.721 205.5437 238 -0.3575378 -0.3858025
Ended 3209.736 206 237 -0.3564815 -0.3883744
Candidates 3209.918 12 is its his hits ita us good puts hours gotta irs id
Began 3210.191 356 245 -0.009259283 -0.3677984
Stationary 3210.201 356 245 -0.009259283 -0.3677984
Stationary 3210.214 356 245 -0.009259283 -0.3677984
Stationary 3210.229 356 245 -0.009259283 -0.3677984
Stationary 3210.245 356 245 -0.009259283 -0.3677984
Moved 3210.261 360.1771 265.3542 0.0004099806 -0.315447
Moved 3210.277 366.8989 285.5617 0.01596957 -0.263473
Moved 3210.3 376.8463 321.3854 0.03899614 -0.1713338
Stationary 3210.311 376.8463 321.3854 0.03899614 -0.1713338
Moved 3210.322 379.8458 337.0746 0.04593929 -0.1309811
Moved 3210.338 381.3662 347.5634 0.04945874 -0.1040037
Moved 3210.353 383.5953 359.1788 0.05461871 -0.07412852
