do you prefer a window seat
do you prefer a window seat
FixStart
0.6 0.6
432 388.8
Began 990.123 540 431 0.4166667 0.1105966
Stationary 990.141 540 431 0.4166667 0.1105966
Stationary 990.1573 540 431 0.4166667 0.1105966
Stationary 990.1702 540 431 0.4166667 0.1105966
Moved 990.1868 517.8977 431 0.3655039 0.1105966
Moved 990.2028 505.4455 431 0.3366793 0.1105966
Moved 990.2177 480.2347 431 0.2783211 0.1105966
Moved 990.2335 455.3215 431 0.2206515 0.1105966
Moved 990.2498 437.0893 421.7064 0.1784475 0.08669323
Moved 990.2626 405.3857 417.231 0.1050594 0.07518242
Moved 990.2789 386.2921 414.0487 0.06086141 0.06699758
Moved 990.2957 371.0061 409.9108 0.02547711 0.05635481
Moved 990.3103 360.7755 408.5073 0.001795093 0.05274498
Moved 990.3254 353.2909 408 -0.01553029 0.05144025
Moved 990.3411 348.9496 408 -0.02557968 0.05144025
Moved 990.3588 347 408 -0.0300926 0.05144025
Stationary 990.3733 347 408 -0.0300926 0.05144025
Moved 990.3878 348 408 -0.0277778 0.05144025
Moved 990.4037 354.7607 414.7607 -0.01212811 0.06882879
Moved 990.4185 372.8481 424.9241 0.02974103 0.09496927
Moved 990.4359 407.9121 440.6848 0.1109076 0.1355059
Moved 990.4501 453.731 460.599 0.21697 0.1867257
Moved 990.4651 491.7582 476.1608 0.3049959 0.2267509
Moved 990.4798 510.8472 482.7626 0.3491833 0.243731
Moved 990.4962 539.3765 496.5341 0.4152234 0.2791515
Moved 990.5111 556.9648 507.6432 0.4559371 0.3077243
Moved 990.5257 572.1873 517.301 0.4911744 0.3325643
Moved 990.5414 583.885 523.3629 0.5182524 0.3481554
Moved 990.5579 593.6232 528.9276 0.5407946 0.3624678
Moved 990.5713 601.4567 533.8425 0.5589275 0.3751093
Moved 990.5876 605.2808 537.2808 0.5677796 0.3839526
Moved 990.6039 609.2068 539.069 0.5768677 0.3885519
Moved 990.6179 611.8972 541.8972 0.5830954 0.3958261
Moved 990.6332 615.507 544.6714 0.5914514 0.4029613
Moved 990.6485 618.4394 547.4394 0.5982393 0.4100806
Moved 990.6638 621.2097 549.6049 0.6046522 0.4156503
Moved 990.6799 623.9789 551.9789 0.6110624 0.4217564
Moved 990.6946 625.3732 553.3732 0.6142897 0.4253425
Moved 990.7113 626.3139 553 0.6164674 0.4243826
Moved 990.7255 627 554 0.6180555 0.4269547
Ended 990.7416 627 554 0.6180555 0.4269547
Candidates 990.8312 12 gao ai say day gay assay daddy at ago so ay fast
Began 991.3119 466 344 0.2453704 -0.1131688
Stationary 991.3276 466 344 0.2453704 -0.1131688
Stationary 991.343 466 344 0.2453704 -0.1131688
Stationary 991.3572 466 344 0.2453704 -0.1131688
Stationary 991.3716 466 344 0.2453704 -0.1131688
Stationary 991.3974 466 344 0.2453704 -0.1131688
Stationary 991.4077 466 344 0.2453704 -0.1131688
Stationary 991.4188 466 344 0.2453704 -0.1131688
Stationary 991.4348 466 344 0.2453704 -0.1131688
Stationary 991.4509 466 344 0.2453704 -0.1131688
Stationary 991.4659 466 344 0.2453704 -0.1131688
Stationary 991.4804 466 344 0.2453704 -0.1131688
Stationary 991.497 466 344 0.2453704 -0.1131688
Stationary 991.5112 466 344 0.2453704 -0.1131688
Stationary 991.5269 466 344 0.2453704 -0.1131688
Stationary 991.5427 466 344 0.2453704 -0.1131688
Stationary 991.5582 466 344 0.2453704 -0.1131688
Stationary 991.573 466 344 0.2453704 -0.1131688
Stationary 991.5894 466 344 0.2453704 -0.1131688
Stationary 991.6049 466 344 0.2453704 -0.1131688
Stationary 991.6207 466 344 0.2453704 -0.1131688
Moved 991.6343 466 353.1709 0.2453704 -0.0895811
Stationary 991.6531 466 353.1709 0.2453704 -0.0895811
Stationary 991.668 466 353.1709 0.2453704 -0.0895811
Moved 991.6798 466 354.0208 0.2453704 -0.0873951
Stationary 991.6973 466 354.0208 0.2453704 -0.0873951
Stationary 991.7131 466 354.0208 0.2453704 -0.0873951
Stationary 991.7289 466 354.0208 0.2453704 -0.0873951
Stationary 991.7452 466 354.0208 0.2453704 -0.0873951
Stationary 991.7561 466 354.0208 0.2453704 -0.0873951
Moved 991.772 466 355.1026 0.2453704 -0.08461265
Stationary 991.7876 466 355.1026 0.2453704 -0.08461265
Stationary 991.8038 466 355.1026 0.2453704 -0.08461265
Stationary 991.8186 466 355 0.2453704 -0.08487654
Ended 991.8348 466 355 0.2453704 -0.08487654
NextCandidatePanel 991.8805
Began 992.6237 475 404 0.2662037 0.04115226
Stationary 992.6364 475 404 0.2662037 0.04115226
Stationary 992.6524 475 404 0.2662037 0.04115226
Stationary 992.667 475 404 0.2662037 0.04115226
Stationary 992.6815 475 404 0.2662037 0.04115226
Ended 992.6974 475 404 0.2662037 0.04115226
NextCandidatePanel 992.7579
Began 993.529 447 392 0.2013889 0.01028803
Ended 993.5467 447 392 0.2013889 0.01028803
NextCandidatePanel 993.5897
Began 994.2681 435 385 0.1736111 -0.007716127
Stationary 994.2856 435 385 0.1736111 -0.007716127
Stationary 994.3044 435 385 0.1736111 -0.007716127
Ended 994.3145 435 385 0.1736111 -0.007716127
NextCandidatePanel 994.3602
Began 994.423 444 386 0.1944444 -0.005144111
Stationary 994.4478 444 386 0.1944444 -0.005144111
Ended 994.4584 444 386 0.1944444 -0.005144111
Cancel 994.4825
Began 994.9627 487 377 0.2939814 -0.02829226
Stationary 994.9797 487 377 0.2939814 -0.02829226
Stationary 994.9937 487 377 0.2939814 -0.02829226
Stationary 995.0098 487 377 0.2939814 -0.02829226
Stationary 995.0248 487 377 0.2939814 -0.02829226
Moved 995.0425 474.2112 377 0.2643777 -0.02829226
Moved 995.0562 461.5 377 0.2349537 -0.02829226
Moved 995.0711 446.17 377 0.1994675 -0.02829226
Moved 995.0869 434.5133 377 0.1724846 -0.02829226
Moved 995.1022 414.3992 377 0.1259241 -0.02829226
