he is just like everyone else
he is just like everyone else
FixStart
0.6 0.6
432 388.8
Moved 1834.883 435.1975 395 0.1740683 0.01800408
Moved 1834.899 441.0104 395 0.1875241 0.01800408
Moved 1834.914 444.3759 395 0.1953147 0.01800408
Moved 1834.929 448.2374 395 0.2042533 0.01800408
Moved 1834.945 449.814 395 0.2079027 0.01800408
Moved 1834.96 451.2074 395 0.2111282 0.01800408
Moved 1834.976 452 404.5293 0.2129629 0.04251358
Moved 1834.991 452 426.0787 0.2129629 0.09793901
Moved 1835.006 452 443 0.2129629 0.1414608
Moved 1835.022 452 459.446 0.2129629 0.1837602
Moved 1835.043 441.5 492.5 0.1886574 0.2687756
Stationary 1835.054 441.5 492.5 0.1886574 0.2687756
Moved 1835.067 444 507.442 0.1944444 0.3072067
Moved 1835.084 442.6235 520.3888 0.191258 0.3405061
Moved 1835.099 441.1847 531.3378 0.1879275 0.368667
Moved 1835.114 439.746 540.5242 0.1845972 0.3922946
Moved 1835.132 436.6144 546.7712 0.1773482 0.4083619
Moved 1835.146 432.5956 552.5392 0.1680454 0.4231976
Moved 1835.161 431.5 556.5 0.1655093 0.4333847
Moved 1835.176 426.4152 558.2924 0.153739 0.4379947
Moved 1835.192 418.4658 559 0.1353374 0.4398148
Moved 1835.208 405.5 559 0.1053241 0.4398148
Moved 1835.222 384.5044 545.4708 0.05672316 0.4050173
Moved 1835.238 362.8641 532.3185 0.006629924 0.3711895
Moved 1835.253 340.9569 513.6558 -0.04408131 0.3231888
Moved 1835.269 320.9639 497.8288 -0.09036133 0.2824814
Moved 1835.285 309.4239 485.4238 -0.1170744 0.2505756
Moved 1835.3 286.9989 462.9989 -0.168984 0.1928983
Moved 1835.315 272.1461 448.1462 -0.2033654 0.1546969
Moved 1835.331 257.5014 433.5014 -0.2372652 0.1170303
Moved 1835.345 244.5298 420.5298 -0.2672921 0.08366726
Moved 1835.361 235.1553 410.7609 -0.2889922 0.05854139
Moved 1835.377 223.7249 401.7936 -0.3154517 0.03547735
Moved 1835.391 217.4673 396.5561 -0.3299367 0.02200637
Moved 1835.406 207.118 389.2708 -0.3538935 0.003268512
Moved 1835.423 198.9289 384.9644 -0.3728498 -0.007807649
Moved 1835.438 190.2963 380.6481 -0.3928327 -0.0189092
Moved 1835.453 185.4436 378.2218 -0.4040657 -0.02514968
Moved 1835.469 179.7176 376.6794 -0.4173203 -0.02911689
Moved 1835.486 177.239 375.239 -0.423058 -0.0328217
Moved 1835.5 175.1613 375 -0.4278675 -0.03343629
Stationary 1835.515 175 375 -0.4282407 -0.03343629
Stationary 1835.532 175 375 -0.4282407 -0.03343629
Moved 1835.545 175 383.5635 -0.4282407 -0.01141089
Moved 1835.561 201.2067 401.2338 -0.3675771 0.03403754
Moved 1835.577 224.6022 419.2252 -0.3134208 0.08031174
Moved 1835.592 251.5 440.5 -0.2511574 0.1350308
Moved 1835.607 269.0616 451.3744 -0.2105055 0.1629999
Moved 1835.625 289.1454 464.7635 -0.1640154 0.1974371
Moved 1835.64 306.6776 476.613 -0.1234315 0.2279139
Moved 1835.653 321.604 487.6832 -0.08887956 0.2563868
Moved 1835.669 333.1947 497.7953 -0.06204938 0.2823953
Ended 1835.685 350 511 -0.02314816 0.3163579
Candidates 1835.837 12 just first usat host goat pay past list house literary ghost pray
Began 1836.313 401 408 0.09490739 0.05144025
Stationary 1836.334 401 408 0.09490739 0.05144025
Stationary 1836.348 401 408 0.09490739 0.05144025
Moved 1836.362 406.3089 431.1346 0.1071966 0.1109429
Moved 1836.378 411.5895 448.1617 0.1194202 0.1547368
Moved 1836.393 416.2659 471.4945 0.1302452 0.2147492
Ended 1836.409 419.1496 496.3461 0.1369203 0.2786678
Accept 1836.47 0 just
Began 1836.93 365 416 0.01157403 0.07201634
Stationary 1836.948 365 416 0.01157403 0.07201634
Stationary 1836.963 365 416 0.01157403 0.07201634
Stationary 1836.978 365 416 0.01157403 0.07201634
Moved 1836.994 382.1709 416 0.05132158 0.07201634
Moved 1837.01 395.3499 416 0.08182853 0.07201634
Moved 1837.025 414.3593 416 0.1258318 0.07201634
Moved 1837.041 430.1637 416 0.1624159 0.07201634
Moved 1837.056 451.7391 416 0.2123589 0.07201634
Moved 1837.072 471.6033 416 0.258341 0.07201634
Moved 1837.087 492.9644 416 0.307788 0.07201634
Moved 1837.102 504.3673 416 0.3341837 0.07201634
Moved 1837.118 516.7938 416 0.3629485 0.07201634
Moved 1837.135 526.7514 408.4641 0.3859986 0.05263403
Moved 1837.148 533.7326 406.507 0.4021588 0.04760012
Moved 1837.164 539.4476 404.8881 0.4153878 0.04343641
Moved 1837.18 543.6633 405 0.4251464 0.04372424
Moved 1837.195 546.9782 405 0.4328199 0.04372424
Moved 1837.21 549.8476 405 0.4394621 0.04372424
Moved 1837.227 550 414.6061 0.4398148 0.06843123
Moved 1837.242 551.297 421.4851 0.4428171 0.08612417
Moved 1837.256 551 430.5 0.4421297 0.1093106
Moved 1837.272 551 442.4379 0.4421297 0.140015
Moved 1837.288 538.1378 456.8622 0.4123559 0.1771148
Moved 1837.302 532.3666 475.4468 0.3989967 0.2249147
Moved 1837.326 519.009 508.5801 0.3680764 0.3101339
Stationary 1837.337 519.009 508.5801 0.3680764 0.3101339
Moved 1837.349 512.8612 521.2776 0.3538454 0.3427921
Moved 1837.364 507.0898 537.2529 0.3404858 0.3838808
Moved 1837.379 504.8027 542.3947 0.3351914 0.3971055
Moved 1837.394 500.1225 550.7959 0.3243575 0.4187136
Moved 1837.409 497.3927 558.8218 0.3180388 0.4393564
Moved 1837.426 494.2332 562.3005 0.3107249 0.4483038
Moved 1837.441 491.4904 565.5096 0.3043759 0.4565574
Moved 1837.456 489.304 567.6959 0.2993149 0.4621808
Moved 1837.472 486.7321 569.134 0.2933612 0.4658795
Moved 1837.487 485.8252 570.1748 0.2912619 0.4685565
Moved 1837.502 484.3214 570 0.287781 0.4681069
Moved 1837.517 482.8763 570 0.2844359 0.4681069
Moved 1837.534 479.299 566.0311 0.2761552 0.4578988
Moved 1837.548 476.0046 554.0206 0.2685291 0.4270075
Moved 1837.564 474.5594 532.3917 0.2651839 0.3713779
Moved 1837.58 475 516.3574 0.2662037 0.3301372
Moved 1837.597 475 502.3491 0.2662037 0.2941076
Moved 1837.611 475 475.05 0.2662037 0.2238939
Moved 1837.626 485.5354 463.5486 0.2905913 0.1943121
Moved 1837.642 492.4312 441.42 0.3065538 0.1373972
Moved 1837.657 494.4654 428.2075 0.3112625 0.1034142
Moved 1837.674 498.4846 413.3845 0.3205663 0.06528933
Moved 1837.688 501.2112 404.9719 0.3268779 0.04365199
Moved 1837.704 502.803 398.9849 0.3305626 0.02825317
Moved 1837.718 504.1795 393.282 0.3337488 0.01358527
Moved 1837.735 504 389.7661 0.3333333 0.004542237
Moved 1837.75 504 387.9543 0.3333333 -0.0001176591
Stationary 1837.764 504 388 0.3333333 -3.924585E-08
Stationary 1837.781 504 388 0.3333333 -3.924585E-08
Moved 1837.8 486.8093 388 0.29354 -3.924585E-08
Moved 1837.812 474 404.5 0.2638889 0.04243823
Moved 1837.826 458.0363 414.2825 0.2269359 0.06759903
Moved 1837.842 443.5587 425.7531 0.1934229 0.09710143
Moved 1837.858 429.4921 439.7211 0.1608612 0.1330274
Moved 1837.873 413.3767 451.9675 0.1235572 0.1645253
Moved 1837.888 401.9184 460.0544 0.09703329 0.185325
Moved 1837.904 387.9495 470.8404 0.06469796 0.2130667
Moved 1837.921 374 480.5 0.03240744 0.2379114
Moved 1837.936 361.0077 492.7627 0.002332727 0.2694513
Moved 1837.952 347.5386 503.346 -0.02884577 0.2966718
Moved 1837.967 334.5341 514.9697 -0.05894874 0.326568
Moved 1837.982 324.4705 520.706 -0.08224433 0.3413219
Moved 1837.997 317.1223 527.8777 -0.09925395 0.3597677
Moved 1838.012 305.2602 536.7397 -0.1267124 0.382561
Ended 1838.028 295.1813 546.8187 -0.1500433 0.4084841
Candidates 1838.149 12 like luke joke little killer light lighter pile hole mike longer poker
Began 1838.626 379 372 0.04398147 -0.04115226
Stationary 1838.645 379 372 0.04398147 -0.04115226
Stationary 1838.662 379 372 0.04398147 -0.04115226
Stationary 1838.674 379 372 0.04398147 -0.04115226
Stationary 1838.69 379 372 0.04398147 -0.04115226
Moved 1838.705 379 396.3742 0.04398147 0.02153856
Moved 1838.721 379 428.0432 0.04398147 0.1029917
Moved 1838.737 379 443.5 0.04398147 0.1427468
Moved 1838.751 379 477.6008 0.04398147 0.2304546
Ended 1838.768 379 496 0.04398147 0.2777777
Accept 1838.812 0 like
Began 1839.181 419 379 0.1365741 -0.02314815
Stationary 1839.2 419 379 0.1365741 -0.02314815
Stationary 1839.214 419 379 0.1365741 -0.02314815
Stationary 1839.229 419 379 0.1365741 -0.02314815
Moved 1839.245 404.3221 392.5489 0.1025974 0.01169978
Moved 1839.261 393.1953 401.6438 0.07684091 0.035092
Moved 1839.276 381.9174 412.0825 0.05073487 0.06194056
Moved 1839.292 371.8459 422.1542 0.02742092 0.08784498
Moved 1839.307 363.8882 431.6992 0.009000599 0.1123949
Moved 1839.322 355.869 441.1572 -0.009562374 0.136721
Moved 1839.337 347.1603 451.3129 -0.02972146 0.1628418
Moved 1839.353 342.3594 458.5507 -0.04083464 0.1814575
Moved 1839.368 336.6077 465.7404 -0.05414893 0.1999496
Moved 1839.386 333.648 472.9199 -0.06099989 0.2184153
Moved 1839.401 330.5546 480.1134 -0.06816059 0.2369171
Moved 1839.415 329.7486 484.0058 -0.07002646 0.2469284
Moved 1839.431 329 491.8486 -0.07175927 0.2671001
Moved 1839.445 327.7915 496.6256 -0.07455676 0.2793867
Moved 1839.461 328 500.9473 -0.07407407 0.2905021
Moved 1839.476 328 504.1653 -0.07407407 0.2987789
Moved 1839.492 328 507.0581 -0.07407407 0.3062194
Moved 1839.507 328 508.9692 -0.07407407 0.3111347
Moved 1839.523 328 511.059 -0.07407407 0.3165098
Moved 1839.537 335.9697 512.9697 -0.05562564 0.3214242
Moved 1839.552 339.7707 514.9236 -0.0468271 0.3264495
Moved 1839.569 342.7169 517.7169 -0.04000713 0.333634
Moved 1839.592 350.4797 519.2399 -0.02203763 0.3375511
Moved 1839.605 355.0416 519 -0.01147787 0.3369341
Stationary 1839.615 355.0416 519 -0.01147787 0.3369341
Moved 1839.632 358.5366 519 -0.003387431 0.3369341
Moved 1839.646 363.9225 519 0.009079873 0.3369341
Moved 1839.661 369.0245 519 0.02089004 0.3369341
Moved 1839.676 373.3338 519 0.03086517 0.3369341
Moved 1839.691 376.6559 515.1362 0.03855536 0.3269964
Moved 1839.708 379.9953 511.0024 0.04628539 0.3163641
Moved 1839.722 382.8647 509.5676 0.05292754 0.3126739
Moved 1839.738 384.6465 508.3535 0.05705218 0.309551
Moved 1839.753 385.958 507.0419 0.06008804 0.3061777
Moved 1839.768 387.4004 505.5995 0.06342689 0.3024679
Moved 1839.786 387 504.5 0.06250004 0.2996398
Moved 1839.801 388.1399 503.8602 0.06513853 0.2979942
Moved 1839.815 388 502.5 0.06481478 0.2944958
Moved 1839.83 388 501.9214 0.06481478 0.2930076
Moved 1839.846 388 499 0.06481478 0.2854938
Moved 1839.86 377.2973 498.2595 0.04004002 0.2835891
Moved 1839.876 368.9405 495.6469 0.02069553 0.2768694
Moved 1839.891 359.1007 493.3876 -0.002081643 0.2710585
Moved 1839.907 349.6883 491.9481 -0.02386962 0.267356
Moved 1839.923 339.5064 490.5009 -0.04743894 0.263634
Moved 1839.938 331.3111 490 -0.06640956 0.2623456
Moved 1839.958 325.4781 490 -0.0799119 0.2623456
Moved 1839.97 320.5581 489 -0.09130061 0.2597736
Moved 1839.984 315.3073 489 -0.1034552 0.2597736
Moved 1840 312.2754 489 -0.1104737 0.2597736
Moved 1840.016 310.4036 489 -0.1148065 0.2597736
Moved 1840.031 308.7595 489 -0.1186123 0.2597736
Moved 1840.047 307.5 489 -0.1215278 0.2597736
Moved 1840.061 306.9399 489 -0.1228243 0.2597736
Stationary 1840.077 306.9399 489 -0.1228243 0.2597736
Stationary 1840.092 307 489 -0.1226852 0.2597736
Stationary 1840.108 307 489 -0.1226852 0.2597736
Moved 1840.123 307 485.9791 -0.1226852 0.2520037
Moved 1840.139 315.5433 482.1522 -0.102909 0.242161
Moved 1840.154 322.9593 476.4326 -0.08574232 0.22745
Moved 1840.169 330.1622 467.0054 -0.06906897 0.2032031
Moved 1840.186 336.7943 461.1714 -0.05371685 0.1881979
Moved 1840.2 342.5748 454.0314 -0.04033605 0.1698339
Moved 1840.215 349.1763 445.9884 -0.02505481 0.149147
Moved 1840.231 353.7684 441.2316 -0.01442492 0.1369124
Moved 1840.247 359.1125 433.4791 -0.002054374 0.1169729
Moved 1840.261 363.429 426.2851 0.007937352 0.09846982
Moved 1840.277 366.7415 421.678 0.01560529 0.0866202
Moved 1840.293 368.7525 417.7426 0.02026031 0.07649841
Moved 1840.313 371.2061 414.7939 0.02593994 0.06891439
Moved 1840.325 372.5447 411.9106 0.02903859 0.06149845
Moved 1840.339 373.9834 410.0166 0.0323691 0.05662694
Moved 1840.355 374 408.5779 0.03240744 0.05292657
Moved 1840.369 375 407.1363 0.03472219 0.04921881
Moved 1840.385 375 406.5 0.03472219 0.04758226
Stationary 1840.401 375 406.5 0.03472219 0.04758226
Moved 1840.416 375 407 0.03472219 0.04886827
Stationary 1840.431 375 407 0.03472219 0.04886827
Moved 1840.446 375 420.7932 0.03472219 0.08434464
Moved 1840.463 375 431.3837 0.03472219 0.1115836
Moved 1840.478 370.5054 440.2104 0.0243181 0.1342861
Moved 1840.493 366.9171 449.5801 0.01601189 0.1583849
Moved 1840.509 365.5 456.5 0.01273145 0.1761831
Moved 1840.524 364.383 460.851 0.0101458 0.187374
Moved 1840.539 364 466.2064 0.009259283 0.201148
Moved 1840.554 362.5009 476.4939 0.005789101 0.2276077
Moved 1840.571 363 482.7023 0.006944438 0.2435759
Moved 1840.586 363 489.8774 0.006944438 0.2620304
Moved 1840.601 363 496.0767 0.006944438 0.2779749
Moved 1840.616 363 499.5081 0.006944438 0.2868005
Moved 1840.639 363 506.528 0.006944438 0.3048559
Stationary 1840.65 363 506.528 0.006944438 0.3048559
Moved 1840.663 363 509.4333 0.006944438 0.3123285
Moved 1840.679 363 511.653 0.006944438 0.3180373
Moved 1840.694 363 513.0734 0.006944438 0.3216906
Moved 1840.709 363 514.5 0.006944438 0.32536
Moved 1840.724 363 515.9526 0.006944438 0.3290962
Moved 1840.74 363 517.059 0.006944438 0.3319416
Stationary 1840.755 363 517 0.006944438 0.33179
Moved 1840.771 371.8814 518 0.02750327 0.3343621
Moved 1840.786 377.5332 518 0.04058609 0.3343621
Moved 1840.802 383.3145 518 0.05396863 0.3343621
Moved 1840.817 390.2701 518 0.07006973 0.3343621
Moved 1840.832 397.527 509.5892 0.086868 0.3127294
Moved 1840.848 404.0272 507.3243 0.1019147 0.306904
Moved 1840.863 412.4077 503.2962 0.121314 0.2965436
Moved 1840.879 420.003 500.6657 0.1388957 0.289778
Moved 1840.894 428.6166 497.7944 0.1588348 0.282393
Moved 1840.91 438.8033 495.4567 0.1824152 0.2763802
Moved 1840.925 448.8643 493.0388 0.2057044 0.2701613
Moved 1840.947 473.931 491 0.2637292 0.2649176
Stationary 1840.958 473.931 491 0.2637292 0.2649176
Moved 1840.97 488.9384 491 0.2984686 0.2649176
Moved 1840.986 503.2135 489.5787 0.3315127 0.2612619
Moved 1841.003 518.6946 490 0.3673486 0.2623456
Moved 1841.017 532.9714 490 0.4003967 0.2623456
Moved 1841.032 542.2336 490 0.4218372 0.2623456
