are you sure you want this
are you sure you want this
Basic
0.6 0.6
432 388.8
Began 1345.38 184 425 -0.4074074 0.09516452
Stationary 1345.397 184 425 -0.4074074 0.09516452
Stationary 1345.412 184 425 -0.4074074 0.09516452
Moved 1345.427 203.3763 428.9239 -0.3625548 0.1052568
Moved 1345.443 230.4478 441.365 -0.2998893 0.1372555
Moved 1345.458 270.1955 461.0977 -0.2078809 0.1880084
Moved 1345.473 303.769 476.5857 -0.1301643 0.2278438
Moved 1345.489 333.8806 492.6843 -0.06046156 0.2692498
Moved 1345.505 351.8448 501.4224 -0.01887788 0.2917241
Moved 1345.52 383.2658 522.5105 0.05385597 0.3459631
Moved 1345.535 405.5208 539.8167 0.1053723 0.3904749
Moved 1345.551 423.3286 554.6624 0.1465939 0.4286582
Moved 1345.566 435.8245 569.0306 0.1755197 0.4656137
Moved 1345.582 440.095 577.2851 0.1854052 0.4868442
Moved 1345.597 441 584.9313 0.1875 0.5065103
Moved 1345.613 441 593.442 0.1875 0.5284001
Moved 1345.628 428.447 608.0605 0.1584421 0.5659992
Moved 1345.643 414.6213 618.6046 0.1264382 0.5931188
Moved 1345.659 398.7956 627.2933 0.08980473 0.6154661
Moved 1345.673 384.7849 629.643 0.05737245 0.6215097
Moved 1345.689 371.6626 631.2597 0.02699673 0.6256678
Moved 1345.708 355.9946 631 -0.009271701 0.6249998
Moved 1345.72 345.1191 631 -0.03444656 0.6249998
Moved 1345.735 327.5413 622.1376 -0.07513592 0.6022058
Moved 1345.76 296.4525 611.381 -0.1471008 0.5745395
Moved 1345.772 282.0576 605.623 -0.1804221 0.5597299
Stationary 1345.783 282.0576 605.623 -0.1804221 0.5597299
Moved 1345.796 267.7108 598.8554 -0.2136324 0.5423235
Moved 1345.813 253.2803 593.1121 -0.2470362 0.5275517
Ended 1345.828 223.5 568 -0.3159722 0.4629629
Candidates 1345.917 12 arrow stir store sure suite sue quite air site write wire writer
Backspace 1347.689
Began 1348.199 133 373 -0.5254629 -0.03858032
Stationary 1348.218 133 373 -0.5254629 -0.03858032
Stationary 1348.233 133 373 -0.5254629 -0.03858032
Stationary 1348.247 133 373 -0.5254629 -0.03858032
Stationary 1348.263 133 373 -0.5254629 -0.03858032
Moved 1348.28 168.4458 395.4675 -0.4434125 0.01920637
Moved 1348.297 202.2857 410.0357 -0.3650795 0.05667615
Moved 1348.31 226.5 419 -0.3090278 0.07973251
Moved 1348.326 263.3338 429.3848 -0.2237643 0.1064423
Moved 1348.344 294.3785 441.049 -0.1519017 0.1364428
Moved 1348.358 308.5721 445.0895 -0.1190462 0.1468351
Moved 1348.372 318.9635 450.5506 -0.09499182 0.1608812
Moved 1348.388 323.152 453.152 -0.08529628 0.1675721
Moved 1348.404 326.0237 456.0236 -0.07864897 0.1749578
Moved 1348.418 326 458.8849 -0.07870371 0.1823172
Moved 1348.433 326 464.2549 -0.07870371 0.1961287
Moved 1348.449 317.9506 473.0432 -0.09733652 0.2187325
Moved 1348.464 306.9985 481.6677 -0.1226886 0.2409147
Moved 1348.481 294.928 488.5359 -0.1506295 0.2585801
Moved 1348.495 283.42 495.6125 -0.1772684 0.276781
Moved 1348.51 270.3596 499.2921 -0.2075009 0.286245
Moved 1348.526 257.1751 503.6083 -0.2380205 0.2973464
Moved 1348.541 245.7131 507.8316 -0.264553 0.3082088
Moved 1348.559 230.0569 512.1663 -0.3007941 0.3193575
Moved 1348.572 216.5598 516.48 -0.3320374 0.3304527
Moved 1348.587 202.606 519.5993 -0.364338 0.3384755
Moved 1348.605 185.3188 521.0524 -0.4043547 0.342213
Ended 1348.617 185.3188 521.0524 -0.4043547 0.342213
Candidates 1348.709 12 are after ate see drew few de se sr safer ar safe
Began 1349.157 341 383 -0.04398147 -0.01286016
Stationary 1349.174 341 383 -0.04398147 -0.01286016
Moved 1349.189 334.1414 418.4949 -0.05985782 0.07843347
Moved 1349.204 329.7536 471.3727 -0.07001489 0.2144361
Moved 1349.219 338.6918 535.3138 -0.04932448 0.3788935
Moved 1349.235 356.9163 608.364 -0.007138153 0.5667798
Ended 1349.252 356.9163 608.364 -0.007138153 0.5667798
Accept 1349.312 0 are
Began 1349.742 307 558 -0.1226852 0.4372427
Stationary 1349.761 307 558 -0.1226852 0.4372427
Stationary 1349.774 307 558 -0.1226852 0.4372427
Stationary 1349.789 307 558 -0.1226852 0.4372427
Stationary 1349.806 307 558 -0.1226852 0.4372427
Moved 1349.82 333.7283 570.7277 -0.06081418 0.4699787
Moved 1349.837 352.1675 578.0101 -0.01813074 0.4887091
Moved 1349.853 371.9949 583.4604 0.02776603 0.5027272
Moved 1349.866 385.9156 586.6729 0.05998989 0.5109898
Moved 1349.882 407.7775 591.7314 0.110596 0.5240005
Moved 1349.9 425.1092 593.1758 0.1507156 0.5277154
Moved 1349.915 438.1408 594 0.1808815 0.5298353
Moved 1349.93 451.4492 594 0.211688 0.5298353
Moved 1349.946 461.49 594 0.2349304 0.5298353
Moved 1349.96 471.5995 584.2003 0.2583321 0.5046302
Moved 1349.975 478.2061 582.9656 0.2736253 0.5014547
Moved 1349.991 488.3711 577.0737 0.2971553 0.4863005
Moved 1350.006 497.4495 573.2202 0.3181701 0.4763893
Moved 1350.022 505.9802 570.3399 0.3379172 0.4689811
Moved 1350.037 510.3192 568.2269 0.3479611 0.4635465
Moved 1350.053 515.8253 566.7937 0.3607066 0.4598603
Moved 1350.067 518.3107 565.3446 0.36646 0.4561332
Moved 1350.083 521.3991 565 0.3736091 0.4552468
Moved 1350.099 524.3325 565 0.3803992 0.4552468
Moved 1350.115 530.437 565 0.39453 0.4552468
Moved 1350.129 534.0869 565 0.4029789 0.4552468
Moved 1350.145 536.951 565 0.4096088 0.4552468
Moved 1350.161 537.924 565 0.4118612 0.4552468
Stationary 1350.175 538 565 0.4120371 0.4552468
Stationary 1350.191 538 565 0.4120371 0.4552468
Stationary 1350.207 538 565 0.4120371 0.4552468
Moved 1350.22 528.5734 565 0.3902161 0.4552468
Moved 1350.236 510.7331 560.8409 0.3489192 0.4445496
Moved 1350.263 462.5937 542.3033 0.2374854 0.3968705
Moved 1350.274 442.5838 533.3464 0.1911663 0.3738331
Stationary 1350.285 442.5838 533.3464 0.1911663 0.3738331
Moved 1350.3 429 528 0.1597223 0.3600822
Moved 1350.315 416.5985 522.7993 0.1310152 0.3467059
Moved 1350.329 403.2301 518.8289 0.1000696 0.3364941
Ended 1350.347 380 513 0.04629632 0.321502
Candidates 1350.497 12 toy roy root you teppy report error tour terror output rope europe
Began 1351.535 345 471 -0.03472224 0.2134772
Stationary 1351.549 345 471 -0.03472224 0.2134772
Moved 1351.562 345 457.8214 -0.03472224 0.1795818
Moved 1351.578 345 434.5354 -0.03472224 0.1196897
Moved 1351.596 336.1964 387.4366 -0.05510097 -0.001449114
